candidate_id,candidate_hash,family,hypothesis,primary_1h_setup,lower_tf_confirmation,quality_gates,exit_module,risk_module,portfolio_role,parameters_json,complexity_score,overfit_risk_score,live_known_proof,expected_failure_mode,cheap_scan_trades,cheap_scan_pf,cheap_scan_pnl,cheap_scan_avg_r,backtest_pnl,backtest_trades,backtest_pf,backtest_dd,backtest_win_rate,backtest_avg_win,backtest_avg_loss,backtest_expectancy,backtest_pos_m,backtest_neg_m,backtest_zero_m,backtest_combined_adverse,accepted,rejection_reason
32,8026809f1a5d3897,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,funding_safety_gate|chop_toxicity_filter,structure_tp,dynamic_risk_scaling,core,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.2, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
33,798f2b7829191d99,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,volume_impulse_gate|expected_r_gate,failed_continuation_exit,fixed_risk_1pct,core,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.3, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
34,fac2fbf1c01ca1a9,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,chop_toxicity_filter|adx_slope_gate,breakeven_after_mfe,fixed_risk_0_5pct,core,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.4, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
35,c781031ce8d07e46,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,expected_r_gate|atr_percentile_gate,funding_aware_exit,dynamic_risk_scaling,core,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,3,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
36,e99384b6cb98ceee,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,adx_slope_gate|bb_width_gate,fixed_atr_tp,fixed_risk_1pct,core,"{""adx_thresh"": 20, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.2, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
37,2e8d169ceaeb66d2,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,atr_percentile_gate|funding_safety_gate,dynamic_atr_tp,fixed_risk_0_5pct,core,"{""adx_thresh"": 20, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.3, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
38,0304ceb3756d2968,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,bb_width_gate|volume_impulse_gate,structure_tp,dynamic_risk_scaling,core,"{""adx_thresh"": 20, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.4, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
39,986d32455c11aa10,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,funding_safety_gate|chop_toxicity_filter,failed_continuation_exit,fixed_risk_1pct,core,"{""adx_thresh"": 20, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,3,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
40,f68b0c8e4fa991f5,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,volume_impulse_gate|expected_r_gate,breakeven_after_mfe,fixed_risk_0_5pct,core,"{""adx_thresh"": 25, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.2, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
41,6f8e574580f89011,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,chop_toxicity_filter|adx_slope_gate,funding_aware_exit,dynamic_risk_scaling,core,"{""adx_thresh"": 25, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.3, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",192,1.108,1387.71,0.14,1387.71,192,1.1075,0.2162,0.4792,155.3884,-129.0802,7.2277,32,25,21,-2617.63,False,pf=1.11<2.20|dd=21.62%>12%|pnl=1387.71<=21684.99|combined_adverse_negative
