trade_id,source,setup_time,entry_time,exit_time,side,entry_price,stop_loss,take_profit,exit_price,net_pnl,R,MFE_1,MFE_2,MFE_3,MFE_6,MFE_12,MFE_24,MAE_1,MAE_2,MAE_3,MAE_6,MAE_12,MAE_24,time_to_MFE,time_to_MAE,reached_0_5R,reached_1R,immediate_failure,funding_drag,chop_state,retest_quality,trade_classification
0,Variant C Core,2020-01-10 08:00,2020-01-10 09:00,2020-01-10 14:00,Long,7701.9903,7565.5499,7951.3752,7947.3995,167.1585,1.649,0.010778,0.019778,0.025257,0.050118,0.05687,0.056254,0.004154,-0.008172,-0.013805,-0.031422,-0.039472,-0.045874,12.0,1.0,1,1,0,0.0,trending,confirmed,elite_winner
1,Variant C Core,2020-01-14 03:00,2020-01-14 04:00,2020-01-14 14:00,Long,8465.3262,8346.32,8641.3955,8637.0748,127.9909,1.2808,0.010002,0.00676,0.009412,0.007994,0.028667,0.033038,-0.000285,-0.001098,-0.00419,-0.001261,-0.006459,-0.013128,24.0,,1,1,0,1.8521,trending,confirmed,weak_winner
2,Variant C Core,2020-01-15 00:00,2020-01-15 01:00,2020-01-17 06:00,Short,8788.0793,9000.9515,8561.1485,9005.452,-107.2242,-1.0203,0.001488,0.006562,0.02408,0.018803,0.001865,0.018898,0.006022,0.004201,-0.004902,-0.010936,0.015148,-0.001245,3.0,12.0,1,1,0,-5.0793,trending,confirmed,funding_loser
3,Variant C Core,2020-01-17 22:00,2020-01-17 23:00,2020-01-19 01:00,Short,8948.5396,9108.3264,8779.6736,9112.8806,-108.7074,-1.027,0.010075,0.004638,0.004866,0.013756,0.009,0.003078,0.00507,0.005192,0.000759,-0.007631,-0.005871,0.002175,6.0,2.0,1,0,0,-6.7021,trending,confirmed,funding_loser
4,Variant C Core,2020-01-19 08:00,2020-01-19 09:00,2020-01-19 11:00,Short,9117.8087,9238.2432,8990.6368,8995.1321,86.8566,0.8767,0.007689,0.06721,0.059827,0.0565,0.051251,0.051671,-0.003301,-0.00759,-0.045295,-0.050818,-0.039141,-0.048127,2.0,,1,1,0,0.0,trending,confirmed,weak_winner
5,Variant C Core,2020-01-19 12:00,2020-01-19 13:00,2020-01-23 12:00,Short,8650.0414,8822.168,8400.725,8404.9253,146.0559,1.3082,0.003233,0.005479,0.003685,0.001641,0.000785,0.014333,0.001729,0.000511,0.004081,0.001756,0.00571,0.000228,24.0,12.0,1,1,0,-12.0227,trending,confirmed,weak_winner
6,Variant C Core,2020-01-24 15:00,2020-01-24 16:00,2020-01-25 00:00,Short,8513.505,8643.5334,8374.8866,8379.074,95.4995,0.909,0.007459,0.004758,0.003698,0.008986,0.026954,0.02132,-0.002878,-0.000864,0.00163,0.000645,-0.021633,-0.017796,12.0,3.0,1,1,0,-3.4661,trending,confirmed,weak_winner
10,Variant C Core,2020-01-30 23:00,2020-01-31 00:00,2020-01-31 05:00,Short,9530.4209,9693.3657,9357.9743,9362.6533,47.1361,0.9176,0.008019,0.012615,0.009289,0.021216,0.028899,0.018152,-0.001885,-0.003903,-0.004451,-0.01379,-0.01998,-0.012936,12.0,,1,1,0,-1.5616,trending,confirmed,weak_winner
11,Variant C Core,2020-02-02 10:00,2020-02-02 11:00,2020-02-03 00:00,Short,9439.2298,9553.2892,9316.7108,9321.3692,96.7907,0.8781,0.002829,0.003309,0.006466,0.002882,0.012102,0.014326,0.00537,0.000381,0.00326,0.002284,-0.000994,-0.004142,24.0,1.0,1,1,0,-10.3513,trending,confirmed,weak_winner
12,Variant C Core,2020-02-05 16:00,2020-02-05 17:00,2020-02-05 18:00,Short,9583.0735,9704.0244,9452.5956,9708.8764,-120.2391,-1.0372,0.001004,-0.008027,-0.009261,-0.001866,-0.005836,-0.016898,0.02254,0.01759,0.01445,0.011073,0.0094,0.024928,1.0,24.0,0,0,1,0.0,trending,unconfirmed,whipsaw_loser
13,Variant C Core,2020-02-05 23:00,2020-02-06 00:00,2020-02-06 12:00,Short,9634.8252,9776.8752,9483.1248,9781.7636,-100.2363,-1.0322,0.00787,0.005915,0.005483,0.001843,-0.007387,-0.013199,0.001283,0.001284,0.001367,0.006627,0.022125,0.02044,1.0,12.0,1,0,0,-16.3646,trending,confirmed,funding_loser
14,Variant C Core,2020-02-06 17:00,2020-02-06 18:00,2020-02-09 00:00,Short,9786.4767,9956.9689,9606.2911,9961.9473,-95.2826,-1.0276,0.006435,0.004228,0.004197,0.002501,0.003727,-0.000252,-0.000363,0.001555,0.002434,0.004627,0.00128,0.003221,1.0,6.0,1,0,0,-18.2803,trending,confirmed,funding_loser
15,Variant C Core,2020-02-09 05:00,2020-02-09 06:00,2020-02-10 05:00,Short,10114.2041,10233.5831,9984.8369,9989.8293,54.7729,0.8825,0.000904,0.00091,0.002699,-0.00148,0.004271,0.027111,0.006934,0.004726,0.003492,0.004676,-0.000274,-0.007874,24.0,1.0,1,1,0,-12.4406,trending,confirmed,weak_winner
16,Variant C Core,2020-02-11 15:00,2020-02-11 16:00,2020-02-11 16:00,Short,10209.9998,10371.6774,10037.1026,10376.8632,-110.69,-1.0302,-0.005183,-0.002155,-6.5e-05,0.000349,-0.006366,-0.009981,0.012273,0.013222,0.009089,0.003756,0.010269,0.01763,6.0,24.0,0,0,1,-3.1053,trending,unconfirmed,whipsaw_loser
17,Variant C Core,2020-03-08 16:00,2020-03-08 17:00,2020-03-08 23:00,Short,8290.4822,8451.8721,8055.6221,8059.6499,129.979,1.3116,0.002373,0.003037,0.002832,0.035315,0.074499,0.069422,0.00402,0.002113,0.001846,-0.004883,-0.038234,-0.059041,12.0,1.0,1,1,0,0.0,trending,confirmed,weak_winner
