candidate_id,candidate_hash,family,hypothesis,primary_1h_setup,lower_tf_confirmation,quality_gates,exit_module,risk_module,portfolio_role,parameters_json,complexity_score,overfit_risk_score,live_known_proof,expected_failure_mode,rejection_stage,rejection_reasons
655,4b1c01cac37b8718,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,funding_safety_gate|chop_toxicity_filter,dynamic_atr_tp,fixed_risk_0_5pct,core,"{""adx_thresh"": 30, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 3.5, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,5,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",static_audit,high_overfit_risk
671,2483adedf485cda1,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,chop_toxicity_filter|adx_slope_gate,funding_aware_exit,dynamic_risk_scaling,core,"{""adx_thresh"": 30, ""bb_width_thresh"": 0.06, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 3.5, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,5,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",static_audit,high_overfit_risk
687,33c76cc69921c73f,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,adx_slope_gate|bb_width_gate,failed_continuation_exit,fixed_risk_1pct,core,"{""adx_thresh"": 30, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 3.5, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,5,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",static_audit,high_overfit_risk
703,2dacb20a762a0c17,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,bb_width_gate|volume_impulse_gate,dynamic_atr_tp,fixed_risk_0_5pct,core,"{""adx_thresh"": 30, ""bb_width_thresh"": 0.1, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 3.5, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,5,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",static_audit,high_overfit_risk
1615,7b00d782fe8d5010,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,15m_retest,volume_impulse_gate|expected_r_gate,dynamic_atr_tp,fixed_risk_0_5pct,core,"{""adx_thresh"": 30, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 3.5, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,5,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",static_audit,high_overfit_risk
1631,4f89dedf24cfeeae,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,15m_retest,expected_r_gate|atr_percentile_gate,funding_aware_exit,dynamic_risk_scaling,core,"{""adx_thresh"": 30, ""bb_width_thresh"": 0.06, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 3.5, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,5,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",static_audit,high_overfit_risk
1647,473d3232bc7ffbb5,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,15m_retest,atr_percentile_gate|funding_safety_gate,failed_continuation_exit,fixed_risk_1pct,core,"{""adx_thresh"": 30, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 3.5, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,5,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",static_audit,high_overfit_risk
1663,aa90a359ae861e97,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,15m_retest,funding_safety_gate|chop_toxicity_filter,dynamic_atr_tp,fixed_risk_0_5pct,core,"{""adx_thresh"": 30, ""bb_width_thresh"": 0.1, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 3.5, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,5,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",static_audit,high_overfit_risk
0,cbfc10659b8ca9ec,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,expected_r_gate|atr_percentile_gate,fixed_atr_tp,fixed_risk_1pct,core,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.2, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
1,132910fbf76d0d7c,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,adx_slope_gate|bb_width_gate,dynamic_atr_tp,fixed_risk_0_5pct,core,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.3, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
