trade_id,side,net_pnl,bucket,adx_state,atr_state,funding_rate,volume_impulse,wick_body_ratio,reached_0_5R,avoidable_by_live_rules,proposed_micro_fix
2,Short,-107.2242,funding_loser,24.5,0.018,-5.0793,1.35,0.32,1,YES,funding_extreme_skip
3,Short,-108.7074,funding_loser,24.5,0.018,-6.7021,1.35,0.32,1,YES,funding_extreme_skip
12,Short,-120.2391,whipsaw_loser,24.5,0.018,0.0,1.35,0.32,0,PARTIAL,trailing_be_stop
13,Short,-100.2363,funding_loser,24.5,0.018,-16.3646,1.35,0.32,1,YES,funding_extreme_skip
14,Short,-95.2826,funding_loser,24.5,0.018,-18.2803,1.35,0.32,1,YES,funding_extreme_skip
16,Short,-110.69,whipsaw_loser,24.5,0.018,-3.1053,1.35,0.32,0,PARTIAL,trailing_be_stop
21,Long,-109.4249,whipsaw_loser,24.5,0.018,0.0,1.35,0.32,0,PARTIAL,trailing_be_stop
22,Short,-108.52,failed_continuation_loser,24.5,0.018,0.5597,1.35,0.32,1,PARTIAL,trailing_be_stop
25,Long,-110.7006,failed_continuation_loser,24.5,0.018,0.2456,1.35,0.32,1,PARTIAL,trailing_be_stop
32,Short,-119.3327,failed_continuation_loser,24.5,0.018,-4.4306,1.35,0.32,1,PARTIAL,trailing_be_stop
41,Short,-125.8314,failed_continuation_loser,24.5,0.018,-1.1109,1.35,0.32,1,PARTIAL,trailing_be_stop
42,Long,-130.5677,toxic_loser,24.5,0.018,3.9611,1.35,0.32,0,YES,volume_confirm
44,Short,-59.5029,whipsaw_loser,24.5,0.018,0.0,1.35,0.32,0,PARTIAL,trailing_be_stop
46,Short,-124.365,toxic_loser,24.5,0.018,-3.2272,1.35,0.32,0,YES,volume_confirm
47,Short,-116.2985,funding_loser,24.5,0.018,-7.9956,1.35,0.32,1,YES,funding_extreme_skip
49,Short,-94.7767,funding_loser,24.5,0.018,-24.6305,1.35,0.32,1,YES,funding_extreme_skip
50,Short,-120.9937,failed_continuation_loser,24.5,0.018,-1.6933,1.35,0.32,1,PARTIAL,trailing_be_stop
