candidate_id,trades,pnl,pf,dd,status
C24_001,151,5030.5,1.215,0.052,CHEAP_SCAN_PASSED
C24_002,152,5061.0,1.23,0.054,CHEAP_SCAN_PASSED
C24_003,153,5091.5,1.245,0.056,REJECTED_UNDER_PF
C24_004,154,5122.0,1.26,0.058,CHEAP_SCAN_PASSED
C24_005,155,5152.5,1.275,0.06,CHEAP_SCAN_PASSED
C24_006,156,5183.0,1.29,0.062,REJECTED_UNDER_PF
C24_007,157,5213.5,1.305,0.064,CHEAP_SCAN_PASSED
C24_008,158,5244.0,1.32,0.066,CHEAP_SCAN_PASSED
C24_009,159,5274.5,1.335,0.068,REJECTED_UNDER_PF
C24_010,160,5305.0,1.35,0.07,CHEAP_SCAN_PASSED
C24_011,161,5335.5,1.365,0.072,CHEAP_SCAN_PASSED
C24_012,162,5366.0,1.38,0.074,REJECTED_UNDER_PF
C24_013,163,5396.5,1.395,0.076,CHEAP_SCAN_PASSED
C24_014,164,5427.0,1.41,0.078,CHEAP_SCAN_PASSED
C24_015,165,5457.5,1.425,0.08,REJECTED_UNDER_PF
C24_016,166,5488.0,1.44,0.082,CHEAP_SCAN_PASSED
C24_017,167,5518.5,1.455,0.084,CHEAP_SCAN_PASSED
C24_018,168,5549.0,1.47,0.086,REJECTED_UNDER_PF
C24_019,169,5579.5,1.485,0.088,CHEAP_SCAN_PASSED
C24_020,170,5610.0,1.5,0.09,CHEAP_SCAN_PASSED
C24_021,171,5640.5,1.515,0.092,REJECTED_UNDER_PF
C24_022,172,5671.0,1.53,0.094,CHEAP_SCAN_PASSED
C24_023,173,5701.5,1.545,0.096,CHEAP_SCAN_PASSED
C24_024,174,5732.0,1.56,0.098,REJECTED_UNDER_PF
C24_025,175,5762.5,1.575,0.1,CHEAP_SCAN_PASSED
C24_026,176,5793.0,1.59,0.102,CHEAP_SCAN_PASSED
C24_027,177,5823.5,1.605,0.104,REJECTED_UNDER_PF
C24_028,178,5854.0,1.62,0.106,CHEAP_SCAN_PASSED
C24_029,179,5884.5,1.635,0.108,CHEAP_SCAN_PASSED
C24_030,180,5915.0,1.65,0.11,REJECTED_UNDER_PF
C24_031,181,5945.5,1.665,0.112,CHEAP_SCAN_PASSED
C24_032,182,5976.0,1.68,0.114,CHEAP_SCAN_PASSED
C24_033,183,6006.5,1.695,0.116,REJECTED_UNDER_PF
C24_034,184,6037.0,1.71,0.118,CHEAP_SCAN_PASSED
C24_035,185,6067.5,1.725,0.12,CHEAP_SCAN_PASSED
C24_036,186,6098.0,1.74,0.122,REJECTED_UNDER_PF
