candidate_id,run,template_type,adx_thresh,rsi_overbought,rsi_oversold,wick_ratio_thresh,volume_trend_thresh,parameter_hash
C24_001,Run_A,bollinger_expansion_breakout,16,71,21,0.31,0.85,10a916f6a67ade5f
C24_002,Run_A,bollinger_expansion_breakout,17,72,22,0.32,0.9,504556df8aa356e7
C24_003,Run_A,bollinger_expansion_breakout,18,73,23,0.33,0.95,aa2c8906b61f289e
C24_004,Run_A,bollinger_expansion_breakout,19,74,24,0.34,1.0,4e96b41a0d1843e0
C24_005,Run_A,bollinger_expansion_breakout,20,75,25,0.35,1.05,c1a15228f3f811e4
C24_006,Run_A,bollinger_expansion_breakout,21,76,26,0.36,1.1,d555bb856aa451db
C24_007,Run_A,bollinger_expansion_breakout,22,77,27,0.37,1.15,93b3cb57615d49ba
C24_008,Run_A,bollinger_expansion_breakout,23,78,28,0.38,1.2,475f5eed3ec2ce2a
C24_009,Run_A,bollinger_expansion_breakout,24,79,29,0.39,1.25,42d5d029aee9fac0
C24_010,Run_A,bollinger_expansion_breakout,25,80,30,0.4,1.3,cfd0e8e11a120780
C24_011,Run_A,bollinger_expansion_breakout,26,81,31,0.41,1.35,6739668141cb89bd
C24_012,Run_A,bollinger_expansion_breakout,27,82,32,0.42,1.4,9ed0ec15ff4c2af2
C24_013,Run_A,bollinger_expansion_breakout,28,83,33,0.43,1.45,c5818cef0a698649
C24_014,Run_A,bollinger_expansion_breakout,29,84,34,0.44,1.5,0f7903fd31a1f0bd
C24_015,Run_A,bollinger_expansion_breakout,30,85,35,0.45,1.55,5450f2285095b24a
C24_016,Run_A,bollinger_expansion_breakout,31,70,20,0.46,1.6,6f20c8654f860536
C24_017,Run_A,bollinger_expansion_breakout,32,71,21,0.47,1.65,07c49795384be38d
C24_018,Run_A,bollinger_expansion_breakout,33,72,22,0.48,1.7,31db7d60a09cdf34
C24_019,Run_A,bollinger_expansion_breakout,34,73,23,0.49,1.75,9d8e146104113469
C24_020,Run_A,bollinger_expansion_breakout,35,74,24,0.5,1.8,81776b251a1d959c
C24_021,Run_A,bollinger_expansion_breakout,15,75,25,0.51,1.85,466d338d1d0e88fa
C24_022,Run_A,bollinger_expansion_breakout,16,76,26,0.52,1.9,8341e051f4dc4c15
