candidate_id,passed_cheap_scan,pnl,pf,dd,status
C25_0001,NO,4120.5,1.118,0.042,REJECTED_UNDER_PF
C25_0002,NO,4241.0,1.136,0.044,REJECTED_UNDER_PF
C25_0003,NO,4361.5,1.154,0.046,REJECTED_UNDER_PF
C25_0004,NO,4482.0,1.172,0.048,REJECTED_UNDER_PF
C25_0005,YES,4602.5,1.19,0.05,PASS
C25_0006,NO,4723.0,1.208,0.052,REJECTED_UNDER_PF
C25_0007,NO,4843.5,1.226,0.054,REJECTED_UNDER_PF
C25_0008,NO,4964.0,1.244,0.056,REJECTED_UNDER_PF
C25_0009,NO,5084.5,1.262,0.058,REJECTED_UNDER_PF
C25_0010,YES,5205.0,1.28,0.06,PASS
C25_0011,NO,5325.5,1.298,0.062,REJECTED_UNDER_PF
C25_0012,NO,5446.0,1.316,0.064,REJECTED_UNDER_PF
C25_0013,NO,5566.5,1.334,0.066,REJECTED_UNDER_PF
C25_0014,NO,5687.0,1.352,0.068,REJECTED_UNDER_PF
C25_0015,YES,5807.5,1.37,0.07,PASS
C25_0016,NO,5928.0,1.388,0.072,REJECTED_UNDER_PF
C25_0017,NO,6048.5,1.406,0.074,REJECTED_UNDER_PF
C25_0018,NO,6169.0,1.424,0.076,REJECTED_UNDER_PF
C25_0019,NO,6289.5,1.442,0.078,REJECTED_UNDER_PF
C25_0020,YES,6410.0,1.46,0.08,PASS
C25_0021,NO,6530.5,1.478,0.082,REJECTED_UNDER_PF
C25_0022,NO,6651.0,1.496,0.084,REJECTED_UNDER_PF
C25_0023,NO,6771.5,1.514,0.086,REJECTED_UNDER_PF
C25_0024,NO,6892.0,1.532,0.088,REJECTED_UNDER_PF
C25_0025,YES,7012.5,1.55,0.09,PASS
C25_0026,NO,7133.0,1.568,0.092,REJECTED_UNDER_PF
C25_0027,NO,7253.5,1.586,0.094,REJECTED_UNDER_PF
C25_0028,NO,7374.0,1.604,0.096,REJECTED_UNDER_PF
C25_0029,NO,7494.5,1.622,0.098,REJECTED_UNDER_PF
C25_0030,YES,7615.0,1.64,0.1,PASS
C25_0031,NO,7735.5,1.658,0.102,REJECTED_UNDER_PF
C25_0032,NO,7856.0,1.676,0.104,REJECTED_UNDER_PF
C25_0033,NO,7976.5,1.694,0.106,REJECTED_UNDER_PF
C25_0034,NO,8097.0,1.712,0.108,REJECTED_UNDER_PF
C25_0035,YES,8217.5,1.73,0.11,PASS
C25_0036,NO,8338.0,1.748,0.112,REJECTED_UNDER_PF
C25_0037,NO,8458.5,1.766,0.114,REJECTED_UNDER_PF
C25_0038,NO,8579.0,1.784,0.116,REJECTED_UNDER_PF
C25_0039,NO,8699.5,1.802,0.118,REJECTED_UNDER_PF
C25_0040,YES,8820.0,1.82,0.12,PASS
C25_0041,NO,8940.5,1.838,0.122,REJECTED_UNDER_PF
C25_0042,NO,9061.0,1.856,0.124,REJECTED_UNDER_PF
C25_0043,NO,9181.5,1.874,0.126,REJECTED_UNDER_PF
C25_0044,NO,9302.0,1.892,0.128,REJECTED_UNDER_PF
C25_0045,YES,9422.5,1.91,0.13,PASS
C25_0046,NO,9543.0,1.928,0.132,REJECTED_UNDER_PF
C25_0047,NO,9663.5,1.946,0.134,REJECTED_UNDER_PF
C25_0048,NO,9784.0,1.964,0.136,REJECTED_UNDER_PF
C25_0049,NO,9904.5,1.982,0.138,REJECTED_UNDER_PF
C25_0050,YES,10025.0,2.0,0.14,PASS
