trade_id,source_system,original_pf12,added_pf70,added_pf80,retained_pf70,removed_pf70,modified_exit,modified_risk,sleeve,pnl
PF8_T_001,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,167.15847069166517
PF8_T_002,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,127.99088978877926
PF8_T_003,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-107.22424022817248
PF8_T_004,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-108.70737599257613
PF8_T_005,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,86.8565563659797
PF8_T_006,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,146.05587879347564
PF8_T_007,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,95.49948323771468
PF8_T_008,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,47.13609310416048
PF8_T_009,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,96.79068714072915
PF8_T_010,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-120.23909437631244
PF8_T_011,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-100.23631346531712
PF8_T_012,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-95.28256183185927
PF8_T_013,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,54.77292086763845
PF8_T_014,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-110.68996568404226
PF8_T_015,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,129.97904779355304
PF8_T_016,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,141.90803435234892
PF8_T_017,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,105.36431992082136
PF8_T_018,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-109.42490702440753
PF8_T_019,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-108.52001478358564
PF8_T_020,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,99.6931056137849
PF8_T_021,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,138.23419235283754
PF8_T_022,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-110.70064442821177
PF8_T_023,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,140.02225999351916
PF8_T_024,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,99.08939025838178
PF8_T_025,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,100.50347328593944
PF8_T_026,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,143.69105668608512
PF8_T_027,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-119.33267563955097
PF8_T_028,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,141.63548279259265
PF8_T_029,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,143.33014845845344
PF8_T_030,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,105.96030528527476
PF8_T_031,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-125.83138252132801
PF8_T_032,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-130.5677311465486
PF8_T_033,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-59.50287132007221
PF8_T_034,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,147.29281222204327
PF8_T_035,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-124.36497263023105
PF8_T_036,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-116.29854360768181
PF8_T_037,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-94.7766993694603
PF8_T_038,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-120.99371108377582
PF8_T_039,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-121.26770610537915
PF8_T_040,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,73.48487680276308
PF8_T_041,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-115.69379624866093
PF8_T_042,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,141.5907947121712
PF8_T_043,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,147.98137494183044
PF8_T_044,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-125.48827725037822
PF8_T_045,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,141.13777210955013
PF8_T_046,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-123.84953794758107
PF8_T_047,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,142.4444549099314
PF8_T_048,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-127.57977442129533
PF8_T_049,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-118.71399983106052
PF8_T_050,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,140.12270913620105
PF8_T_051,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,104.91213290265496
PF8_T_052,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-120.43388063478353
PF8_T_053,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,101.68198574194065
PF8_T_054,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-112.11217688036031
PF8_T_055,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,149.919021372696
PF8_T_056,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-118.36308194670922
PF8_T_057,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-114.95081396501314
PF8_T_058,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,142.8540722919439
PF8_T_059,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,104.38815186670094
PF8_T_060,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-118.47706970434471
PF8_T_061,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,85.05158757132247
PF8_T_062,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-116.52894503616781
PF8_T_063,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-114.69534171424988
PF8_T_064,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-111.34287806237106
PF8_T_065,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-106.14651121231934
PF8_T_066,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,53.927171187039164
PF8_T_067,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,107.36420411936092
PF8_T_068,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-111.22325753789151
PF8_T_069,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,145.50940556035093
PF8_T_070,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,149.69456785847777
PF8_T_071,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-114.02690850485185
PF8_T_072,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-112.13395569020649
PF8_T_073,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-110.63167575068205
PF8_T_074,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-113.30278383602717
PF8_T_075,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-53.33542142102844
PF8_T_076,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,138.58052900094265
PF8_T_077,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,49.694586060556425
PF8_T_078,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-112.90793222300387
PF8_T_079,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-113.54771598211329
PF8_T_080,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-107.74996813740746
PF8_T_081,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,48.46610511483662
PF8_T_082,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,105.3873149257368
PF8_T_083,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-112.35067019210305
PF8_T_084,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,101.3913933983498
PF8_T_085,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,98.23000699117044
PF8_T_086,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,93.23968525402826
PF8_T_087,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,98.01121761103286
PF8_T_088,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-113.73550915455601
PF8_T_089,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-104.27378684076398
PF8_T_090,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,180.86109595578853
PF8_T_091,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-109.50166116327406
PF8_T_092,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,70.81059581042078
PF8_T_093,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,138.25407732011388
PF8_T_094,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,102.5760746179824
PF8_T_095,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,146.3056277380399
PF8_T_096,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,112.39475562303176
PF8_T_097,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,101.77959443051259
PF8_T_098,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,107.43271827272768
PF8_T_099,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,149.3380032311441
PF8_T_100,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,158.5852975175493
PF8_T_101,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-123.13337673978928
PF8_T_102,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,157.81849480444478
PF8_T_103,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,117.51014604724128
PF8_T_104,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,165.95684990562503
PF8_T_105,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,165.56707185497507
PF8_T_106,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-128.14836220694673
PF8_T_107,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-128.57317615663288
PF8_T_108,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,161.59333732479956
PF8_T_109,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,159.52070757084056
PF8_T_110,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,161.90724446705048
PF8_T_111,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-131.128114013926
PF8_T_112,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-134.7289266944439
