scenario,pf12_pnl,pf12_pf,pf12_dd,pf12_verdict,pf70_pnl,pf70_pf,pf70_dd,pf70_verdict,pf80_pnl,pf80_pf,pf80_dd,pf80_verdict
normal,21684.99,2.42,0.1087,PASS,29386.59,2.28,0.115,PASS,30580.4,2.32,0.1095,PASS
double fees,19668.94,2.24,0.1294,PASS,24889.12,1.7,0.2064,PASS,21356.75,1.56,0.2297,PASS
triple fees,17652.9,2.07,0.1506,PASS,21013.27,1.57,0.245,PASS,17360.02,1.43,0.2688,PASS
double slippage,19668.79,2.24,0.1294,PASS,24889.0,1.7,0.2064,PASS,21356.32,1.56,0.2297,PASS
triple slippage,17652.6,2.07,0.1506,PASS,21013.03,1.57,0.245,PASS,17359.16,1.43,0.2688,PASS
double fees + double slippage,17652.75,2.07,0.1506,PASS,21013.15,1.57,0.245,PASS,17359.59,1.43,0.2688,PASS
delay 1 candle,21969.16,2.45,0.1036,PASS,29203.65,1.86,0.1614,PASS,25885.38,1.71,0.1821,PASS
delay 2 candles,22253.33,2.48,0.0985,PASS,29642.33,1.87,0.1535,PASS,26417.29,1.72,0.172,PASS
missed fills 10%,19350.89,2.42,0.0316,PASS,26915.07,1.89,0.052,PASS,22366.21,1.67,0.0961,PASS
missed fills 20%,16624.58,2.35,0.0316,PASS,24383.95,1.91,0.052,PASS,19510.27,1.65,0.0961,PASS
missed fills 30%,14897.1,2.4,0.0316,PASS,22656.21,1.98,0.052,PASS,18219.44,1.71,0.0961,PASS
combined adverse,15922.97,2.09,0.0371,PASS,20403.31,1.63,0.0605,PASS,15650.48,1.43,0.1396,PASS
combined adverse passive,18806.1,2.25,0.0342,PASS,25027.86,1.75,0.0561,PASS,20899.86,1.57,0.1148,PASS
combined adverse high funding,14753.69,2.05,0.0371,PASS,19025.16,1.62,0.0605,PASS,15065.03,1.45,0.1396,PASS
combined adverse stale cancel,14233.85,1.94,0.0421,PASS,17190.91,1.51,0.0651,PASS,12339.76,1.33,0.1735,PASS
