candidate_id,template_type,adx_thresh,expected_r_gate,parameter_hash
C26_0001,bollinger_expansion_breakout,16,1.51,c001c11a5d79bc9f
C26_0002,bollinger_expansion_breakout,17,1.52,d55b3614c28b6cde
C26_0003,bollinger_expansion_breakout,18,1.53,273e82cc49804e0b
C26_0004,bollinger_expansion_breakout,19,1.54,4b1d9b8e80038956
C26_0005,bollinger_expansion_breakout,20,1.55,125cd1146e0b4b16
C26_0006,bollinger_expansion_breakout,21,1.56,c741b8d37319b62c
C26_0007,bollinger_expansion_breakout,22,1.57,b3e9d84e10a8148f
C26_0008,bollinger_expansion_breakout,23,1.58,1df253c6a7b1b93f
C26_0009,bollinger_expansion_breakout,24,1.59,674c1d412946f3b8
C26_0010,bollinger_expansion_breakout,25,1.6,8eabe477cf96a9fe
C26_0011,bollinger_expansion_breakout,26,1.61,1870ab18ef4c0d6f
C26_0012,bollinger_expansion_breakout,27,1.62,65ccdcef331c29fd
C26_0013,bollinger_expansion_breakout,28,1.63,8011531d092f4086
C26_0014,bollinger_expansion_breakout,29,1.64,de3d17a48fb88a1f
C26_0015,bollinger_expansion_breakout,30,1.65,4fea69c9065ecf3f
C26_0016,bollinger_expansion_breakout,31,1.66,2612b84a1e5124e6
C26_0017,bollinger_expansion_breakout,32,1.67,831ae712fa85871c
C26_0018,bollinger_expansion_breakout,33,1.68,adff27b47c2a5131
C26_0019,bollinger_expansion_breakout,34,1.69,2d9abe7c5413a0eb
C26_0020,bollinger_expansion_breakout,15,1.7,34866519b98b6e46
C26_0021,bollinger_expansion_breakout,16,1.71,115bb0d649d9d203
C26_0022,bollinger_expansion_breakout,17,1.72,358a7a0f5ad0d2f9
C26_0023,bollinger_expansion_breakout,18,1.73,e16bb2f68b0dc22d
C26_0024,bollinger_expansion_breakout,19,1.74,69c0ac1b8fef222e
C26_0025,bollinger_expansion_breakout,20,1.75,fcf205a04b603476
C26_0026,bollinger_expansion_breakout,21,1.76,2526731526072423
C26_0027,bollinger_expansion_breakout,22,1.77,4047ed96cb1336bc
C26_0028,bollinger_expansion_breakout,23,1.78,cf03047530ce3d0a
C26_0029,bollinger_expansion_breakout,24,1.79,408b501bc80ebdd8
C26_0030,bollinger_expansion_breakout,25,1.8,d091b54e96bc041f
C26_0031,bollinger_expansion_breakout,26,1.81,262b2780f708393a
C26_0032,bollinger_expansion_breakout,27,1.82,7aae48d24a72a7d5
C26_0033,bollinger_expansion_breakout,28,1.83,de5f21d814ecba23
C26_0034,bollinger_expansion_breakout,29,1.84,c5f1e06be05b1300
C26_0035,bollinger_expansion_breakout,30,1.85,7f9733407570713c
C26_0036,bollinger_expansion_breakout,31,1.86,17ab9960c35737ce
