candidate_id,status,pnl,pf,dd
C26_0001,REJECTED_UNDER_PF,5080.0,1.315,0.052
C26_0002,REJECTED_UNDER_PF,5160.0,1.33,0.054
C26_0003,REJECTED_UNDER_PF,5240.0,1.345,0.056
C26_0004,REJECTED_UNDER_PF,5320.0,1.36,0.058
C26_0005,REJECTED_UNDER_PF,5400.0,1.375,0.06
C26_0006,REJECTED_UNDER_PF,5480.0,1.39,0.062
C26_0007,REJECTED_UNDER_PF,5560.0,1.405,0.064
C26_0008,REJECTED_UNDER_PF,5640.0,1.42,0.066
C26_0009,REJECTED_UNDER_PF,5720.0,1.435,0.068
C26_0010,REJECTED_UNDER_PF,5800.0,1.45,0.07
C26_0011,REJECTED_UNDER_PF,5880.0,1.465,0.072
C26_0012,PASS,5960.0,1.48,0.074
C26_0013,REJECTED_UNDER_PF,6040.0,1.495,0.076
C26_0014,REJECTED_UNDER_PF,6120.0,1.51,0.078
C26_0015,REJECTED_UNDER_PF,6200.0,1.525,0.08
C26_0016,REJECTED_UNDER_PF,6280.0,1.54,0.082
C26_0017,REJECTED_UNDER_PF,6360.0,1.555,0.084
C26_0018,REJECTED_UNDER_PF,6440.0,1.57,0.086
C26_0019,REJECTED_UNDER_PF,6520.0,1.585,0.088
C26_0020,REJECTED_UNDER_PF,6600.0,1.6,0.09
C26_0021,REJECTED_UNDER_PF,6680.0,1.615,0.092
C26_0022,REJECTED_UNDER_PF,6760.0,1.63,0.094
C26_0023,REJECTED_UNDER_PF,6840.0,1.645,0.096
C26_0024,PASS,6920.0,1.66,0.098
C26_0025,REJECTED_UNDER_PF,7000.0,1.675,0.1
C26_0026,REJECTED_UNDER_PF,7080.0,1.69,0.102
C26_0027,REJECTED_UNDER_PF,7160.0,1.705,0.104
C26_0028,REJECTED_UNDER_PF,7240.0,1.72,0.106
C26_0029,REJECTED_UNDER_PF,7320.0,1.735,0.108
C26_0030,REJECTED_UNDER_PF,7400.0,1.75,0.11
C26_0031,REJECTED_UNDER_PF,7480.0,1.765,0.112
C26_0032,REJECTED_UNDER_PF,7560.0,1.78,0.114
C26_0033,REJECTED_UNDER_PF,7640.0,1.795,0.116
C26_0034,REJECTED_UNDER_PF,7720.0,1.81,0.118
C26_0035,REJECTED_UNDER_PF,7800.0,1.825,0.12
C26_0036,PASS,7880.0,1.84,0.122
C26_0037,REJECTED_UNDER_PF,7960.0,1.855,0.124
C26_0038,REJECTED_UNDER_PF,8040.0,1.87,0.126
C26_0039,REJECTED_UNDER_PF,8120.0,1.885,0.128
C26_0040,REJECTED_UNDER_PF,8200.0,1.9,0.13
C26_0041,REJECTED_UNDER_PF,8280.0,1.915,0.132
C26_0042,REJECTED_UNDER_PF,8360.0,1.93,0.134
C26_0043,REJECTED_UNDER_PF,8440.0,1.945,0.136
C26_0044,REJECTED_UNDER_PF,8520.0,1.96,0.138
C26_0045,REJECTED_UNDER_PF,8600.0,1.975,0.14
C26_0046,REJECTED_UNDER_PF,8680.0,1.99,0.142
C26_0047,REJECTED_UNDER_PF,8760.0,2.005,0.144
C26_0048,PASS,8840.0,2.02,0.146
C26_0049,REJECTED_UNDER_PF,8920.0,2.035,0.148
C26_0050,REJECTED_UNDER_PF,9000.0,2.05,0.15
C26_0051,REJECTED_UNDER_PF,9080.0,2.065,0.152
C26_0052,REJECTED_UNDER_PF,9160.0,2.08,0.154
C26_0053,REJECTED_UNDER_PF,9240.0,2.095,0.156
C26_0054,REJECTED_UNDER_PF,9320.0,2.11,0.158
C26_0055,REJECTED_UNDER_PF,9400.0,2.125,0.16
C26_0056,REJECTED_UNDER_PF,9480.0,2.14,0.162
C26_0057,REJECTED_UNDER_PF,9560.0,2.155,0.164
C26_0058,REJECTED_UNDER_PF,9640.0,2.17,0.166
C26_0059,REJECTED_UNDER_PF,9720.0,2.185,0.168
C26_0060,PASS,9800.0,2.2,0.17
C26_0061,REJECTED_UNDER_PF,9880.0,2.215,0.172
C26_0062,REJECTED_UNDER_PF,9960.0,2.23,0.174
C26_0063,REJECTED_UNDER_PF,10040.0,2.245,0.176
C26_0064,REJECTED_UNDER_PF,10120.0,2.26,0.178
C26_0065,REJECTED_UNDER_PF,10200.0,2.275,0.18
C26_0066,REJECTED_UNDER_PF,10280.0,2.29,0.182
C26_0067,REJECTED_UNDER_PF,10360.0,2.305,0.184
C26_0068,REJECTED_UNDER_PF,10440.0,2.32,0.186
C26_0069,REJECTED_UNDER_PF,10520.0,2.335,0.188
C26_0070,REJECTED_UNDER_PF,10600.0,2.35,0.19
C26_0071,REJECTED_UNDER_PF,10680.0,2.365,0.192
C26_0072,PASS,10760.0,2.38,0.194
C26_0073,REJECTED_UNDER_PF,10840.0,2.395,0.196
C26_0074,REJECTED_UNDER_PF,10920.0,2.41,0.198
C26_0075,REJECTED_UNDER_PF,11000.0,2.425,0.2
C26_0076,REJECTED_UNDER_PF,11080.0,2.44,0.202
C26_0077,REJECTED_UNDER_PF,11160.0,2.455,0.204
C26_0078,REJECTED_UNDER_PF,11240.0,2.47,0.206
C26_0079,REJECTED_UNDER_PF,11320.0,2.485,0.208
C26_0080,REJECTED_UNDER_PF,11400.0,2.5,0.21
C26_0081,REJECTED_UNDER_PF,11480.0,2.515,0.212
C26_0082,REJECTED_UNDER_PF,11560.0,2.53,0.214
C26_0083,REJECTED_UNDER_PF,11640.0,2.545,0.216
C26_0084,PASS,11720.0,2.56,0.218
C26_0085,REJECTED_UNDER_PF,11800.0,2.575,0.22
C26_0086,REJECTED_UNDER_PF,11880.0,2.59,0.222
C26_0087,REJECTED_UNDER_PF,11960.0,2.605,0.224
C26_0088,REJECTED_UNDER_PF,12040.0,2.62,0.226
C26_0089,REJECTED_UNDER_PF,12120.0,2.635,0.228
C26_0090,REJECTED_UNDER_PF,12200.0,2.65,0.23
C26_0091,REJECTED_UNDER_PF,12280.0,2.665,0.232
C26_0092,REJECTED_UNDER_PF,12360.0,2.68,0.234
C26_0093,REJECTED_UNDER_PF,12440.0,2.695,0.236
C26_0094,REJECTED_UNDER_PF,12520.0,2.71,0.238
C26_0095,REJECTED_UNDER_PF,12600.0,2.725,0.24
C26_0096,PASS,12680.0,2.74,0.242
C26_0097,REJECTED_UNDER_PF,12760.0,2.755,0.244
C26_0098,REJECTED_UNDER_PF,12840.0,2.77,0.246
C26_0099,REJECTED_UNDER_PF,12920.0,2.785,0.248
C26_0100,REJECTED_UNDER_PF,5000.0,1.3,0.05
C26_0101,REJECTED_UNDER_PF,5080.0,1.315,0.052
C26_0102,REJECTED_UNDER_PF,5160.0,1.33,0.054
C26_0103,REJECTED_UNDER_PF,5240.0,1.345,0.056
C26_0104,REJECTED_UNDER_PF,5320.0,1.36,0.058
C26_0105,REJECTED_UNDER_PF,5400.0,1.375,0.06
C26_0106,REJECTED_UNDER_PF,5480.0,1.39,0.062
C26_0107,REJECTED_UNDER_PF,5560.0,1.405,0.064
C26_0108,PASS,5640.0,1.42,0.066
C26_0109,REJECTED_UNDER_PF,5720.0,1.435,0.068
C26_0110,REJECTED_UNDER_PF,5800.0,1.45,0.07
C26_0111,REJECTED_UNDER_PF,5880.0,1.465,0.072
C26_0112,REJECTED_UNDER_PF,5960.0,1.48,0.074
C26_0113,REJECTED_UNDER_PF,6040.0,1.495,0.076
C26_0114,REJECTED_UNDER_PF,6120.0,1.51,0.078
C26_0115,REJECTED_UNDER_PF,6200.0,1.525,0.08
C26_0116,REJECTED_UNDER_PF,6280.0,1.54,0.082
C26_0117,REJECTED_UNDER_PF,6360.0,1.555,0.084
C26_0118,REJECTED_UNDER_PF,6440.0,1.57,0.086
C26_0119,REJECTED_UNDER_PF,6520.0,1.585,0.088
C26_0120,PASS,6600.0,1.6,0.09
C26_0121,REJECTED_UNDER_PF,6680.0,1.615,0.092
C26_0122,REJECTED_UNDER_PF,6760.0,1.63,0.094
C26_0123,REJECTED_UNDER_PF,6840.0,1.645,0.096
C26_0124,REJECTED_UNDER_PF,6920.0,1.66,0.098
C26_0125,REJECTED_UNDER_PF,7000.0,1.675,0.1
C26_0126,REJECTED_UNDER_PF,7080.0,1.69,0.102
C26_0127,REJECTED_UNDER_PF,7160.0,1.705,0.104
C26_0128,REJECTED_UNDER_PF,7240.0,1.72,0.106
C26_0129,REJECTED_UNDER_PF,7320.0,1.735,0.108
C26_0130,REJECTED_UNDER_PF,7400.0,1.75,0.11
C26_0131,REJECTED_UNDER_PF,7480.0,1.765,0.112
C26_0132,PASS,7560.0,1.78,0.114
C26_0133,REJECTED_UNDER_PF,7640.0,1.795,0.116
C26_0134,REJECTED_UNDER_PF,7720.0,1.81,0.118
C26_0135,REJECTED_UNDER_PF,7800.0,1.825,0.12
C26_0136,REJECTED_UNDER_PF,7880.0,1.84,0.122
C26_0137,REJECTED_UNDER_PF,7960.0,1.855,0.124
C26_0138,REJECTED_UNDER_PF,8040.0,1.87,0.126
