trade_id,sleeve,pnl,loss_bucket,mae_speed,mfe_before_loss,avoidable
LOSS_001,session_breakout,-122.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_002,second_retest,-124.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_003,session_breakout,-126.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_004,second_retest,-128.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_005,session_breakout,-130.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_006,second_retest,-132.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_007,session_breakout,-134.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_008,second_retest,-136.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_009,session_breakout,-138.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_010,second_retest,-140.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_011,session_breakout,-142.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_012,second_retest,-144.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_013,session_breakout,-146.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_014,second_retest,-148.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_015,session_breakout,-150.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_016,second_retest,-152.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_017,session_breakout,-154.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_018,second_retest,-156.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_019,session_breakout,-158.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_020,second_retest,-160.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_021,session_breakout,-162.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_022,second_retest,-164.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_023,session_breakout,-166.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_024,second_retest,-168.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_025,session_breakout,-170.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_026,second_retest,-172.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_027,session_breakout,-174.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_028,second_retest,-176.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_029,session_breakout,-178.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_030,second_retest,-180.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_031,session_breakout,-182.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_032,second_retest,-184.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_033,session_breakout,-186.0,weak_continuation,fast_stop_hit,0.35,YES
LOSS_034,second_retest,-188.0,false_breakout,fast_stop_hit,0.35,NO
LOSS_035,session_breakout,-190.0,funding_drag,fast_stop_hit,0.35,NO
LOSS_036,second_retest,-192.0,weak_continuation,fast_stop_hit,0.35,YES
