added_trade_id,sleeve_source,pnl,pf,classification,drawdown_contribution,action_required
ADD_001,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_002,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_003,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_004,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_005,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_006,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_007,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_008,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_009,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_010,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_011,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_012,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_013,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_014,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_015,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_016,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_017,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_018,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_019,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_020,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_021,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_022,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_023,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_024,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_025,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_026,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_027,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_028,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_029,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_030,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_031,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_032,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_033,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_034,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_035,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_036,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_037,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_038,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_039,VWAP_reclaim,450.0,3.5,elite,0.0005,KEEP
ADD_040,second_retest_entry,450.0,3.5,elite,0.0005,KEEP
ADD_041,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_042,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_043,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_044,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_045,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_046,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_047,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_048,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_049,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_050,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_051,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_052,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_053,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_054,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_055,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_056,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_057,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_058,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_059,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_060,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_061,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_062,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_063,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_064,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_065,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_066,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_067,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_068,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_069,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_070,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_071,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_072,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_073,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_074,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_075,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_076,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_077,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_078,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_079,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_080,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_081,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_082,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_083,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_084,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_085,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_086,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_087,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_088,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_089,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_090,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_091,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_092,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_093,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_094,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_095,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_096,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_097,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_098,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_099,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_100,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_101,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_102,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_103,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_104,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_105,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_106,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_107,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_108,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_109,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_110,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_111,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_112,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_113,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_114,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_115,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_116,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_117,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_118,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_119,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_120,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_121,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_122,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_123,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_124,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
ADD_125,VWAP_reclaim,120.0,2.1,acceptable,0.0005,KEEP
ADD_126,second_retest_entry,120.0,2.1,acceptable,0.0005,KEEP
