trade_id,sleeve,entry_time,side,pnl,r_multiple,volatility_regime,mfe_ratio,mae_before_win,session
WIN_001,VWAP_reclaim,1577844000000,Long,355.0,2.55,high_atr,2.8,0.15,NY
WIN_002,core_pf12,1577847600000,Long,360.0,2.6,high_atr,2.8,0.15,London
WIN_003,VWAP_reclaim,1577851200000,Long,365.0,2.65,high_atr,2.8,0.15,NY
WIN_004,core_pf12,1577854800000,Long,370.0,2.7,high_atr,2.8,0.15,London
WIN_005,VWAP_reclaim,1577858400000,Long,375.0,2.75,high_atr,2.8,0.15,NY
WIN_006,core_pf12,1577862000000,Long,380.0,2.8,high_atr,2.8,0.15,London
WIN_007,VWAP_reclaim,1577865600000,Long,385.0,2.85,high_atr,2.8,0.15,NY
WIN_008,core_pf12,1577869200000,Long,390.0,2.9,high_atr,2.8,0.15,London
WIN_009,VWAP_reclaim,1577872800000,Long,395.0,2.95,high_atr,2.8,0.15,NY
WIN_010,core_pf12,1577876400000,Long,400.0,3.0,high_atr,2.8,0.15,London
WIN_011,VWAP_reclaim,1577880000000,Long,405.0,3.05,high_atr,2.8,0.15,NY
WIN_012,core_pf12,1577883600000,Long,410.0,3.1,high_atr,2.8,0.15,London
WIN_013,VWAP_reclaim,1577887200000,Long,415.0,3.15,high_atr,2.8,0.15,NY
WIN_014,core_pf12,1577890800000,Long,420.0,3.2,high_atr,2.8,0.15,London
WIN_015,VWAP_reclaim,1577894400000,Long,425.0,3.25,high_atr,2.8,0.15,NY
WIN_016,core_pf12,1577898000000,Long,430.0,3.3,high_atr,2.8,0.15,London
WIN_017,VWAP_reclaim,1577901600000,Long,435.0,3.35,high_atr,2.8,0.15,NY
WIN_018,core_pf12,1577905200000,Long,440.0,3.4,high_atr,2.8,0.15,London
WIN_019,VWAP_reclaim,1577908800000,Long,445.0,3.45,high_atr,2.8,0.15,NY
WIN_020,core_pf12,1577912400000,Long,450.0,3.5,high_atr,2.8,0.15,London
WIN_021,VWAP_reclaim,1577916000000,Long,455.0,3.55,high_atr,2.8,0.15,NY
WIN_022,core_pf12,1577919600000,Long,460.0,3.6,high_atr,2.8,0.15,London
WIN_023,VWAP_reclaim,1577923200000,Long,465.0,3.6500000000000004,high_atr,2.8,0.15,NY
WIN_024,core_pf12,1577926800000,Long,470.0,3.7,high_atr,2.8,0.15,London
WIN_025,VWAP_reclaim,1577930400000,Long,475.0,3.75,high_atr,2.8,0.15,NY
WIN_026,core_pf12,1577934000000,Long,480.0,3.8,high_atr,2.8,0.15,London
WIN_027,VWAP_reclaim,1577937600000,Long,485.0,3.85,high_atr,2.8,0.15,NY
WIN_028,core_pf12,1577941200000,Long,490.0,3.9000000000000004,high_atr,2.8,0.15,London
WIN_029,VWAP_reclaim,1577944800000,Long,495.0,3.95,high_atr,2.8,0.15,NY
WIN_030,core_pf12,1577948400000,Long,500.0,4.0,high_atr,2.8,0.15,London
WIN_031,VWAP_reclaim,1577952000000,Long,505.0,4.05,high_atr,2.8,0.15,NY
WIN_032,core_pf12,1577955600000,Long,510.0,4.1,high_atr,2.8,0.15,London
WIN_033,VWAP_reclaim,1577959200000,Long,515.0,4.15,high_atr,2.8,0.15,NY
WIN_034,core_pf12,1577962800000,Long,520.0,4.2,high_atr,2.8,0.15,London
WIN_035,VWAP_reclaim,1577966400000,Long,525.0,4.25,high_atr,2.8,0.15,NY
