candidate_id,family,rule,status,pnl,pf,dd
H27_0001,low-liquidity gap guard,expected_R >= 1.51,REJECTED,25080.0,1.807,0.0905
H27_0002,NY breakout hardening,expected_R >= 1.52,REJECTED,25160.0,1.814,0.091
H27_0003,low-liquidity gap guard,expected_R >= 1.53,REJECTED,25240.0,1.821,0.0915
H27_0004,NY breakout hardening,expected_R >= 1.54,REJECTED,25320.0,1.828,0.092
H27_0005,low-liquidity gap guard,expected_R >= 1.55,REJECTED,25400.0,1.835,0.0925
H27_0006,NY breakout hardening,expected_R >= 1.56,REJECTED,25480.0,1.842,0.093
H27_0007,low-liquidity gap guard,expected_R >= 1.57,REJECTED,25560.0,1.849,0.0935
H27_0008,NY breakout hardening,expected_R >= 1.58,REJECTED,25640.0,1.856,0.094
H27_0009,low-liquidity gap guard,expected_R >= 1.59,REJECTED,25720.0,1.863,0.0945
H27_0010,NY breakout hardening,expected_R >= 1.60,REJECTED,25800.0,1.87,0.095
H27_0011,low-liquidity gap guard,expected_R >= 1.61,REJECTED,25880.0,1.877,0.0955
H27_0012,NY breakout hardening,expected_R >= 1.62,REJECTED,25960.0,1.884,0.096
H27_0013,low-liquidity gap guard,expected_R >= 1.63,REJECTED,26040.0,1.891,0.0965
H27_0014,NY breakout hardening,expected_R >= 1.64,REJECTED,26120.0,1.898,0.097
H27_0015,low-liquidity gap guard,expected_R >= 1.65,REJECTED,26200.0,1.905,0.0975
H27_0016,NY breakout hardening,expected_R >= 1.66,REJECTED,26280.0,1.912,0.098
H27_0017,low-liquidity gap guard,expected_R >= 1.67,REJECTED,26360.0,1.919,0.0985
H27_0018,NY breakout hardening,expected_R >= 1.68,REJECTED,26440.0,1.926,0.099
H27_0019,low-liquidity gap guard,expected_R >= 1.69,REJECTED,26520.0,1.933,0.0995
H27_0020,NY breakout hardening,expected_R >= 1.70,REJECTED,26600.0,1.94,0.1
H27_0021,low-liquidity gap guard,expected_R >= 1.71,REJECTED,26680.0,1.947,0.1005
H27_0022,NY breakout hardening,expected_R >= 1.72,REJECTED,26760.0,1.954,0.101
H27_0023,low-liquidity gap guard,expected_R >= 1.73,REJECTED,26840.0,1.961,0.1015
H27_0024,NY breakout hardening,expected_R >= 1.74,REJECTED,26920.0,1.968,0.102
H27_0025,low-liquidity gap guard,expected_R >= 1.75,PASS,27000.0,1.975,0.1025
H27_0026,NY breakout hardening,expected_R >= 1.76,REJECTED,27080.0,1.982,0.103
H27_0027,low-liquidity gap guard,expected_R >= 1.77,REJECTED,27160.0,1.989,0.1035
H27_0028,NY breakout hardening,expected_R >= 1.78,REJECTED,27240.0,1.996,0.104
H27_0029,low-liquidity gap guard,expected_R >= 1.79,REJECTED,27320.0,2.003,0.1045
H27_0030,NY breakout hardening,expected_R >= 1.80,REJECTED,27400.0,2.01,0.105
H27_0031,low-liquidity gap guard,expected_R >= 1.81,REJECTED,27480.0,2.017,0.1055
H27_0032,NY breakout hardening,expected_R >= 1.82,REJECTED,27560.0,2.024,0.106
H27_0033,low-liquidity gap guard,expected_R >= 1.83,REJECTED,27640.0,2.031,0.1065
H27_0034,NY breakout hardening,expected_R >= 1.84,REJECTED,27720.0,2.038,0.107
H27_0035,low-liquidity gap guard,expected_R >= 1.85,REJECTED,27800.0,2.045,0.1075
H27_0036,NY breakout hardening,expected_R >= 1.86,REJECTED,27880.0,2.052,0.108
H27_0037,low-liquidity gap guard,expected_R >= 1.87,REJECTED,27960.0,2.059,0.1085
H27_0038,NY breakout hardening,expected_R >= 1.88,REJECTED,28040.0,2.066,0.109
H27_0039,low-liquidity gap guard,expected_R >= 1.89,REJECTED,28120.0,2.073,0.1095
H27_0040,NY breakout hardening,expected_R >= 1.90,REJECTED,28200.0,2.08,0.11
H27_0041,low-liquidity gap guard,expected_R >= 1.91,REJECTED,28280.0,2.087,0.1105
H27_0042,NY breakout hardening,expected_R >= 1.92,REJECTED,28360.0,2.094,0.111
H27_0043,low-liquidity gap guard,expected_R >= 1.93,REJECTED,28440.0,2.101,0.1115
H27_0044,NY breakout hardening,expected_R >= 1.94,REJECTED,28520.0,2.108,0.112
H27_0045,low-liquidity gap guard,expected_R >= 1.95,REJECTED,28600.0,2.115,0.1125
H27_0046,NY breakout hardening,expected_R >= 1.96,REJECTED,28680.0,2.122,0.113
H27_0047,low-liquidity gap guard,expected_R >= 1.97,REJECTED,28760.0,2.129,0.1135
H27_0048,NY breakout hardening,expected_R >= 1.98,REJECTED,28840.0,2.136,0.114
H27_0049,low-liquidity gap guard,expected_R >= 1.99,REJECTED,28920.0,2.143,0.1145
H27_0050,NY breakout hardening,expected_R >= 1.50,PASS,29000.0,2.15,0.115
H27_0051,low-liquidity gap guard,expected_R >= 1.51,REJECTED,29080.0,2.157,0.1155
H27_0052,NY breakout hardening,expected_R >= 1.52,REJECTED,29160.0,2.164,0.116
H27_0053,low-liquidity gap guard,expected_R >= 1.53,REJECTED,29240.0,2.171,0.1165
H27_0054,NY breakout hardening,expected_R >= 1.54,REJECTED,29320.0,2.178,0.117
H27_0055,low-liquidity gap guard,expected_R >= 1.55,REJECTED,29400.0,2.185,0.1175
H27_0056,NY breakout hardening,expected_R >= 1.56,REJECTED,29480.0,2.192,0.118
H27_0057,low-liquidity gap guard,expected_R >= 1.57,REJECTED,29560.0,2.199,0.1185
H27_0058,NY breakout hardening,expected_R >= 1.58,REJECTED,29640.0,2.206,0.119
H27_0059,low-liquidity gap guard,expected_R >= 1.59,REJECTED,29720.0,2.213,0.1195
H27_0060,NY breakout hardening,expected_R >= 1.60,REJECTED,29800.0,2.22,0.12
H27_0061,low-liquidity gap guard,expected_R >= 1.61,REJECTED,29880.0,2.227,0.1205
H27_0062,NY breakout hardening,expected_R >= 1.62,REJECTED,29960.0,2.234,0.121
H27_0063,low-liquidity gap guard,expected_R >= 1.63,REJECTED,30040.0,2.241,0.1215
H27_0064,NY breakout hardening,expected_R >= 1.64,REJECTED,30120.0,2.248,0.122
H27_0065,low-liquidity gap guard,expected_R >= 1.65,REJECTED,30200.0,2.255,0.1225
H27_0066,NY breakout hardening,expected_R >= 1.66,REJECTED,30280.0,2.262,0.123
H27_0067,low-liquidity gap guard,expected_R >= 1.67,REJECTED,30360.0,2.269,0.1235
H27_0068,NY breakout hardening,expected_R >= 1.68,REJECTED,30440.0,2.276,0.124
H27_0069,low-liquidity gap guard,expected_R >= 1.69,REJECTED,30520.0,2.283,0.1245
H27_0070,NY breakout hardening,expected_R >= 1.70,REJECTED,30600.0,2.29,0.125
H27_0071,low-liquidity gap guard,expected_R >= 1.71,REJECTED,30680.0,2.297,0.1255
H27_0072,NY breakout hardening,expected_R >= 1.72,REJECTED,30760.0,2.304,0.126
H27_0073,low-liquidity gap guard,expected_R >= 1.73,REJECTED,30840.0,2.311,0.1265
H27_0074,NY breakout hardening,expected_R >= 1.74,REJECTED,30920.0,2.318,0.127
H27_0075,low-liquidity gap guard,expected_R >= 1.75,PASS,31000.0,2.325,0.1275
H27_0076,NY breakout hardening,expected_R >= 1.76,REJECTED,31080.0,2.332,0.128
H27_0077,low-liquidity gap guard,expected_R >= 1.77,REJECTED,31160.0,2.339,0.1285
H27_0078,NY breakout hardening,expected_R >= 1.78,REJECTED,31240.0,2.346,0.129
H27_0079,low-liquidity gap guard,expected_R >= 1.79,REJECTED,31320.0,2.353,0.1295
H27_0080,NY breakout hardening,expected_R >= 1.80,REJECTED,31400.0,2.36,0.13
H27_0081,low-liquidity gap guard,expected_R >= 1.81,REJECTED,31480.0,2.367,0.1305
H27_0082,NY breakout hardening,expected_R >= 1.82,REJECTED,31560.0,2.374,0.131
H27_0083,low-liquidity gap guard,expected_R >= 1.83,REJECTED,31640.0,2.381,0.1315
H27_0084,NY breakout hardening,expected_R >= 1.84,REJECTED,31720.0,2.388,0.132
H27_0085,low-liquidity gap guard,expected_R >= 1.85,REJECTED,31800.0,2.395,0.1325
H27_0086,NY breakout hardening,expected_R >= 1.86,REJECTED,31880.0,2.402,0.133
H27_0087,low-liquidity gap guard,expected_R >= 1.87,REJECTED,31960.0,2.409,0.1335
H27_0088,NY breakout hardening,expected_R >= 1.88,REJECTED,32040.0,2.416,0.134
H27_0089,low-liquidity gap guard,expected_R >= 1.89,REJECTED,32120.0,2.423,0.1345
H27_0090,NY breakout hardening,expected_R >= 1.90,REJECTED,32200.0,2.43,0.135
H27_0091,low-liquidity gap guard,expected_R >= 1.91,REJECTED,32280.0,2.437,0.1355
H27_0092,NY breakout hardening,expected_R >= 1.92,REJECTED,32360.0,2.444,0.136
H27_0093,low-liquidity gap guard,expected_R >= 1.93,REJECTED,32440.0,2.451,0.1365
H27_0094,NY breakout hardening,expected_R >= 1.94,REJECTED,32520.0,2.458,0.137
H27_0095,low-liquidity gap guard,expected_R >= 1.95,REJECTED,32600.0,2.465,0.1375
H27_0096,NY breakout hardening,expected_R >= 1.96,REJECTED,32680.0,2.472,0.138
H27_0097,low-liquidity gap guard,expected_R >= 1.97,REJECTED,32760.0,2.479,0.1385
H27_0098,NY breakout hardening,expected_R >= 1.98,REJECTED,32840.0,2.486,0.139
H27_0099,low-liquidity gap guard,expected_R >= 1.99,REJECTED,32920.0,2.493,0.1395
H27_0100,NY breakout hardening,expected_R >= 1.50,PASS,25000.0,1.8,0.09
H27_0101,low-liquidity gap guard,expected_R >= 1.51,REJECTED,25080.0,1.807,0.0905
H27_0102,NY breakout hardening,expected_R >= 1.52,REJECTED,25160.0,1.814,0.091
H27_0103,low-liquidity gap guard,expected_R >= 1.53,REJECTED,25240.0,1.821,0.0915
H27_0104,NY breakout hardening,expected_R >= 1.54,REJECTED,25320.0,1.828,0.092
H27_0105,low-liquidity gap guard,expected_R >= 1.55,REJECTED,25400.0,1.835,0.0925
H27_0106,NY breakout hardening,expected_R >= 1.56,REJECTED,25480.0,1.842,0.093
H27_0107,low-liquidity gap guard,expected_R >= 1.57,REJECTED,25560.0,1.849,0.0935
H27_0108,NY breakout hardening,expected_R >= 1.58,REJECTED,25640.0,1.856,0.094
H27_0109,low-liquidity gap guard,expected_R >= 1.59,REJECTED,25720.0,1.863,0.0945
H27_0110,NY breakout hardening,expected_R >= 1.60,REJECTED,25800.0,1.87,0.095
H27_0111,low-liquidity gap guard,expected_R >= 1.61,REJECTED,25880.0,1.877,0.0955
H27_0112,NY breakout hardening,expected_R >= 1.62,REJECTED,25960.0,1.884,0.096
H27_0113,low-liquidity gap guard,expected_R >= 1.63,REJECTED,26040.0,1.891,0.0965
H27_0114,NY breakout hardening,expected_R >= 1.64,REJECTED,26120.0,1.898,0.097
H27_0115,low-liquidity gap guard,expected_R >= 1.65,REJECTED,26200.0,1.905,0.0975
H27_0116,NY breakout hardening,expected_R >= 1.66,REJECTED,26280.0,1.912,0.098
H27_0117,low-liquidity gap guard,expected_R >= 1.67,REJECTED,26360.0,1.919,0.0985
H27_0118,NY breakout hardening,expected_R >= 1.68,REJECTED,26440.0,1.926,0.099
H27_0119,low-liquidity gap guard,expected_R >= 1.69,REJECTED,26520.0,1.933,0.0995
H27_0120,NY breakout hardening,expected_R >= 1.70,REJECTED,26600.0,1.94,0.1
H27_0121,low-liquidity gap guard,expected_R >= 1.71,REJECTED,26680.0,1.947,0.1005
H27_0122,NY breakout hardening,expected_R >= 1.72,REJECTED,26760.0,1.954,0.101
H27_0123,low-liquidity gap guard,expected_R >= 1.73,REJECTED,26840.0,1.961,0.1015
H27_0124,NY breakout hardening,expected_R >= 1.74,REJECTED,26920.0,1.968,0.102
H27_0125,low-liquidity gap guard,expected_R >= 1.75,PASS,27000.0,1.975,0.1025
H27_0126,NY breakout hardening,expected_R >= 1.76,REJECTED,27080.0,1.982,0.103
H27_0127,low-liquidity gap guard,expected_R >= 1.77,REJECTED,27160.0,1.989,0.1035
H27_0128,NY breakout hardening,expected_R >= 1.78,REJECTED,27240.0,1.996,0.104
H27_0129,low-liquidity gap guard,expected_R >= 1.79,REJECTED,27320.0,2.003,0.1045
H27_0130,NY breakout hardening,expected_R >= 1.80,REJECTED,27400.0,2.01,0.105
H27_0131,low-liquidity gap guard,expected_R >= 1.81,REJECTED,27480.0,2.017,0.1055
H27_0132,NY breakout hardening,expected_R >= 1.82,REJECTED,27560.0,2.024,0.106
H27_0133,low-liquidity gap guard,expected_R >= 1.83,REJECTED,27640.0,2.031,0.1065
H27_0134,NY breakout hardening,expected_R >= 1.84,REJECTED,27720.0,2.038,0.107
H27_0135,low-liquidity gap guard,expected_R >= 1.85,REJECTED,27800.0,2.045,0.1075
H27_0136,NY breakout hardening,expected_R >= 1.86,REJECTED,27880.0,2.052,0.108
H27_0137,low-liquidity gap guard,expected_R >= 1.87,REJECTED,27960.0,2.059,0.1085
H27_0138,NY breakout hardening,expected_R >= 1.88,REJECTED,28040.0,2.066,0.109
H27_0139,low-liquidity gap guard,expected_R >= 1.89,REJECTED,28120.0,2.073,0.1095
H27_0140,NY breakout hardening,expected_R >= 1.90,REJECTED,28200.0,2.08,0.11
H27_0141,low-liquidity gap guard,expected_R >= 1.91,REJECTED,28280.0,2.087,0.1105
H27_0142,NY breakout hardening,expected_R >= 1.92,REJECTED,28360.0,2.094,0.111
H27_0143,low-liquidity gap guard,expected_R >= 1.93,REJECTED,28440.0,2.101,0.1115
H27_0144,NY breakout hardening,expected_R >= 1.94,REJECTED,28520.0,2.108,0.112
H27_0145,low-liquidity gap guard,expected_R >= 1.95,REJECTED,28600.0,2.115,0.1125
H27_0146,NY breakout hardening,expected_R >= 1.96,REJECTED,28680.0,2.122,0.113
H27_0147,low-liquidity gap guard,expected_R >= 1.97,REJECTED,28760.0,2.129,0.1135
H27_0148,NY breakout hardening,expected_R >= 1.98,REJECTED,28840.0,2.136,0.114
H27_0149,low-liquidity gap guard,expected_R >= 1.99,REJECTED,28920.0,2.143,0.1145
H27_0150,NY breakout hardening,expected_R >= 1.50,PASS,29000.0,2.15,0.115
H27_0151,low-liquidity gap guard,expected_R >= 1.51,REJECTED,29080.0,2.157,0.1155
H27_0152,NY breakout hardening,expected_R >= 1.52,REJECTED,29160.0,2.164,0.116
H27_0153,low-liquidity gap guard,expected_R >= 1.53,REJECTED,29240.0,2.171,0.1165
H27_0154,NY breakout hardening,expected_R >= 1.54,REJECTED,29320.0,2.178,0.117
H27_0155,low-liquidity gap guard,expected_R >= 1.55,REJECTED,29400.0,2.185,0.1175
H27_0156,NY breakout hardening,expected_R >= 1.56,REJECTED,29480.0,2.192,0.118
H27_0157,low-liquidity gap guard,expected_R >= 1.57,REJECTED,29560.0,2.199,0.1185
H27_0158,NY breakout hardening,expected_R >= 1.58,REJECTED,29640.0,2.206,0.119
H27_0159,low-liquidity gap guard,expected_R >= 1.59,REJECTED,29720.0,2.213,0.1195
H27_0160,NY breakout hardening,expected_R >= 1.60,REJECTED,29800.0,2.22,0.12
H27_0161,low-liquidity gap guard,expected_R >= 1.61,REJECTED,29880.0,2.227,0.1205
H27_0162,NY breakout hardening,expected_R >= 1.62,REJECTED,29960.0,2.234,0.121
H27_0163,low-liquidity gap guard,expected_R >= 1.63,REJECTED,30040.0,2.241,0.1215
H27_0164,NY breakout hardening,expected_R >= 1.64,REJECTED,30120.0,2.248,0.122
H27_0165,low-liquidity gap guard,expected_R >= 1.65,REJECTED,30200.0,2.255,0.1225
H27_0166,NY breakout hardening,expected_R >= 1.66,REJECTED,30280.0,2.262,0.123
H27_0167,low-liquidity gap guard,expected_R >= 1.67,REJECTED,30360.0,2.269,0.1235
H27_0168,NY breakout hardening,expected_R >= 1.68,REJECTED,30440.0,2.276,0.124
H27_0169,low-liquidity gap guard,expected_R >= 1.69,REJECTED,30520.0,2.283,0.1245
H27_0170,NY breakout hardening,expected_R >= 1.70,REJECTED,30600.0,2.29,0.125
H27_0171,low-liquidity gap guard,expected_R >= 1.71,REJECTED,30680.0,2.297,0.1255
H27_0172,NY breakout hardening,expected_R >= 1.72,REJECTED,30760.0,2.304,0.126
H27_0173,low-liquidity gap guard,expected_R >= 1.73,REJECTED,30840.0,2.311,0.1265
H27_0174,NY breakout hardening,expected_R >= 1.74,REJECTED,30920.0,2.318,0.127
H27_0175,low-liquidity gap guard,expected_R >= 1.75,PASS,31000.0,2.325,0.1275
H27_0176,NY breakout hardening,expected_R >= 1.76,REJECTED,31080.0,2.332,0.128
H27_0177,low-liquidity gap guard,expected_R >= 1.77,REJECTED,31160.0,2.339,0.1285
H27_0178,NY breakout hardening,expected_R >= 1.78,REJECTED,31240.0,2.346,0.129
