scenario,pnl,pf,dd,trades,verdict
normal,31250.8,2.38,0.1085,625,PASS
double fees,19288.28,1.51,0.2297,625,PASS
triple fees,15446.24,1.39,0.2688,625,PASS
double slippage,19287.84,1.51,0.2297,625,PASS
triple slippage,15445.36,1.39,0.2688,625,PASS
double fees + double slippage,15445.8,1.39,0.2688,625,PASS
delay 1 candle,23635.72,1.66,0.1821,625,PASS
delay 2 candles,24141.12,1.67,0.172,625,PASS
missed fills 10%,20678.86,1.63,0.0698,562,PASS
missed fills 20%,18764.68,1.65,0.0698,500,PASS
missed fills 30%,16364.11,1.64,0.0698,438,PASS
combined adverse,14239.69,1.41,0.1062,562,PASS
combined adverse passive,19053.75,1.53,0.0866,594,PASS
combined adverse high funding,14208.09,1.43,0.1062,531,PASS
combined adverse stale cancel,11065.54,1.3,0.1436,562,PASS
