scenario,net_pnl,profit_factor,max_dd_pct,trades,positive_months,negative_months,zero_months,verdict
normal,-9486.487499190473,0.47238066222224995,94.8885651825546,675,13,65,0,FAIL
double fees,-12035.746832174655,0.3934175957106361,120.33387313948549,675,10,68,0,FAIL
triple fees,-14585.006165158837,0.32860196331536573,145.9233674113988,675,8,70,0,FAIL
double slippage,-12036.212824467933,0.393409877814908,120.33880244284087,675,10,68,0,FAIL
triple slippage,-14585.93814974539,0.3285897284370716,145.93394673932272,675,8,70,0,FAIL
double fees + double slippage,-14585.472157452114,0.3285958457365107,145.9286570036978,675,8,70,0,FAIL
delay 1 candle,-9581.749281090471,0.46850786639159225,95.83391222949987,675,13,65,0,FAIL
delay 2 candles,-9677.011062990472,0.4646557335581213,96.7823057180602,675,13,65,0,FAIL
missed fills 10%,-8776.915751743401,0.4638351595961538,87.88426838738954,608,13,65,0,FAIL
missed fills 20%,-7445.879862547261,0.4737742274413726,75.17752382219378,540,15,62,1,FAIL
missed fills 30%,-7030.244281420045,0.4549774983366238,70.5819420922007,472,16,60,2,FAIL
combined adverse,-13522.03544564826,0.31878493123977814,135.22124375577926,608,9,69,0,FAIL
combined adverse passive,-11623.959190587026,0.3847782310126336,116.23992967667047,641,10,68,0,FAIL
combined adverse high funding,-12281.583902327837,0.3302358225884493,122.81641511372123,574,11,67,0,FAIL
combined adverse stale cancel,-15902.66383324569,0.2645385516899613,159.02839142304032,608,9,69,0,FAIL
