strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month
second_retest,1578276000000,2020-01-06 02:00:00+00:00,1578276000000,2020-01-06 02:00:00+00:00,Short,7416.2,7480.487705934778,7476.749331269144,7476.749331269144,7332.497781218093,1.762,-113.27493785707952,13.123981868928539,6.6075,6.58701616084743,13.19451616084743,0.0,-126.39891972600806,9873.601080273993,SL Hit,-1.0617409736371315,0,False,False,False,False,2020-01-06 02:00:00,2020-01
pullback_reclaim,1578661200000,2020-01-10 13:00:00+00:00,1578668400000,2020-01-10 15:00:00+00:00,Long,7894.9,8036.981233239912,8041.001734106965,7894.9,8041.001734106965,0.963,136.824227610036,7.671200813805018,3.823109999999369,3.8717423349718083,7.694852334971177,0.0,129.15302679623096,10002.754107070225,TP Hit,1.3363409387597838,2,False,False,False,False,2020-01-10 15:00:00,2020-01
pullback_reclaim,1578790800000,2020-01-12 01:00:00+00:00,1578877200000,2020-01-13 01:00:00+00:00,Long,8065.7,8153.04144,8157.12,8065.7,8235.85044067666,0.835,72.93010240000012,6.771324551199999,3.406799999999939,3.405597599999937,6.812397599999876,2.04073165,64.11804619880013,10066.872153269023,Time Stop Hit,0.7081124608429629,24,False,False,False,False,2020-01-13 01:00:00,2020-01
second_retest,1579104000000,2020-01-15 16:00:00+00:00,1579143600000,2020-01-16 03:00:00+00:00,Long,8772.6,8612.285268485322,8616.593565267956,8616.593565267956,8983.594891220071,0.664,-106.4489817257462,5.771781909137127,2.9415200000001933,2.8607090636689683,5.802229063669161,1.1682097280000001,-113.38897336288332,9953.483179906143,SL Hit,-1.0276161479494992,11,False,False,False,False,2020-01-16 03:00:00,2020-01
pullback_reclaim,1579150800000,2020-01-16 05:00:00+00:00,1579237200000,2020-01-17 05:00:00+00:00,Long,8664.2,8850.484997094267,8854.912453320927,8664.2,8854.912453320927,0.782,145.67486772771613,6.8482418338638595,3.3704200000010243,3.4622707692481747,6.832690769249199,5.6256822220738005,133.20094367177848,10086.684123577921,TP Hit,1.4091203021213525,24,False,False,False,False,2020-01-17 05:00:00,2020-01
second_retest,1579266000000,2020-01-17 13:00:00+00:00,1579287600000,2020-01-17 19:00:00+00:00,Long,8825.4,8820.9873,8825.4,8825.4,8995.444355475891,0.837,-3.6934298999991206,7.38501308505,3.682799999999695,3.6934298999991206,7.376229899998815,4.2072874673445,-15.28573045239362,10071.398393125528,SL Hit,-0.035314705065114645,6,False,False,False,False,2020-01-17 19:00:00,2020-01
pullback_reclaim,1579716000000,2020-01-22 18:00:00+00:00,1579741200000,2020-01-23 01:00:00+00:00,Long,8700.0,8625.055206757785,8629.369891703636,8629.369891703636,8802.639197697825,1.518,-113.76619614168295,13.149716901929159,6.542579999999227,6.549691747802874,13.092271747802101,1.318302546,-128.23421558961212,9943.164177535915,SL Hit,-1.0610884656688802,7,False,False,False,False,2020-01-23 01:00:00,2020-01
second_retest,1579996800000,2020-01-26 00:00:00+00:00,1580025600000,2020-01-26 08:00:00+00:00,Long,8348.5,8439.038368560823,8443.259998560103,8348.5,8443.259998560103,0.798,72.24961811153682,6.698227809055769,3.2957399999993613,3.368860739425189,6.66460073942455,1.3351146480000002,64.21627565448105,10007.380453190397,TP Hit,1.36904501937162,8,False,False,False,False,2020-01-26 08:00:00,2020-01
pullback_reclaim,1580626800000,2020-02-02 07:00:00+00:00,1580684400000,2020-02-02 23:00:00+00:00,Long,9375.1,9370.412450000002,9375.1,9375.1,9496.785022879621,1.178,-5.521933899998512,11.041106833050002,5.536600000000857,5.521933899998512,11.058533899999368,11.1580864835096,-27.721127216558113,9979.65932597384,SL Hit,-0.05221798694757564,16,False,False,False,False,2020-02-02 23:00:00,2020-02
pullback_reclaim,1582005600000,2020-02-18 06:00:00+00:00,1582030800000,2020-02-18 13:00:00+00:00,Short,9787.2,9633.195022730772,9628.380832314615,9787.2,9628.380832314615,0.968,149.07681799661378,9.399471191001695,4.752879999999859,4.660136322839622,9.413016322839482,-1.3232427051008,141.0005895107129,10120.659915484553,TP Hit,1.424463420131414,7,False,False,False,False,2020-02-18 13:00:00,2020-02
pullback_reclaim,1582286400000,2020-02-21 12:00:00+00:00,1582315200000,2020-02-21 20:00:00+00:00,Short,9695.3,9700.147649999999,9695.3,9695.3,9553.37362337926,1.019,-4.939755349999697,9.881980577674998,4.952340000000593,4.939755349999697,9.89209535000029,-0.991178243,-13.830557684674694,10106.82935779988,SL Hit,-0.046497067870434054,8,False,False,False,False,2020-02-21 20:00:00,2020-02
second_retest,1582376400000,2020-02-22 13:00:00+00:00,1582426800000,2020-02-23 03:00:00+00:00,Short,9650.6,9726.481821612522,9721.621011106969,9721.621011106969,9547.592481488387,1.532,-116.25095071038353,14.842844675355192,7.445519999998105,7.4467616945082264,14.89228169450633,-6.197021906082,-124.89677347965673,9981.932584320222,SL Hit,-1.0684418657210126,14,False,False,False,False,2020-02-23 03:00:00,2020-02
second_retest,1582545600000,2020-02-24 12:00:00+00:00,1582556400000,2020-02-24 15:00:00+00:00,Short,9811.3,9685.971527945752,9681.13096246452,9811.3,9681.13096246452,1.067,133.7254796818815,10.401794360159059,5.238969999999845,5.164883368474822,10.403853368474667,0.0,123.32368532172245,10105.256269641946,TP Hit,1.2734443309496666,3,False,False,False,False,2020-02-24 15:00:00,2020-02
session_breakout,1583870400000,2020-03-10 20:00:00+00:00,1583902800000,2020-03-11 05:00:00+00:00,Long,7988.7,7838.798640000001,7842.72,7842.72,8198.560050665334,0.715,-107.17947239999923,5.6583307638,2.874299999999662,2.8037723999995476,5.678072399999209,0.5647220150000001,-113.40252517879922,9991.853744463146,SL Hit,-1.0268623099054621,9,False,False,False,False,2020-03-11 05:00:00,2020-03
second_retest,1583956800000,2020-03-11 20:00:00+00:00,1583964000000,2020-03-11 22:00:00+00:00,Short,7830.5,7962.6170966117215,7958.637777722861,7958.637777722861,7641.89370379523,0.804,-106.22214567582412,6.3488330728379125,3.1114799999999123,3.1993723866439945,6.310852386643907,0.0,-112.57097874866204,9879.282765714484,SL Hit,-1.0310550015739095,2,False,False,False,False,2020-03-11 22:00:00,2020-03
pullback_reclaim,1583974800000,2020-03-12 01:00:00+00:00,1583974800000,2020-03-12 01:00:00+00:00,Short,7915.6,7919.5578,7915.6,7915.6,7730.907896418237,0.869,-3.439328199999326,6.8803760641,3.449929999999431,3.439328199999326,6.889258199998757,0.0,-10.319704264099325,9868.963061450384,SL Hit,-0.033857971096171335,0,False,False,False,False,2020-03-12 01:00:00,2020-03
pullback_reclaim,1584511200000,2020-03-18 06:00:00+00:00,1584525600000,2020-03-18 10:00:00+00:00,Short,5264.7,5004.420498762217,5001.919538992721,5264.7,5001.919538992721,0.62,161.37329076742535,3.1834273546162875,1.655400000000045,1.5505950570876121,3.205995057087657,1.133144669536,157.05671874327305,10026.019780193656,TP Hit,1.6216853955640123,4,False,False,False,False,2020-03-18 10:00:00,2020-03
second_retest,1584723600000,2020-03-20 17:00:00+00:00,1584727200000,2020-03-20 18:00:00+00:00,Long,6438.6,6169.697098731285,6172.783490476523,6172.783490476523,6806.468349205796,0.382,-102.72090828464918,2.4081847458576755,1.2376800000002641,1.179001646680901,2.416681646681165,0.0,-105.12909303050687,9920.89068716315,SL Hit,-1.0116109859044153,1,False,False,False,False,2020-03-20 18:00:00,2020-03
pullback_reclaim,1584770400000,2020-03-21 06:00:00+00:00,1584788400000,2020-03-21 11:00:00+00:00,Long,6111.6,5859.425938530372,5862.357117088916,5862.357117088916,6507.1771943493295,0.401,-101.12179864932092,2.4001907006753402,1.2190399999999855,1.1754026019762087,2.394442601976194,-0.022554301741500003,-103.49943504825477,9817.391252114894,SL Hit,-1.011760330021499,5,False,False,False,False,2020-03-21 11:00:00,2020-03
pullback_reclaim,1585713600000,2020-04-01 04:00:00+00:00,1585720800000,2020-04-01 06:00:00+00:00,Long,6367.2,6271.533249212714,6274.6705845049655,6274.6705845049655,6506.05067053751,1.1,-105.23342586601485,6.951303287066993,3.5199999999998,3.451068821477111,6.971068821476911,0.0,-112.18472915308185,9705.206522961811,SL Hit,-1.0339063558919843,2,False,False,False,False,2020-04-01 06:00:00,2020-04
pullback_reclaim,1585936800000,2020-04-03 18:00:00+00:00,1586023200000,2020-04-04 18:00:00+00:00,Long,6717.3,6763.03679,6766.42,6561.700121713027,6961.419825783959,0.638,29.180072019999955,4.300227436010001,2.1117800000002553,2.1584879799999763,4.270267980000232,0.1747847644179999,24.705059819571954,9729.911582781384,Time Stop Hit,0.2939384689983341,24,False,False,False,False,2020-04-04 18:00:00,2020-04
pullback_reclaim,1586304000000,2020-04-08 00:00:00+00:00,1586314800000,2020-04-08 03:00:00+00:00,Long,7196.5,7366.0245525612845,7369.709407264917,7196.5,7369.709407264917,0.781,132.3986755503632,5.686665837775182,2.811600000000284,2.8778715235369683,5.689471523537252,-0.155215804887,126.86722551747502,9856.778808298859,TP Hit,1.3224244448489622,3,False,False,False,False,2020-04-08 03:00:00,2020-04
second_retest,1586437200000,2020-04-09 13:00:00+00:00,1586491200000,2020-04-10 04:00:00+00:00,Short,7293.3,7148.579048927006,7145.006545654179,7293.3,7145.006545654179,0.974,140.9582063450966,7.033195096827452,3.5258799999998938,3.4796181877334074,7.005498187733301,1.2553090666664,132.66970218160276,9989.448510480463,TP Hit,1.3884626479665605,15,False,False,False,False,2020-04-10 04:00:00,2020-04
pullback_reclaim,1586811600000,2020-04-13 21:00:00+00:00,1586836800000,2020-04-14 04:00:00+00:00,Short,6804.2,6917.10006644326,6913.643244820851,6913.643244820851,6650.492552153064,0.942,-106.35186258955146,6.4627323312947755,3.193380000000308,3.2563259683099695,6.449705968310278,0.0800842095048,-112.89467913035105,9876.55383135011,SL Hit,-1.0315855183941982,7,False,False,False,False,2020-04-14 04:00:00,2020-04
second_retest,1587020400000,2020-04-16 07:00:00+00:00,1587020400000,2020-04-16 07:00:00+00:00,Short,6679.1,6766.434620877687,6763.053094330522,6763.053094330522,6555.985676115797,1.224,-106.89757595428837,8.228667187977145,4.075919999999911,4.138988493729798,8.214908493729709,0.0,-115.12624314226552,9761.427588207844,SL Hit,-1.0402787601115913,0,False,False,False,False,2020-04-16 07:00:00,2020-04
pullback_reclaim,1587326400000,2020-04-19 20:00:00+00:00,1587369600000,2020-04-20 08:00:00+00:00,Long,7133.8,7130.2331,7133.8,7133.8,7221.686964699301,1.663,-5.931754699999676,11.860543522650001,5.887019999999939,5.931754699999676,11.818774699999615,-0.3788209473798,-17.413477275269877,9744.014110932576,SL Hit,-0.05727155579228055,12,False,False,False,False,2020-04-20 08:00:00,2020-04
second_retest,1587816000000,2020-04-25 12:00:00+00:00,1587826800000,2020-04-25 15:00:00+00:00,Long,7536.1,7532.331950000001,7536.1,7536.1,7639.006109759745,1.304,-4.913537199999577,9.824617631400002,4.955200000000238,4.913537199999577,9.868737199999813,0.0,-14.73815483139958,9729.275956101175,SL Hit,-0.047990448383502034,3,False,False,False,False,2020-04-25 15:00:00,2020-04
pullback_reclaim,1587916800000,2020-04-26 16:00:00+00:00,1587942000000,2020-04-26 23:00:00+00:00,Long,7547.1,7657.4525498801195,7661.283191475857,7547.1,7661.283191475857,1.204,132.86447005566342,9.153140635027832,4.5992800000007446,4.612092481268177,9.21137248126892,0.9082109119999999,122.80311850863558,9852.07907460981,TP Hit,1.3123953082496749,7,False,False,False,False,2020-04-26 23:00:00,2020-04
second_retest,1587970800000,2020-04-27 07:00:00+00:00,1588057200000,2020-04-28 07:00:00+00:00,Long,7661.3,7704.136005,7707.99,7661.3,7783.485992387599,1.298,55.60113449000015,9.972167967245001,5.023259999999858,5.002485509999333,10.02574550999919,3.0041872520000004,42.62477927075515,9894.703853880565,Time Stop Hit,0.5376740474762968,24,False,False,False,False,2020-04-28 07:00:00,2020-04
