step,name,engine_generated,note,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,combined_adverse,enabled_sleeves,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,trade_log_hash,marginal_note
1,PF1.2 truth-lock reference,NO,"PF1.2 is protected reconstructed benchmark, not a direct router class",21684.986096939287,325,2.4184289669893126,10.865101101285742,56,16,6,15922.970046540086,,,,,,,,,,,,
2,Executable core only,YES,,8426.087966035951,490,1.236505598159711,16.50790461831111,48,29,1,163.03476379895824,core,0.5285714285714286,259,231,170.09082455580332,-154.2313229173901,17.19609788986929,0.18475367096669645,283.9654089369546,-233.25997210722974,dd549bddd07adc2079b300c41c4be7239960b391faa44469f1ab81053d0d02bb,"computed from engine, no metric forcing"
3,Second Retest,YES,,-2201.9845193646197,192,0.7801165404731717,27.37434739415233,26,45,7,-5705.992688701484,second_retest,0.4010416666666667,77,115,101.45897280566557,-87.08109065565972,-11.468669371690728,-0.04168056895109388,153.6080651335223,-158.16205351074296,69b6f51fd0adebd3cc57756fc83bf3d85d6e6a0d3b5e6fd1e171ca0105317d82,"computed from engine, no metric forcing"
4,VWAP Reclaim,YES,,-2201.9845193646197,192,0.7801165404731717,27.37434739415233,26,45,7,-5705.992688701484,"second_retest,vwap_reclaim",0.4010416666666667,77,115,101.45897280566557,-87.08109065565972,-11.468669371690728,-0.04168056895109388,153.6080651335223,-158.16205351074296,69b6f51fd0adebd3cc57756fc83bf3d85d6e6a0d3b5e6fd1e171ca0105317d82,"computed from engine, no metric forcing"
5,Tokyo/London Breakout,YES,,-3340.2657792676737,223,0.7043289985801715,35.352362112951035,27,48,3,-7738.182885553943,"second_retest,vwap_reclaim,session_breakout",0.38565022421524664,86,137,92.52293698871932,-82.46159387078492,-14.97877031061737,-0.06706285409561485,147.1358151981211,-155.2000260313684,a8c928ba1babe6558f653c9919247d5ebb4d623e1fab811ca43e546fd717a625,"computed from engine, no metric forcing"
6,Pullback Reclaim,YES,,-5521.684310649522,565,0.7706933861563756,57.070036932634,23,55,0,-13848.800871358555,"second_retest,vwap_reclaim,session_breakout,pullback_reclaim",0.4088495575221239,231,334,80.33867119408596,-72.09556094755503,-9.772892585220392,-0.04682438249423358,156.2187998231912,-141.87090237418278,c306fdcd6e764c76bd021d2b0cb97a6136e4bcc375db79434ec1eac73edf66da,"computed from engine, no metric forcing"
7,Funding Defensive Filter,YES,,-5925.583964487242,550,0.7326266509921118,60.388959618901886,20,58,0,-13738.41741985663,"second_retest,vwap_reclaim,session_breakout,pullback_reclaim",0.3981818181818182,219,331,74.13983902543504,-66.95531332645776,-10.77378902634044,-0.07265622893075831,155.99877334456698,-143.709402188967,0a471562e6e97221238627920bb6fd2c8e18e498072c8fd5da597f476eebfde0,"computed from engine, no metric forcing"
8,NY Hardening,YES,,-5925.583964487242,550,0.7326266509921118,60.388959618901886,20,58,0,-13738.41741985663,"second_retest,vwap_reclaim,session_breakout,pullback_reclaim",0.3981818181818182,219,331,74.13983902543504,-66.95531332645776,-10.77378902634044,-0.07265622893075831,155.99877334456698,-143.709402188967,0a471562e6e97221238627920bb6fd2c8e18e498072c8fd5da597f476eebfde0,"computed from engine, no metric forcing"
9,Weak Continuation Exit,YES,,-5925.583964487242,550,0.7326266509921118,60.388959618901886,20,58,0,-13738.41741985663,"second_retest,vwap_reclaim,session_breakout,pullback_reclaim",0.3981818181818182,219,331,74.13983902543504,-66.95531332645776,-10.77378902634044,-0.07265622893075831,155.99877334456698,-143.709402188967,0a471562e6e97221238627920bb6fd2c8e18e498072c8fd5da597f476eebfde0,"computed from engine, no metric forcing"
10,Best real combination,YES,,-5925.583964487242,550,0.7326266509921118,60.388959618901886,20,58,0,-13738.41741985663,"second_retest,session_breakout,pullback_reclaim",0.3981818181818182,219,331,74.13983902543504,-66.95531332645776,-10.77378902634044,-0.07265622893075831,155.99877334456698,-143.709402188967,0a471562e6e97221238627920bb6fd2c8e18e498072c8fd5da597f476eebfde0,"computed from engine, no metric forcing"
11,Final genuine router candidate,YES,,-5925.583964487242,550,0.7326266509921118,60.388959618901886,20,58,0,-13738.41741985663,"second_retest,vwap_reclaim,session_breakout,pullback_reclaim",0.3981818181818182,219,331,74.13983902543504,-66.95531332645776,-10.77378902634044,-0.07265622893075831,155.99877334456698,-143.709402188967,0a471562e6e97221238627920bb6fd2c8e18e498072c8fd5da597f476eebfde0,"computed from engine, no metric forcing"
