trade_id,source_sleeve,entry_type,entry_datetime,session,side,funding_condition,funding_rate,adx_regime,atr_regime,vwap_distance_atr,bollinger_state,retest_quality,time_in_trade,mfe_path_24h,mae_path_24h,outcome,r_multiple,net_pnl,stress_net_estimate,stress_sensitivity,month,trade_quality_bucket,timestamp_consistency,time_shift_ms
0,pf12_reconstructed_core,Low-Activity Filler Long,2020-01-10 09:00:00+00:00,london,Long,normal,0.0001,neutral,low,-0.874936894490544,inside,audit_only_not_signal,5,438.00970000000143,-31.99029999999857,win,1.64897207265596,167.15847069166517,155.76921432529141,-11.389256366373758,2020-01,acceptable_winner,OK,0
1,pf12_reconstructed_core,Low-Activity Filler Long,2020-01-10 09:00:00+00:00,london,Long,normal,0.0001,neutral,low,-0.7640231450676627,inside,audit_only_not_signal,5,430.3000000000002,-39.69999999999982,win,1.64897207265596,154.0641204123493,138.32740510245821,-15.736715309891082,2020-01,acceptable_winner,SHIFTED_ENTRY_TIME,200000000
2,pf12_reconstructed_core,BB Expansion Long,2020-01-14 04:00:00+00:00,tokyo,Long,normal,0.0001,trend,low,0.8865596363747689,above_upper,audit_only_not_signal,10,279.6738000000005,0.0,win,1.2807880182393256,127.99088978877926,113.60003339879627,-14.390856389982986,2020-01,acceptable_winner,OK,0
3,pf12_reconstructed_core,Funding Reversal Short,2020-01-15 01:00:00+00:00,tokyo,Short,extreme,0.00049392,trend,low,-0.057966388587740135,inside,audit_only_not_signal,53,211.61929999999847,-133.12070000000313,loss,-1.020304283467904,-107.22424022817248,-115.72123475237923,-8.496994524206755,2020-01,avoidable_loser,OK,0
4,pf12_reconstructed_core,Funding Reversal Short,2020-01-15 01:00:00+00:00,tokyo,Short,extreme,0.00049392,trend,low,-0.13903850796751416,inside,audit_only_not_signal,53,202.84000000000015,-141.90000000000146,loss,-1.020304283467904,-98.72166245266732,-110.46459110989099,-11.742928657223672,2020-01,avoidable_loser,SHIFTED_ENTRY_TIME,200000000
5,pf12_reconstructed_core,Funding Reversal Short,2020-01-17 23:00:00+00:00,off,Short,extreme,0.00056749,trend,low,0.8372069565063205,inside,audit_only_not_signal,26,123.09959999999955,-45.37039999999979,loss,-1.026991402487156,-108.70737599257612,-120.14599862792588,-11.438622635349759,2020-01,avoidable_loser,OK,0
6,pf12_reconstructed_core,Funding Reversal Short,2020-01-19 09:00:00+00:00,london,Short,extreme,0.00039329,neutral,low,0.2774049763985238,inside,audit_only_not_signal,2,545.4886999999999,0.0,win,0.8766795791358271,86.8565563659797,71.81646567915064,-15.04009068682906,2020-01,acceptable_winner,OK,0
7,pf12_reconstructed_core,BB Expansion Short,2020-01-19 13:00:00+00:00,ny,Short,extreme,0.00039329,trend,low,-2.8235064278867394,below_lower,audit_only_not_signal,95,123.98139999999876,-49.38860000000204,win,1.308166483598327,146.05587879347564,136.0208272724853,-10.03505152099035,2020-01,acceptable_winner,OK,0
8,pf12_reconstructed_core,Funding Reversal Short,2020-01-19 09:00:00+00:00,london,Short,extreme,0.00039329,neutral,low,0.13161922725067454,inside,audit_only_not_signal,2,536.380000000001,0.0,win,0.8766795791358271,79.97141427023482,59.18771529163443,-20.783698978600384,2020-01,acceptable_winner,SHIFTED_ENTRY_TIME,200000000
9,pf12_reconstructed_core,Funding Reversal Short,2020-01-24 16:00:00+00:00,ny,Short,extreme,0.00042124,trend,low,1.9137025560580034,inside,audit_only_not_signal,8,229.47499999999854,-13.875,win,0.9089934898793154,95.49948323771468,82.32001243192035,-13.179470805794338,2020-01,acceptable_winner,OK,0
