scenario,net_pnl,profit_factor,max_dd_pct,trades,positive_months,negative_months,zero_months,verdict
normal,161.55465905982686,9.171114797342234,0.19419311473181217,3,2,1,75,PASS
double fees,142.36824342690358,6.294130397695722,0.2644412145786365,3,2,1,75,PASS
triple fees,123.18182779398032,4.621717232538655,0.33485621546041294,3,2,1,75,PASS
double slippage,142.35868673053915,6.293954260508919,0.2644325334526684,3,2,1,75,PASS
triple slippage,123.16271440125142,4.6213491557662545,0.3348389776935233,3,2,1,75,PASS
double fees + double slippage,123.17227109761586,4.621533199079207,0.33484759658585006,3,2,1,75,PASS
delay 1 candle,159.13157295982688,10.8151185808246,0.15933518318435466,3,2,1,75,PASS
delay 2 candles,156.7084868598269,13.383741463915708,0.1244362447842843,3,2,1,75,PASS
missed fills 10%,161.55465905982686,9.171114797342234,0.19419311473181217,3,2,1,75,PASS
missed fills 20%,181.32609332144986,0.0,0.0,2,2,0,76,PASS
missed fills 30%,181.32609332144986,0.0,0.0,2,2,0,76,PASS
combined adverse,120.74918499761587,4.965157917663547,0.2999896429010359,3,2,1,75,PASS
combined adverse passive,141.39423063872138,6.5518721335541885,0.2504985993645705,3,2,1,75,PASS
combined adverse high funding,120.74918499761587,4.965157917663547,0.2999896429010359,3,2,1,75,PASS
combined adverse stale cancel,100.10413935651036,3.8248272494195015,0.349633622819237,3,2,1,75,PASS
