diff_type,protected_trades,rebuilt_trades,common_keys,missing_from_rebuild,extra_in_rebuild,pnl_gap,pf_gap,dd_gap,status,key
summary,325,250,0,325,250,-16632.23582253934,-1.0967101453423396,-4.465930325098529,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1578646800000, ""Long"", 7701.9903]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1578974400000, ""Long"", 8465.3262]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1579050000000, ""Short"", 8788.0793]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1579302000000, ""Short"", 8948.5396]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1579424400000, ""Short"", 9117.8087]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1579438800000, ""Short"", 8650.0414]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1579881600000, ""Short"", 8513.505]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1580428800000, ""Short"", 9530.4209]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1580641200000, ""Short"", 9439.2298]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1580922000000, ""Short"", 9583.0735]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1580947200000, ""Short"", 9634.8252]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1581012000000, ""Short"", 9786.4767]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1581228000000, ""Short"", 10114.2041]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1581436800000, ""Short"", 10209.9998]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1583686800000, ""Short"", 8290.4822]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584057600000, ""Short"", 4764.6599]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584126000000, ""Long"", 4963.9311]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584309600000, ""Long"", 5900.6934]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584345600000, ""Short"", 4785.4807]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584529200000, ""Long"", 5073.2217]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584619200000, ""Long"", 5614.8795]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584694800000, ""Long"", 6591.1023]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584968400000, ""Long"", 6317.8758]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1585530000000, ""Long"", 5891.3028]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1585746000000, ""Long"", 6211.782]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1585785600000, ""Long"", 6637.8555]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1586505600000, ""Short"", 6923.0161]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1587661200000, ""Long"", 7501.1913]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1588168800000, ""Long"", 8291.3004]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1588784400000, ""Short"", 9277.3681]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1590080400000, ""Short"", 9084.7757]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1591056000000, ""Long"", 10227.2625]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1591894800000, ""Short"", 9095.7867]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1595098800000, ""Short"", 9188.8797]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1595782800000, ""Short"", 9911.6017]"
