candidate_id,candidate_hash,family,template_type,min_expected_r,min_adx,max_funding_abs,min_15m_body,min_5m_wick,session_mode,require_5m_vwap_reclaim,trail_atr_mult,breakeven_atr_mult,time_stop
P295_00000,9dd3b66cf87dbdbf,variant_c_mtf,bollinger_expansion_breakout,1.1,10,0.00025,0.2,0.2,london_ny,True,,,
P295_00001,1aa38a0c737007b4,variant_b_rescue_mtf,bollinger_expansion_breakout,1.2,10,0.00025,0.2,0.2,tokyo_london,False,1.2,,
P295_00002,4f0fdaf9cd3fb0b6,pf12_fusion_mtf,bollinger_expansion_breakout,1.3,10,0.00025,0.2,0.2,all,False,1.5,0.8,
P295_00003,d661b658baf49e9a,dirty_pf8_pruning,bollinger_expansion_breakout,1.4,12,0.00025,0.2,0.2,london_ny,False,,0.8,
P295_00004,8014c7d123ff2764,vwap_reclaim,bollinger_expansion_breakout,1.55,12,0.00025,0.2,0.2,tokyo_london,True,1.2,1.2,24
P295_00005,4f853c5878ea19e2,second_retest,bollinger_expansion_breakout,1.1,12,0.00035,0.2,0.2,all,False,1.5,1.2,24
P295_00006,7b0d7b40862e6433,london_tokyo,bollinger_expansion_breakout,1.2,14,0.00035,0.2,0.2,london_ny,False,,,24
P295_00007,a887ea0a9f84714a,expected_r,bollinger_expansion_breakout,1.3,14,0.00035,0.3,0.2,tokyo_london,False,1.2,,24
P295_00008,7537ec6a1be6395b,funding_ny_hardening,bollinger_expansion_breakout,1.4,14,0.00035,0.3,0.2,all,True,1.5,0.8,48
P295_00009,7431c92de1827401,exit_risk,bollinger_expansion_breakout,1.55,16,0.00035,0.3,0.2,london_ny,False,,0.8,48
P295_00010,7275323adf99e87a,variant_c_mtf,atr_volatility_expansion,1.1,16,0.00045,0.3,0.2,tokyo_london,False,1.2,1.2,48
P295_00011,550d924f9e9af75a,variant_b_rescue_mtf,atr_volatility_expansion,1.2,16,0.00045,0.3,0.3,all,False,1.5,1.2,48
P295_00012,d4c446c42f2c7053,pf12_fusion_mtf,atr_volatility_expansion,1.3,18,0.00045,0.3,0.3,london_ny,True,,,
P295_00013,2669d34bcd4fa900,dirty_pf8_pruning,atr_volatility_expansion,1.4,18,0.00045,0.3,0.3,tokyo_london,False,1.2,,
P295_00014,1f67a4c40bcb6bdf,vwap_reclaim,atr_volatility_expansion,1.55,18,0.00045,0.4,0.3,all,False,1.5,0.8,
P295_00015,e933740dc4c4a5e1,second_retest,atr_volatility_expansion,1.1,20,0.0006,0.4,0.3,london_ny,False,,0.8,
P295_00016,7d0829b238b88185,london_tokyo,atr_volatility_expansion,1.2,20,0.0006,0.4,0.3,tokyo_london,True,1.2,1.2,24
P295_00017,87729e0dae7a7eab,expected_r,atr_volatility_expansion,1.3,20,0.0006,0.4,0.3,all,False,1.5,1.2,24
P295_00018,d366ccdb461ab53d,funding_ny_hardening,atr_volatility_expansion,1.4,10,0.0006,0.4,0.3,london_ny,False,,,24
P295_00019,f6171dd5997d0761,exit_risk,atr_volatility_expansion,1.55,10,0.0006,0.4,0.3,tokyo_london,False,1.2,,24
P295_00020,ee783e55b1d4bc7b,variant_c_mtf,breakout_retest,1.1,10,0.00025,0.4,0.3,all,True,1.5,0.8,48
P295_00021,56d9f315e4299008,variant_b_rescue_mtf,breakout_retest,1.2,12,0.00025,0.5,0.3,london_ny,False,,0.8,48
P295_00022,e31e76e6c2e9cd9b,pf12_fusion_mtf,breakout_retest,1.3,12,0.00025,0.5,0.4,tokyo_london,False,1.2,1.2,48
