workspace,file_path,artifact_type,phase,candidate_logic_found,teacher_only_logic,live_safe_logic,missing_logic,useful_lower_timeframe_artifact,unique_vs_github_checkout
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;MFE;MAE;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\auditor_m3_1\BRIEFING.md,report_or_note,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\auditor_m3_1\ORIGINAL_REQUEST.md,report_or_note,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\auditor_m3_1\progress.md,report_or_note,,ATR,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\orchestrator\plan.md,report_or_note,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\reviewer_m3_1\BRIEFING.md,report_or_note,,5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\reviewer_m3_1\ORIGINAL_REQUEST.md,report_or_note,,5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\reviewer_m3_1\handoff.md,report_or_note,,ATR;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\reviewer_m3_1\verify_baselines.py,source,,funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m1\BRIEFING.md,report_or_note,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m1\handoff.md,report_or_note,,funding,NO,ANALYSIS_ONLY,,NO,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_1\BRIEFING.md,report_or_note,,15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_1\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_1\handoff.md,report_or_note,,retest;funding;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_2\BRIEFING.md,report_or_note,,15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_2\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_2\handoff.md,report_or_note,,retest;VWAP;funding;ADX;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_2\progress.md,report_or_note,,retest;ATR,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_3\BRIEFING.md,report_or_note,,retest;funding;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_3\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;15m;5m,NO,ANALYSIS_ONLY,,YES,NO
