teacher_row,entry_time,entry_datetime,side,setup_close,setup_close_datetime,match_category,trigger_patterns,adx,atr_pct,funding_safe,used_in_live_router
0,1578646800000,2020-01-10 09:00:00+00:00,Long,1578646800000,2020-01-10 09:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_wick_rejection;5m_body_close;5m_wick_rejection,20.06805412017318,0.5,YES,NO_TEACHER_ANALYSIS_ONLY
1,1578974400000,2020-01-14 04:00:00+00:00,Long,1578974400000,2020-01-14 04:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_wick_rejection;5m_body_close;5m_wick_rejection,28.949816867955498,0.367037021754953,YES,NO_TEACHER_ANALYSIS_ONLY
2,1579050000000,2020-01-15 01:00:00+00:00,Short,1579050000000,2020-01-15 01:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_wick_rejection;5m_body_close;5m_wick_rejection,60.048048128178635,0.8587744224822134,NO,NO_TEACHER_ANALYSIS_ONLY
3,1579302000000,2020-01-17 23:00:00+00:00,Short,1579302000000,2020-01-17 23:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_vwap_reclaim;5m_body_close;5m_wick_rejection;5m_vwap_reclaim,25.93204098916533,0.4984804975780889,NO,NO_TEACHER_ANALYSIS_ONLY
4,1579424400000,2020-01-19 09:00:00+00:00,Short,1579424400000,2020-01-19 09:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_vwap_reclaim;5m_body_close;5m_wick_rejection;5m_vwap_reclaim,21.04331639864413,0.2574664296652684,NO,NO_TEACHER_ANALYSIS_ONLY
5,1579438800000,2020-01-19 13:00:00+00:00,Short,1579438800000,2020-01-19 13:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_wick_rejection;5m_body_close;5m_wick_rejection,25.092011849955387,0.817575885419795,NO,NO_TEACHER_ANALYSIS_ONLY
6,1579881600000,2020-01-24 16:00:00+00:00,Short,1579881600000,2020-01-24 16:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_wick_rejection;15m_vwap_reclaim;5m_body_close;5m_wick_rejection;5m_vwap_reclaim,29.039332628752135,0.37745797187788604,NO,NO_TEACHER_ANALYSIS_ONLY
7,1580428800000,2020-01-31 00:00:00+00:00,Short,1580428800000,2020-01-31 00:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_wick_rejection;15m_vwap_reclaim;5m_body_close;5m_wick_rejection;5m_vwap_reclaim,15.911466601450506,0.6956451537272261,YES,NO_TEACHER_ANALYSIS_ONLY
8,1580641200000,2020-02-02 11:00:00+00:00,Short,1580641200000,2020-02-02 11:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_wick_rejection;5m_body_close;5m_wick_rejection,19.9609564103132,0.25718114192161784,YES,NO_TEACHER_ANALYSIS_ONLY
9,1580922000000,2020-02-05 17:00:00+00:00,Short,1580922000000,2020-02-05 17:00:00+00:00,exact_live_trigger_found,15m_body_close;15m_wick_rejection;5m_body_close;5m_wick_rejection,33.41012828362492,0.30870168166394846,NO,NO_TEACHER_ANALYSIS_ONLY
