trace_type,entry_time,entry_datetime,exit_time,side,sleeve,entry_model,exit_reason,net_pnl,R
first_20,1578103500000,2020-01-04 02:05:00+00:00,1578124800000,Short,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-58.840471626128405,-0.5146316851665013
first_20,1578136500000,2020-01-04 11:15:00+00:00,1578157800000,Short,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-6.064929601322928,0.0274151436031381
first_20,1578165600000,2020-01-04 19:20:00+00:00,1578182400000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-112.86768493199928,-1.0490716180371331
first_20,1578190200000,2020-01-05 02:10:00+00:00,1578211500000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-28.579948253999998,-0.18348623853210969
first_20,1578251100000,2020-01-05 19:05:00+00:00,1578262800000,Short,variant_b_rescue_vwap,vwap_reclaim,Take Profit,151.29816160000001,1.6666666666666567
first_20,1578269700000,2020-01-06 00:15:00+00:00,1578276000000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-114.27938679999971,-1.0354391371340552
first_20,1578283500000,2020-01-06 04:05:00+00:00,1578312000000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,-8.867503200000437,0.010989010989006473
first_20,1578355800000,2020-01-07 00:10:00+00:00,1578357000000,Long,variant_b_rescue_vwap,vwap_reclaim,Take Profit,154.8647654000004,1.6659242761692827
first_20,1578364500000,2020-01-07 02:35:00+00:00,1578385800000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-52.99631396500034,-0.45170193192272723
first_20,1578413100000,2020-01-07 16:05:00+00:00,1578414300000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-111.55796825000056,-1.0414893617021335
first_20,1578430200000,2020-01-07 20:50:00+00:00,1578431700000,Long,variant_c_5m_quality,wick_rejection,Stop Loss,-96.59076074999943,-0.9195494770716005
first_20,1578445800000,2020-01-08 01:10:00+00:00,1578467100000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-30.44844,-0.2661381653454155
first_20,1578503700000,2020-01-08 17:15:00+00:00,1578516900000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-6.402691800000001,-0.021965952773201604
first_20,1578600600000,2020-01-09 20:10:00+00:00,1578603000000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-106.10424469999987,-1.0320197044335022
first_20,1578658200000,2020-01-10 12:10:00+00:00,1578669000000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,152.7221326499997,1.6672678088367923
first_20,1578735300000,2020-01-11 09:35:00+00:00,1578752100000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-8.71961789999961,-0.030124908155763925
first_20,1578763500000,2020-01-11 17:25:00+00:00,1578779100000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-9.660922499999572,-0.03319838056679745
first_20,1578810600000,2020-01-12 06:30:00+00:00,1578839100000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,24.361269205000315,0.3306595365418933
first_20,1578852600000,2020-01-12 18:10:00+00:00,1578873600000,Short,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-108.75094575600073,-1.042224510813598
first_20,1578884700000,2020-01-13 03:05:00+00:00,1578913200000,Short,variant_b_rescue_limit_retest,limit_retest,Time Stop,-22.86471600000042,-0.15035799522673432
last_20,1757322300000,2025-09-08 09:05:00+00:00,1757341800000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,0.803702100000003,1.640630598351859
last_20,1757380800000,2025-09-09 01:20:00+00:00,1757391300000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-0.6091930999999913,-0.811216172155194
last_20,1757398200000,2025-09-09 06:10:00+00:00,1757413500000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-0.1801613700000029,-0.08882928368570946
last_20,1757586300000,2025-09-11 10:25:00+00:00,1757593800000,Short,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-0.7887948000000058,-1.0926465824425207
last_20,1757683800000,2025-09-12 13:30:00+00:00,1757700900000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,0.9217080583360058,1.6665600000000094
last_20,1757744100000,2025-09-13 06:15:00+00:00,1757765400000,Short,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-0.40353741887000005,-0.4680085092456182
last_20,1757772900000,2025-09-13 14:15:00+00:00,1757787900000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-0.16978081968198838,-0.10001730403182028
last_20,1757823300000,2025-09-14 04:15:00+00:00,1757839500000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-0.559031036420003,-0.7768738099359619
last_20,1757851500000,2025-09-14 12:05:00+00:00,1757880000000,Short,variant_b_rescue_limit_retest,limit_retest,Time Stop,-0.0584193468399971,0.08951097287023185
last_20,1757895000000,2025-09-15 00:10:00+00:00,1757905500000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-0.6166102999999942,-0.8723034098817056
last_20,1757912700000,2025-09-15 05:05:00+00:00,1757923200000,Long,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-0.7605734690719971,-1.0994827586206848
last_20,1758025200000,2025-09-16 12:20:00+00:00,1758037500000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-0.15875479999999417,-0.07244199632781641
last_20,1758276300000,2025-09-19 10:05:00+00:00,1758289500000,Short,variant_c_5m_quality,wick_rejection,Stop Loss,-0.1745618999999971,-0.09807886754296875
last_20,1758294900000,2025-09-19 15:15:00+00:00,1758300300000,Short,variant_c_5m_quality,wick_rejection,Stop Loss,-0.764348421983997,-1.0972012736718624
last_20,1758356100000,2025-09-20 08:15:00+00:00,1758377400000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-0.20880869999999999,-0.16053858104608928
last_20,1758503100000,2025-09-22 01:05:00+00:00,1758520800000,Short,variant_b_rescue_limit_retest,limit_retest,Take Profit,0.6376398999999913,1.3146755291236243
last_20,1759104900000,2025-09-29 00:15:00+00:00,1759113300000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-0.6398456,-0.9420160570918823
last_20,1761447900000,2025-10-26 03:05:00+00:00,1761469200000,Short,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-0.5151145147129972,-0.7287587569606597
last_20,1761477600000,2025-10-26 11:20:00+00:00,1761480300000,Long,variant_c_5m_quality,wick_rejection,Take Profit,0.7583579000000087,1.5477797513321645
last_20,1762059900000,2025-11-02 05:05:00+00:00,1762079400000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-0.5770179360000001,-0.7963446475195822
largest_winners,1595757300000,2020-07-26 09:55:00+00:00,1595757600000,Long,variant_c_5m_quality,wick_rejection,Stop Loss,171.3533239999997,3.5993883792049073
largest_winners,1578355800000,2020-01-07 00:10:00+00:00,1578357000000,Long,variant_b_rescue_vwap,vwap_reclaim,Take Profit,154.8647654000004,1.6659242761692827
largest_winners,1578658200000,2020-01-10 12:10:00+00:00,1578669000000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,152.7221326499997,1.6672678088367923
largest_winners,1578251100000,2020-01-05 19:05:00+00:00,1578262800000,Short,variant_b_rescue_vwap,vwap_reclaim,Take Profit,151.29816160000001,1.6666666666666567
largest_winners,1579233900000,2020-01-17 04:05:00+00:00,1579240800000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,149.29794729999904,1.6669758812615685
largest_winners,1582725900000,2020-02-26 14:05:00+00:00,1582734000000,Short,variant_b_rescue_limit_retest,limit_retest,Take Profit,140.2993313565124,1.6668719211822742
largest_winners,1582880700000,2020-02-28 09:05:00+00:00,1582892400000,Short,variant_b_rescue_vwap,vwap_reclaim,Take Profit,140.29335480000026,1.6661490683229938
largest_winners,1582045800000,2020-02-18 17:10:00+00:00,1582058100000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,140.1668598,1.666666666666676
largest_winners,1581210300000,2020-02-09 01:05:00+00:00,1581220800000,Long,variant_b_rescue_vwap,vwap_reclaim,Take Profit,139.60936445000036,1.6658905704307445
largest_winners,1584612300000,2020-03-19 10:05:00+00:00,1584622800000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,137.25641545000028,1.6660756501182084
largest_losers,1580929800000,2020-02-05 19:10:00+00:00,1580948100000,Long,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-116.78829119820031,-1.0437158469945458
largest_losers,1578269700000,2020-01-06 00:15:00+00:00,1578276000000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-114.27938679999971,-1.0354391371340552
largest_losers,1578165600000,2020-01-04 19:20:00+00:00,1578182400000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-112.86768493199928,-1.0490716180371331
largest_losers,1578413100000,2020-01-07 16:05:00+00:00,1578414300000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-111.55796825000056,-1.0414893617021335
largest_losers,1578852600000,2020-01-12 18:10:00+00:00,1578873600000,Short,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-108.75094575600073,-1.042224510813598
largest_losers,1579613400000,2020-01-21 13:30:00+00:00,1579635600000,Long,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-108.70068264899817,-1.0603085553997098
largest_losers,1582430700000,2020-02-23 04:05:00+00:00,1582434300000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-108.2123556,-1.0741301059001453
largest_losers,1581710400000,2020-02-14 20:00:00+00:00,1581731700000,Long,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-108.13488676750521,-1.0452127659574335
largest_losers,1578600600000,2020-01-09 20:10:00+00:00,1578603000000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-106.10424469999987,-1.0320197044335022
largest_losers,1579097100000,2020-01-15 14:05:00+00:00,1579104300000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-103.94927058899955,-1.0284974093264225
best_month_trace,1609525200000,2021-01-01 18:20:00+00:00,1609553700000,Short,variant_b_rescue_limit_retest,limit_retest,Time Stop,-18.112423174999996,-0.6008328375966695
best_month_trace,1609567800000,2021-01-02 06:10:00+00:00,1609590000000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,43.597573123667246,1.666744132000934
best_month_trace,1609596300000,2021-01-02 14:05:00+00:00,1609604400000,Long,variant_b_rescue_vwap,vwap_reclaim,Take Profit,45.13188834953363,1.6665554072096085
best_month_trace,1609841400000,2021-01-05 10:10:00+00:00,1609869900000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,25.653735252957,0.9352889150943402
best_month_trace,1610301900000,2021-01-10 18:05:00+00:00,1610310300000,Short,variant_b_rescue_limit_retest,limit_retest,Take Profit,46.34024449999987,1.666718494907867
best_month_trace,1610501100000,2021-01-13 01:25:00+00:00,1610507700000,Short,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-29.22010400000005,-1.0096868664113565
best_month_trace,1610683500000,2021-01-15 04:05:00+00:00,1610712000000,Short,variant_b_rescue_limit_retest,limit_retest,Time Stop,20.120808206571837,0.7121280636700764
best_month_trace,1610785200000,2021-01-16 08:20:00+00:00,1610813700000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,8.005616396835231,0.33263125048756015
best_month_trace,1610870700000,2021-01-17 08:05:00+00:00,1610878800000,Short,variant_c_5m_quality,wick_rejection,Stop Loss,-1.348844900000076,-0.01576740794750543
best_month_trace,1610942700000,2021-01-18 04:05:00+00:00,1610955000000,Short,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-30.474487400000125,-1.0174946839358192
best_month_trace,1610975100000,2021-01-18 13:05:00+00:00,1610990100000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-31.07390379954012,-1.006706842923796
best_month_trace,1611169500000,2021-01-20 19:05:00+00:00,1611190800000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-2.7983668319838,-0.051735808915965645
best_month_trace,1611219900000,2021-01-21 09:05:00+00:00,1611230700000,Short,variant_b_rescue_limit_retest,limit_retest,Take Profit,46.63038800000008,1.666633945224313
best_month_trace,1611241500000,2021-01-21 15:05:00+00:00,1611257100000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-24.325285859918882,-0.8531147540983601
best_month_trace,1611342300000,2021-01-22 19:05:00+00:00,1611363600000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-15.560258033999983,-0.5218844241584485
best_month_trace,1611396600000,2021-01-23 10:10:00+00:00,1611425100000,Short,variant_b_rescue_limit_retest,limit_retest,Time Stop,6.486859539000039,0.25826862237561293
best_month_trace,1611461100000,2021-01-24 04:05:00+00:00,1611489600000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,5.9681983200000515,0.25189162802050413
best_month_trace,1611518700000,2021-01-24 20:05:00+00:00,1611527400000,Short,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-30.438333999999973,-1.02243095471751
best_month_trace,1611537000000,2021-01-25 01:10:00+00:00,1611547200000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,45.79724660000005,1.6665320952765494
best_month_trace,1611606600000,2021-01-25 20:30:00+00:00,1611613500000,Short,variant_b_rescue_limit_retest,limit_retest,Take Profit,46.80703125000009,1.666788321167886
best_month_trace,1611633900000,2021-01-26 04:05:00+00:00,1611647400000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-1.4251169999999782,-0.01644462947543639
best_month_trace,1611680700000,2021-01-26 17:05:00+00:00,1611702000000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,16.89146060000002,0.6121918335901385
best_month_trace,1611716700000,2021-01-27 03:05:00+00:00,1611732300000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-1.5333504,-0.017536168347216174
best_month_trace,1611749100000,2021-01-27 12:05:00+00:00,1611762300000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,8.543025300000025,0.3254766031195849
best_month_trace,1611799500000,2021-01-28 02:05:00+00:00,1611828000000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,12.447337968000001,0.4499210664795661
best_month_trace,1611855600000,2021-01-28 17:40:00+00:00,1611876900000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,35.00435370000012,1.230671467909344
best_month_trace,1611887100000,2021-01-29 02:25:00+00:00,1611893400000,Long,variant_b_rescue_limit_retest,limit_retest,Stop Loss,-31.02715680000005,-1.0180572174480647
best_month_trace,1612016400000,2021-01-30 14:20:00+00:00,1612037700000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,5.487558471665696,0.22915084308066586
best_month_trace,1612087500000,2021-01-31 10:05:00+00:00,1612096200000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-31.702717399999994,-1.0212185134632068
best_month_trace,1612102500000,2021-01-31 14:15:00+00:00,1612115700000,Short,variant_b_rescue_vwap,vwap_reclaim,Take Profit,47.95587633908147,1.6666666666666563
worst_month_trace,1601518200000,2020-10-01 02:10:00+00:00,1601539200000,Long,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,2.0601250319999993,0.20051746442432272
worst_month_trace,1601550000000,2020-10-01 11:00:00+00:00,1601554200000,Long,variant_c_5m_quality,wick_rejection,Stop Loss,-9.710025899999783,-0.07258064516128579
worst_month_trace,1601568300000,2020-10-01 16:05:00+00:00,1601568900000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,5.7653105500001836,0.25056689342404354
worst_month_trace,1601575500000,2020-10-01 18:05:00+00:00,1601578200000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-50.78648315,-1.0480943738656918
worst_month_trace,1601659800000,2020-10-02 17:30:00+00:00,1601681100000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,-4.789266999999427,-0.014388489208620148
worst_month_trace,1601713200000,2020-10-03 08:20:00+00:00,1601741700000,Short,variant_b_rescue_limit_retest,limit_retest,Time Stop,-20.015234078087083,-0.3320209973753233
worst_month_trace,1601749200000,2020-10-03 18:20:00+00:00,1601777700000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,-43.766636296319234,-0.837881219903684
worst_month_trace,1601788800000,2020-10-04 05:20:00+00:00,1601793000000,Long,variant_b_rescue_limit_retest,limit_retest,Take Profit,61.591759899999715,1.626893939393955
worst_month_trace,1601799600000,2020-10-04 08:20:00+00:00,1601828100000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,-21.386314926651437,-0.28545454545452564
worst_month_trace,1601841900000,2020-10-04 20:05:00+00:00,1601870400000,Long,variant_b_rescue_limit_retest,limit_retest,Time Stop,-25.431513292224295,-0.39219330855019796
worst_month_trace,1601881500000,2020-10-05 07:05:00+00:00,1601902800000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-55.98700655339736,-1.0913793103448148
worst_month_trace,1601918400000,2020-10-05 17:20:00+00:00,1601939700000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,5.741020800000264,0.3168654173764929
worst_month_trace,1601971500000,2020-10-06 08:05:00+00:00,1601982000000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-12.222968599999444,-0.09447415329766913
worst_month_trace,1601995200000,2020-10-06 14:40:00+00:00,1601997300000,Short,variant_b_rescue_vwap,vwap_reclaim,Stop Loss,-11.43312380000078,-0.08877721943050297
worst_month_trace,1602011100000,2020-10-06 19:05:00+00:00,1602018900000,Short,variant_c_5m_quality,wick_rejection,Stop Loss,-8.455591949999613,-0.06633291614517267
worst_month_trace,1602076200000,2020-10-07 13:10:00+00:00,1602097500000,Long,variant_b_rescue_vwap,vwap_reclaim,Time Stop,20.83720022130534,0.6688741721854284
