codex_rel_path,antigravity_rel_path,size_kb,action,notes
phase29_1_actual_pf8_recompute_baseline.csv,reports\phase29_1_actual_pf8_recompute_baseline.csv,0.7,COPIED_NEW,
phase29_1_audit_manifest.json,reports\phase29_1_audit_manifest.json,5.8,COPIED_NEW,
phase29_1_corrected_benchmark_status.csv,reports\phase29_1_corrected_benchmark_status.csv,0.6,COPIED_NEW,
phase29_1_corrected_project_status.md,reports\phase29_1_corrected_project_status.md,0.8,COPIED_NEW,
phase29_1_entry_exit_rulebook.md,reports\phase29_1_entry_exit_rulebook.md,1.3,COPIED_NEW,
phase29_1_forced_metric_contamination_audit.csv,reports\phase29_1_forced_metric_contamination_audit.csv,9.4,COPIED_NEW,
phase29_1_genuine_candidate_registry.csv,reports\phase29_1_genuine_candidate_registry.csv,378.1,COPIED_NEW,
phase29_1_genuine_candidate_results.csv,reports\phase29_1_genuine_candidate_results.csv,557.7,COPIED_NEW,
phase29_1_genuine_router_monthly_table.csv,reports\phase29_1_genuine_router_monthly_table.csv,12.1,COPIED_NEW,
phase29_1_genuine_router_stress_table.csv,reports\phase29_1_genuine_router_stress_table.csv,1.5,COPIED_NEW,
phase29_1_genuine_router_trade_log.csv,reports\phase29_1_genuine_router_trade_log.csv,246.5,COPIED_NEW,
phase29_1_live_known_rule_audit.csv,reports\phase29_1_live_known_rule_audit.csv,0.8,COPIED_NEW,
phase29_1_pf12_truth_lock.csv,reports\phase29_1_pf12_truth_lock.csv,0.8,COPIED_NEW,
phase29_1_real_sleeve_idea_inventory.csv,reports\phase29_1_real_sleeve_idea_inventory.csv,1.6,COPIED_NEW,
phase29_1_reconstruction_ladder.csv,reports\phase29_1_reconstruction_ladder.csv,4.5,COPIED_NEW,
phase29_1_router_conflict_audit.csv,reports\phase29_1_router_conflict_audit.csv,123.8,COPIED_NEW,
phase29_1_sleeve_standalone_results.csv,reports\phase29_1_sleeve_standalone_results.csv,1.6,COPIED_NEW,
phase29_1_top_100_genuine_candidates.md,reports\phase29_1_top_100_genuine_candidates.md,1.6,COPIED_NEW,
phase29_1_truth_first_pf8_recovery_report.md,reports\phase29_1_truth_first_pf8_recovery_report.md,11.8,COPIED_NEW,
phase29_2_audit_manifest.json,reports\phase29_2_audit_manifest.json,3.2,COPIED_NEW,
phase29_2_benchmark_comparison_matrix.csv,reports\phase29_2_benchmark_comparison_matrix.csv,1.8,COPIED_NEW,
phase29_2_candidate_registry.csv,reports\phase29_2_candidate_registry.csv,410.5,COPIED_NEW,
phase29_2_candidate_results.csv,reports\phase29_2_candidate_results.csv,548.1,COPIED_NEW,
phase29_2_dirty_pf8_cluster_report.md,reports\phase29_2_dirty_pf8_cluster_report.md,1.2,COPIED_NEW,
phase29_2_dirty_pf8_trade_quality_audit.csv,reports\phase29_2_dirty_pf8_trade_quality_audit.csv,172.9,COPIED_NEW,
phase29_2_final_status_correction.md,reports\phase29_2_final_status_correction.md,0.8,COPIED_NEW,
phase29_2_live_automation_readiness_audit.md,reports\phase29_2_live_automation_readiness_audit.md,1.0,COPIED_NEW,
phase29_2_multitimeframe_data_audit.csv,reports\phase29_2_multitimeframe_data_audit.csv,0.9,COPIED_NEW,
phase29_2_no_lookahead_hardcoding_scan.csv,reports\phase29_2_no_lookahead_hardcoding_scan.csv,3.5,COPIED_NEW,
phase29_2_pf12_executable_rebuild_results.csv,reports\phase29_2_pf12_executable_rebuild_results.csv,1.0,COPIED_NEW,
phase29_2_pf12_fusion_lineage_map.csv,reports\phase29_2_pf12_fusion_lineage_map.csv,2.5,COPIED_NEW,
phase29_2_pf12_trade_diff_audit.csv,reports\phase29_2_pf12_trade_diff_audit.csv,12.8,COPIED_NEW,
phase29_2_precision_fusion_compiler_spec.md,reports\phase29_2_precision_fusion_compiler_spec.md,0.9,COPIED_NEW,
phase29_2_precision_fusion_truth_reconstruction_report.md,reports\phase29_2_precision_fusion_truth_reconstruction_report.md,4.0,COPIED_NEW,
phase29_2_recovered_router_monthly_table.csv,reports\phase29_2_recovered_router_monthly_table.csv,0.5,COPIED_NEW,
phase29_2_recovered_router_stress_table.csv,reports\phase29_2_recovered_router_stress_table.csv,1.4,COPIED_NEW,
phase29_2_recovered_router_trade_log.csv,reports\phase29_2_recovered_router_trade_log.csv,1.5,COPIED_NEW,
phase29_2_sleeve_standalone_results.csv,reports\phase29_2_sleeve_standalone_results.csv,1.8,COPIED_NEW,
phase29_3_audit_manifest.json,reports\phase29_3_audit_manifest.json,3.3,COPIED_NEW,
phase29_3_benchmark_comparison_matrix.csv,reports\phase29_3_benchmark_comparison_matrix.csv,1.8,COPIED_NEW,
phase29_3_best_recovered_router_monthly_table.csv,reports\phase29_3_best_recovered_router_monthly_table.csv,0.5,COPIED_NEW,
phase29_3_best_recovered_router_stress_table.csv,reports\phase29_3_best_recovered_router_stress_table.csv,1.4,COPIED_NEW,
phase29_3_best_recovered_router_trade_log.csv,reports\phase29_3_best_recovered_router_trade_log.csv,1.5,COPIED_NEW,
phase29_3_dirty_pf8_quality_surgery.csv,reports\phase29_3_dirty_pf8_quality_surgery.csv,172.9,COPIED_NEW,
phase29_3_live_rule_audit.md,reports\phase29_3_live_rule_audit.md,1.0,COPIED_NEW,
phase29_3_multitimeframe_data_audit.csv,reports\phase29_3_multitimeframe_data_audit.csv,0.9,COPIED_NEW,
phase29_3_no_lookahead_hardcoding_scan.csv,reports\phase29_3_no_lookahead_hardcoding_scan.csv,3.5,COPIED_NEW,
phase29_3_pf12_executable_rebuild_monthly_table.csv,reports\phase29_3_pf12_executable_rebuild_monthly_table.csv,10.3,COPIED_NEW,
phase29_3_pf12_executable_rebuild_trade_log.csv,reports\phase29_3_pf12_executable_rebuild_trade_log.csv,103.8,COPIED_NEW,
