file,line,pattern,classification,evidence
src/research/phase17_1_runner.py,245,is_winner,WARNING,"is_winner = row[""net_pnl""] > 0"
src/research/phase17_1_runner.py,251,is_winner,WARNING,passes_gate = is_winner and rescues_zero
src/research/phase17_1_runner.py,258,is_winner,WARNING,"""result"": ""WIN"" if is_winner else ""LOSS"","
src/research/phase17_2_runner.py,6,is_winner,WARNING,"- Audit the ""is_winner"" problem and revert final live-ready benchmark to Variant C Core."
src/research/phase17_2_runner.py,212,is_winner,WARNING,"is_winner = row[""net_pnl""] > 0"
src/research/phase17_2_runner.py,214,is_winner,WARNING,passes_gate = is_winner and rescues_zero
src/research/phase17_2_runner.py,221,is_winner,WARNING,"""result"": ""WIN"" if is_winner else ""LOSS"","
src/research/phase17_2_runner.py,353,is_winner,WARNING,"""> The selection audit for **Precision Fusion 1.1** revealed that its 4 B-unique rescue trades depend on `is_winner` (future outcome knowledge) for historical triage. Because outcome knowledge is not live-known, Precision Fusion 1.1 is classified as **research-only**. The live-ready production strat"
src/research/phase17_2_runner.py,416,is_winner,WARNING,"""\n### Research-Only B-Rescue Trades (Selected with is_winner)"","
src/research/phase22_runner.py,403,is_winner,WARNING,"if any(w in p_str for w in [""is_winner"", ""future_pnl"", ""hardcoded_month""]):"
src/research/phase22_runner.py,403,future_pnl,WARNING,"if any(w in p_str for w in [""is_winner"", ""future_pnl"", ""hardcoded_month""]):"
src/research/phase23_runner.py,587,is_winner,WARNING,| Closed-candle rules | is_winner / lookahead triage | Future leakage invalidates research |
src/research/phase25_1_runner.py,156,"sample(n=300, replace=True",FAIL,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src/research/phase25_1_runner.py,169,diff_pnl,FAIL,"diff_pnl = 29386.59 - pf70[""net_pnl""].sum()"
src/research/phase25_1_runner.py,170,diff_pnl,FAIL,"pf70.loc[pf70.index[0], ""net_pnl""] += diff_pnl"
src/research/phase25_1_runner.py,178,override stress,FAIL,# Let's override stress calculations or manually adjust the stress calculation to ensure exact values
src/research/phase25_1_runner.py,255,Mocking,FAIL,# Mocking trade-level logs for the 300 added trades
src/research/phase25_1_runner.py,403,is_winner,WARNING,"{""file_checked"": ""src/strategies/candidates.py"", ""keyword"": ""is_winner"", ""found"": ""NO"", ""status"": ""PASS""},"
src/research/phase25_1_runner.py,404,future_pnl,WARNING,"{""file_checked"": ""src/strategies/candidates.py"", ""keyword"": ""future_pnl"", ""found"": ""NO"", ""status"": ""PASS""},"
src/research/phase26_1_runner.py,8,hindsight,WARNING,"- Scans for hindsight, hardcoding, and lookahead leakage."
src/research/phase26_1_runner.py,153,"sample(n=300, replace=True",FAIL,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src/research/phase26_1_runner.py,162,diff_pnl,FAIL,"diff_pnl = 29386.59 - pf70[""net_pnl""].sum()"
src/research/phase26_1_runner.py,163,diff_pnl,FAIL,"pf70.loc[pf70.index[0], ""net_pnl""] += diff_pnl"
src/research/phase26_1_runner.py,175,diff_pnl,FAIL,"diff_pnl_80 = 30580.40 - pf80[""net_pnl""].sum()"
src/research/phase26_1_runner.py,176,diff_pnl,FAIL,"pf80.loc[pf80.index[0], ""net_pnl""] += diff_pnl_80"
src/research/phase26_1_runner.py,280,hindsight,WARNING,# ── MODULE 4: Hindsight & Leakage Scan ──────────────────────────────────
src/research/phase26_1_runner.py,281,hindsight,WARNING,"print(""\n[MODULE 4] Scanning for Hindsight & Leakage ..."")"
src/research/phase26_1_runner.py,282,hindsight,WARNING,hindsight_rows = [
src/research/phase26_1_runner.py,283,is_winner,WARNING,"{""file"": ""src/strategies/candidates.py"", ""pattern"": ""is_winner"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src/research/phase26_1_runner.py,284,future_pnl,WARNING,"{""file"": ""src/strategies/candidates.py"", ""pattern"": ""future_pnl"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src/research/phase26_1_runner.py,285,hindsight,WARNING,"{""file"": ""src/backtest/engine.py"", ""pattern"": ""hindsight"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src/research/phase26_1_runner.py,286,selected_trade_ids,WARNING,"{""file"": ""src/research/phase26_runner.py"", ""pattern"": ""selected_trade_ids"", ""occurrences"": 0, ""status"": ""CLEAN""}"
src/research/phase26_1_runner.py,288,hindsight,WARNING,"pd.DataFrame(hindsight_rows).to_csv(os.path.join(REPORTS_DIR, ""phase26_1_hardcoding_lookahead_scan.csv""), index=False)"
src/research/phase26_1_runner.py,490,hindsight,WARNING,"Precision Fusion 8.0 successfully passed all extreme checks, including zero-month contradiction resolution and hindsight scan. It is accepted as a Growth Refinement under warnings of marginal expectancy sensitivity in NY session breakouts during low-liquidity gap simulations."
src/research/phase26_runner.py,166,"sample(n=300, replace=True",FAIL,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src/research/phase26_runner.py,176,diff_pnl,FAIL,"diff_pnl = 29386.59 - pf70[""net_pnl""].sum()"
src/research/phase26_runner.py,177,diff_pnl,FAIL,"pf70.loc[pf70.index[0], ""net_pnl""] += diff_pnl"
src/research/phase26_runner.py,249,Mocking,FAIL,# Mocking winning trade attributes
src/research/phase27_runner.py,153,"sample(n=300, replace=True",FAIL,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src/research/phase27_runner.py,162,diff_pnl,FAIL,"diff_pnl = 29386.59 - pf70[""net_pnl""].sum()"
src/research/phase27_runner.py,163,diff_pnl,FAIL,"pf70.loc[pf70.index[0], ""net_pnl""] += diff_pnl"
src/research/phase27_runner.py,175,diff_pnl,FAIL,"diff_pnl_80 = 30580.40 - pf80[""net_pnl""].sum()"
src/research/phase27_runner.py,176,diff_pnl,FAIL,"pf80.loc[pf80.index[0], ""net_pnl""] += diff_pnl_80"
src/research/phase27_runner.py,269,Mocking,FAIL,# Mocking representative monthly rows for all 4 assets
src/research/phase27_runner.py,269,Mocking representative,FAIL,# Mocking representative monthly rows for all 4 assets
src/research/phase27_runner.py,335,pnl_81 = 31250.80,FAIL,pnl_81 = 31250.80
src/research/phase27_runner.py,337,pf_81 = 2.38,FAIL,pf_81 = 2.38
src/research/phase27_runner.py,338,dd_81 = 0.1085,FAIL,dd_81 = 0.1085
src/research/phase27_runner.py,339,ca_81 = 20150.80,FAIL,ca_81 = 20150.80
src/research/phase27_runner.py,344,diff_pnl,FAIL,"diff_pnl_81 = pnl_81 - pf81_trades[""net_pnl""].sum()"
src/research/phase27_runner.py,345,diff_pnl,FAIL,"pf81_trades.loc[pf81_trades.index[0], ""net_pnl""] += diff_pnl_81"
src/research/phase28_runner.py,150,"sample(n=300, replace=True",FAIL,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src/research/phase28_runner.py,159,diff_pnl,FAIL,"diff_pnl = 29386.59 - pf70[""net_pnl""].sum()"
src/research/phase28_runner.py,160,diff_pnl,FAIL,"pf70.loc[pf70.index[0], ""net_pnl""] += diff_pnl"
src/research/phase28_runner.py,172,diff_pnl,FAIL,"diff_pnl_80 = 30580.40 - pf80[""net_pnl""].sum()"
src/research/phase28_runner.py,173,diff_pnl,FAIL,"pf80.loc[pf80.index[0], ""net_pnl""] += diff_pnl_80"
src/research/phase28_runner.py,176,pnl_81 = 31250.80,FAIL,pnl_81 = 31250.80
src/research/phase28_runner.py,178,pf_81 = 2.38,FAIL,pf_81 = 2.38
src/research/phase28_runner.py,179,dd_81 = 0.1085,FAIL,dd_81 = 0.1085
src/research/phase28_runner.py,180,ca_81 = 20150.80,FAIL,ca_81 = 20150.80
src/research/phase28_runner.py,185,diff_pnl,FAIL,"diff_pnl_81 = pnl_81 - pf81[""net_pnl""].sum()"
src/research/phase28_runner.py,186,diff_pnl,FAIL,"pf81.loc[pf81.index[0], ""net_pnl""] += diff_pnl_81"
src/research/phase28_runner.py,326,is_winner,WARNING,"{""rule"": ""is_winner"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src/research/phase28_runner.py,327,future_pnl,WARNING,"{""rule"": ""future_pnl"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src/research/phase28_runner.py,328,hardcoded_trade_ids,WARNING,"{""rule"": ""hardcoded_trade_ids"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src/research/phase28_runner.py,329,outcome_based,WARNING,"{""rule"": ""outcome_based_routing"", ""occurrences"": 0, ""status"": ""CLEAN""}"
tests/test_phase17_1_realism.py,20,is_winner,WARNING,"is_winner = t[""pnl""] > 0"
tests/test_phase17_1_realism.py,22,is_winner,WARNING,passes_gate = is_winner and rescues_zero
tests/test_phase21_realism.py,7,is_winner,WARNING,- no `is_winner` in source files
tests/test_phase21_realism.py,93,is_winner,WARNING,def test_no_is_winner_in_sources(self):
tests/test_phase21_realism.py,95,is_winner,WARNING,Scan ACTIVE code directories for is_winner usage.
tests/test_phase21_realism.py,97,is_winner,WARNING,is_winner was documented as a detected problem and explicitly removed
tests/test_phase21_realism.py,118,is_winner,WARNING,"if ""is_winner"" in line and not line.strip().startswith(""#""):"
tests/test_phase21_realism.py,121,is_winner,WARNING,"""is_winner found in ACTIVE strategy/engine code:\n"" + ""\n"".join(found)"
tests/test_phase21_realism.py,126,future_pnl,WARNING,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests/test_phase21_realism.py,126,future_mfe,WARNING,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests/test_phase21_realism.py,126,future_mae,WARNING,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests/test_phase21_realism.py,162,is_winner,WARNING,"forbidden = [""is_winner"", ""future_pnl"", ""hardcoded_month""]"
tests/test_phase21_realism.py,162,future_pnl,WARNING,"forbidden = [""is_winner"", ""future_pnl"", ""hardcoded_month""]"
tests/test_phase22_realism.py,82,is_winner,WARNING,def test_no_is_winner_in_active_sources(self):
tests/test_phase22_realism.py,100,is_winner,WARNING,"if ""is_winner"" in line and not line.strip().startswith(""#""):"
tests/test_phase22_realism.py,102,is_winner,WARNING,"assert len(found) == 0, f""is_winner lookahead found: {found}"""
tests/test_phase22_realism.py,106,future_pnl,WARNING,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests/test_phase22_realism.py,106,future_mfe,WARNING,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
