system,asset,month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,expectancy,average_winner,average_loser,max_dd_contribution,long_trades,short_trades,long_pnl,short_pnl,sleeve_contribution,fees,slippage,funding_impact,status,negative_or_zero_reason
Executable Phase12 baseline 1h,BTCUSDT.P,2020-01,118.54960566858297,11,6,5,0.5454545454545454,1.2200642430177746,657.2541405030212,-538.7045348344382,10.777236878962087,109.54235675050353,-107.74090696688764,0.03146461226244318,2,9,289.4170492963305,-170.86744362774755,strategy column,60.895232479558494,60.914725536309874,-41.56209432669641,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-02,-269.1658288984737,6,2,4,0.3333333333333333,0.3555618299783872,148.50935146746667,-417.6751803659403,-44.86097148307895,74.25467573373334,-104.41879509148508,0.03605827254237211,0,6,0.0,-269.1658288984737,strategy column,38.25682539225618,38.332517103700596,-59.331381006141996,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-03,780.8356206538895,12,9,3,0.75,3.423915508943376,1102.9737553260295,-322.13813467213987,65.06963505449079,122.55263948066994,-107.37937822404662,0.02034060196348179,7,5,355.2120282034024,425.62359245048714,strategy column,30.883751679496857,30.863467955167206,1.6212510246882,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-04,793.9235697329962,8,7,1,0.875,7.7930899700160685,910.7957991951828,-116.8722294621866,99.24044621662452,130.11368559931182,-116.8722294621866,0.011259192914137859,6,2,803.2302491297537,-9.306679396757573,strategy column,39.300164991892075,39.25802153684839,-3.5015507743291012,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-05,-124.3791590697153,5,2,3,0.4,0.6668096347890495,248.9184271043867,-373.297586174102,-24.87583181394306,124.45921355219335,-124.43252872470066,0.02474570079050986,2,3,13.80549425725792,-138.1846533269732,strategy column,23.615726259427475,23.57699285882819,4.1467017057395985,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-06,-303.96427095484796,3,0,3,0.0,0.0,0.0,-303.96427095484796,-101.32142365161599,0.0,-101.32142365161599,0.017821580885635728,1,2,-128.03016198612679,-175.93410896872115,strategy column,12.469449365765108,12.455402551524868,1.5268759480740002,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-07,-72.73566376202359,5,2,3,0.4,0.7786041441949,255.79651899958384,-328.53218276160743,-14.547132752404718,127.89825949979192,-109.51072758720248,0.023235162027780313,0,5,0.0,-72.73566376202359,strategy column,45.287000342839875,45.32333713426557,-48.72162226053639,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-08,-237.30054151865403,2,0,2,0.0,0.0,0.0,-237.30054151865403,-118.65027075932701,0.0,-118.65027075932701,0.012021845058610292,0,2,0.0,-237.30054151865403,strategy column,10.770110718280483,10.771663126716971,-1.6594057605915,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-09,143.7010020307527,4,3,1,0.75,2.268153783425831,257.0161250930001,-113.3151230622474,35.925250507688176,85.6720416976667,-113.3151230622474,0.011198998347459709,0,4,0.0,143.7010020307527,strategy column,17.012748248411775,17.0209922522861,-9.3148471027117,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-10,39.24316598663617,4,2,2,0.5,1.160693825479103,283.45395547798137,-244.21078949134517,9.810791496659043,141.72697773899068,-122.10539474567258,0.012115240991573491,2,2,283.45395547798137,-244.21078949134517,strategy column,27.210943622801672,27.20250697028201,0.3039933694679997,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-11,138.94378879234748,11,6,5,0.5454545454545454,1.2334905459263021,734.0162284113933,-595.0724396190458,12.631253526577042,122.33603806856554,-119.01448792380916,0.023804685493798022,4,7,26.068247679749106,112.87554111259833,strategy column,49.942126785090046,49.91145453986458,-9.845682360463798,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2020-12,-228.5283310429352,2,0,2,0.0,0.0,0.0,-228.5283310429352,-114.2641655214676,0.0,-114.2641655214676,0.011391078594344258,0,2,0.0,-228.5283310429352,strategy column,5.530460698628223,5.537596150552101,-1.3051269121394,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-01,-342.12723760705444,19,8,11,0.42105263157894735,0.7200074552890365,879.7882886089479,-1221.9155262160025,-18.00669671616076,109.97353607611849,-111.08322965600023,0.06385097354658653,3,16,-87.43726153340879,-254.68997607364565,strategy column,42.08176660627193,42.06904655257205,-24.111307726747796,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-02,-273.5675377645818,3,0,3,0.0,0.0,0.0,-273.5675377645818,-91.1891792548606,0.0,-91.1891792548606,0.016429880585550137,1,2,-111.09399294697101,-162.4735448176108,strategy column,8.99442249633191,8.989741847419172,-3.6148520768578,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-03,-288.09197106894686,12,5,7,0.4166666666666667,0.6195214810359003,469.0913039640646,-757.1832750330113,-24.00766425574557,93.81826079281292,-108.16903929043019,0.05877642873291045,3,9,159.0055057475182,-447.097476816465,strategy column,40.797282044258644,40.80213949592951,-21.7708684125736,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-04,767.4565761142712,13,10,3,0.7692307692307693,3.392355923142764,1088.251892852128,-320.795316737857,59.035121239559324,108.82518928521282,-106.93177224595233,0.02037701179785172,2,11,270.0766888924196,497.3798872218516,strategy column,61.49755357892562,61.50190420290082,-82.28939322844658,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-05,1248.285913539083,19,14,5,0.7368421052631579,3.0373030560618495,1861.0008014026719,-612.7148878635888,65.69925860732015,132.9286286716194,-122.54297757271777,0.0219504406635463,3,16,-136.48655921822404,1384.772472757307,strategy column,66.7126846933663,66.70295010096314,-29.280083117652904,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-06,152.85997885360572,10,5,5,0.5,1.2400445268410543,789.6584131491818,-636.798434295576,15.285997885360572,157.93168262983636,-127.35968685911521,0.025478035882744894,5,5,220.57236725149522,-67.71238839788947,strategy column,38.663678377577966,38.66929571363079,-6.412321867068201,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-07,500.41489626421765,5,4,1,0.8,4.768245400172881,633.2127486124908,-132.79785234827315,100.08297925284353,158.3031871531227,-132.79785234827315,0.0,4,1,633.2127486124908,-132.79785234827315,strategy column,28.139218557945952,28.14438132829458,-3.3293139413016,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-08,-254.1660457760643,8,3,5,0.375,0.6326110886312845,437.6513659938311,-691.8174117698954,-31.770755722008037,145.88378866461036,-138.3634823539791,0.0434485284655891,3,5,-112.50974998259343,-141.6562957934709,strategy column,49.444288596814665,49.44759033384854,-0.6256979820202995,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-09,-219.33622717621503,8,3,5,0.375,0.6678145512987914,440.94623863854065,-660.2824658147557,-27.41702839702688,146.98207954618022,-132.05649316295114,0.03821785207107009,0,8,0.0,-219.33622717621503,strategy column,40.852390514257365,40.85729653098877,-13.128991852771701,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-10,792.8199571807309,12,9,3,0.75,2.862899744979749,1218.403759700039,-425.5838025193081,66.06832976506091,135.37819552222655,-141.86126750643604,0.026417081885392813,5,7,401.85208109163693,390.9678760890938,strategy column,62.65207971913072,62.64388774554329,-0.7535613573171993,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-11,238.12617226583734,14,8,6,0.5714285714285714,1.2997472692842176,1032.5493302631448,-794.4231579973074,17.00901230470267,129.0686662828931,-132.4038596662179,0.02890152714972829,2,12,9.990944190188316,228.13522807564914,strategy column,88.99793861403009,88.99228575089916,-39.6397031267503,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2021-12,-19.659008422769517,7,3,4,0.42857142857142855,0.9654394404316415,549.1688308338637,-568.8278392566332,-2.80842977468136,183.05627694462123,-142.2069598141583,0.028102115645930036,2,5,63.46582346348606,-83.12483188625558,strategy column,40.901298082377664,40.8926837614762,-0.06427351293450012,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2022-01,574.3265642667593,5,4,1,0.8,4.977596599236089,718.7169140516169,-144.39034978485765,114.86531285335187,179.67922851290422,-144.39034978485765,0.013719572728038736,1,4,194.31118749661567,380.0153767701436,strategy column,22.651126072029385,22.650075380585015,-0.06096541765709984,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2022-02,631.3832070950057,9,6,3,0.6666666666666666,2.4042219710804473,1081.015259646642,-449.6320525516362,70.15368967722286,180.16920994110703,-149.8773508505454,0.029104365023418115,5,4,576.0527764999698,55.33043059503592,strategy column,50.689089207702956,50.674818334901495,-0.9801188087687,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2022-03,66.39805630616698,6,3,3,0.5,1.1360409151449327,554.472223077459,-488.074166771292,11.066342717694496,184.824074359153,-162.691388923764,0.016431334838627114,4,2,-308.7582926447882,375.15634895095513,strategy column,45.724079072222324,45.721667056951276,4.318924689660001,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2022-04,-470.12241352648016,3,0,3,0.0,0.0,0.0,-470.12241352648016,-156.7074711754934,0.0,-156.7074711754934,0.03155848486916966,0,3,0.0,-470.12241352648016,strategy column,22.257369800234024,22.256054273096233,-0.08255674180499994,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2022-05,555.3981554262173,7,5,2,0.7142857142857143,2.8521876213595903,855.258789965244,-299.8606345390267,79.34259363231675,171.0517579930488,-149.93031726951335,0.028419948292772043,2,5,49.91872573937508,505.47942968684225,strategy column,28.241054672506642,28.218632642122344,5.667530729001003,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2022-06,34.865338948539176,11,5,6,0.45454545454545453,1.0375375585985434,963.6774474134768,-928.8121084649376,3.169576268049016,192.73548948269536,-154.8020180774896,0.052168028000591615,4,7,-277.9406133237855,312.8059522723247,strategy column,54.15083253031505,54.156805310755296,-1.6176011732999993,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2022-07,143.18845281668735,8,4,4,0.5,1.2297957169306346,766.3003834011454,-623.111930584458,17.898556602085918,191.57509585028635,-155.7779826461145,0.03099410280533535,6,2,451.006906027092,-307.81845321040464,strategy column,43.545565229529736,43.525120434978675,2.15906793899,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BTCUSDT.P,2022-08,201.173681038558,5,3,2,0.6,1.6261256786481586,522.4728832576773,-321.29920221911925,40.2347362077116,174.15762775255908,-160.64960110955963,0.01603095609408186,1,4,-163.6125061813356,364.78618721989363,strategy column,35.43621271981239,35.39989509390756,-0.3413050784269999,positive,not attributable without implemented PF8.1 sleeve logs
