system,test_type,scenario,pnl,profit_factor,max_dd,trades,positive_months,negative_months,zero_months,classification,audit_note
PF1.2,standard,normal,21684.986096939287,2.4184289669893126,0.10865101101285742,325,56,16,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,double fees,19668.94169170494,2.2396793170496943,0.12936227404334258,325,56,16,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,triple fees,17652.89728647059,2.073498064615615,0.15060434987768817,325,55,17,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,double slippage,19668.791169439944,2.2396672041076195,0.12936398180369796,325,56,16,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,triple slippage,17652.596241940595,2.0734753697492545,0.15060817731233792,325,55,17,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,double fees + double slippage,17652.746764205593,2.0734867171592426,0.15060626357843135,325,55,17,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,delay 1 candle,21969.15904525036,2.4475101252751963,0.10356116301827066,325,56,16,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,delay 2 candles,22253.331993561438,2.4770191138898086,0.09848857462630078,325,56,16,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,missed fills 10%,19350.888876031808,2.4188779408919268,0.031604586101240416,292,55,15,8,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,missed fills 20%,16624.577980301925,2.3467221154847846,0.031604586101240416,260,52,16,10,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,missed fills 30%,14897.10388301297,2.4012594235975033,0.031604586101240416,227,50,16,12,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,combined adverse,15922.970046540086,2.09059769459012,0.03705969395534787,292,53,17,8,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,combined adverse passive,18806.097697175097,2.252130623670235,0.0341664950762415,309,57,15,6,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,combined adverse high funding,14753.691866303205,2.050728757747347,0.03705969395534787,276,51,18,9,PASS,computed from reconstructed/synthetic trade frame
PF1.2,standard,combined adverse stale cancel,14233.852636582822,1.9443841569591962,0.04214549181811161,292,51,19,8,PASS,computed from reconstructed/synthetic trade frame
PF1.2,torture,4x fees,15636.852881236233,1.9186046498032454,0.1723979098605483,325,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,5x fees,13620.808476001886,1.7738867622573777,0.19476471278648932,325,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,4x slippage,15636.40131444125,1.9185726811720327,0.17240429945744365,325,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,5x slippage,13620.206386941898,1.7738466429405455,0.1947741399911244,325,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,fees + slippage + delay,14188.853328094041,1.8164397286073097,0.18376675719900534,325,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,50% missed fills,10652.355924717962,2.397672221525137,0.031604586101240416,162,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,70% missed fills,5953.779721540865,2.2303775061360542,0.031604586101240416,98,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,liquidity gap shock,16773.09310768555,2.011695170779406,0.15091668350737159,325,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,funding shock,17652.89728647059,2.073498064615615,0.15060434987768817,325,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,NY low-liquidity shock,12743.373268650743,1.8237068995054104,0.046964522037538724,292,,,,WARNING,computed from reconstructed/synthetic trade frame
PF1.2,torture,top_5_winners_removed,20288.530515206217,2.3270859041259393,0.10865101101285742,320,,,,WARNING,custom trade-log perturbation
PF1.2,torture,top_10_winners_removed,18980.21544526127,2.241508169150103,0.10865101101285742,315,,,,WARNING,custom trade-log perturbation
PF1.2,torture,worst_5_losers_doubled,20767.14713764674,2.2814583307816756,0.10865101101285742,325,,,,WARNING,custom trade-log perturbation
PF1.2,torture,trade_sequence_shuffle,21684.98609693929,2.4184289669893118,0.05921696916065698,325,,,,WARNING,custom trade-log perturbation
PF1.2,torture,monthly_bootstrap,19676.13169448907,2.2371596872249335,0.0540562769833333,316,,,,WARNING,custom trade-log perturbation
PF1.2,torture,yearly_walk_forward_stress,21684.986096939287,nan,nan,325,,,,WARNING,no yearly re-optimization protocol implemented; summary only
PF7.0,standard,normal,28764.966808215788,1.8381350882518943,0.16943351936932488,625,53,23,2,PASS,computed from reconstructed/synthetic trade frame
