scenario,net_pnl,profit_factor,max_dd_pct,trades,positive_months,negative_months,zero_months,verdict
normal,6982.909485691753,1.1504320027142485,22.238684200411797,557,51,26,1,PASS
double fees,2760.792543867705,1.0570383498056848,32.11237832882116,557,45,32,1,PASS
triple fees,-1461.3243979563445,0.9709972629307193,48.257236897897954,557,38,39,1,FAIL
double slippage,2760.6232644630327,1.0570348110391081,32.11354194090085,557,45,32,1,PASS
triple slippage,-1461.6629567656887,0.9709905840798517,48.25988629307713,557,38,39,1,FAIL
double fees + double slippage,-1461.493677361017,0.9709939235029554,48.25856159409886,557,38,39,1,FAIL
delay 1 candle,7358.645045641753,1.159069554314877,21.522717615201937,557,51,26,1,PASS
delay 2 candles,7734.380605591754,1.1677664952876856,20.868826285767174,557,49,28,1,PASS
missed fills 10%,5529.713420317332,1.1319117155631713,20.455124397349117,501,45,32,1,PASS
missed fills 20%,5715.041019710734,1.1545412712226697,20.455124397349117,446,44,32,2,PASS
missed fills 30%,6102.513894464973,1.1908975622016846,20.455124397349117,390,46,29,3,PASS
combined adverse,-1733.528342192924,0.9617946638208406,47.910137085622324,501,39,38,1,FAIL
combined adverse passive,2616.957345519015,1.0568213407807625,32.24219880298446,529,41,36,1,PASS
combined adverse high funding,-1206.102507989307,0.9715645492775287,43.59062944720549,473,36,41,1,FAIL
combined adverse stale cancel,-5331.595095688052,0.8867671955622617,67.4340683197413,501,34,43,1,FAIL
