candidate_id,idea_id,template_type,parameters,no_lookahead_audit_status,execution_status,metric_status
CAND_0001,IDEA_001,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0002,IDEA_002,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0003,IDEA_003,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0004,IDEA_004,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0005,IDEA_005,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0006,IDEA_006,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0007,IDEA_007,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 20, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0008,IDEA_008,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0009,IDEA_009,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 30, ""adx_thresh"": 15, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0010,IDEA_010,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0011,IDEA_011,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0012,IDEA_012,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 70, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0013,IDEA_013,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0014,IDEA_014,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0015,IDEA_015,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 75, ""rsi_oversold"": 30, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0016,IDEA_001,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 20, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
CAND_0017,IDEA_002,bollinger_expansion_breakout,"{""template_type"": ""bollinger_expansion_breakout"", ""trend_filter"": null, ""regime_filter_mode"": ""no_filter"", ""tp_atr_mult"": 1.5, ""sl_atr_mult"": 1.0, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""adx_thresh"": 20, ""timeframe"": ""1h""}",PASSED,REGISTERED,PENDING
