candidate_id,family,template_type,tp_atr_mult,sl_atr_mult,adx_thresh,rsi_overbought,trend_filter,regime_filter_mode,net_pnl,trades,profit_factor,max_drawdown_pct,win_rate,positive_months,negative_months,pnl_cluster,trade_cluster,unique_cluster,trade_log_hash,no_lookahead,hardcoding_status,live_path_audit,executed
CAND_0327,bollinger_expansion_breakout,bollinger_expansion_breakout,1.8,1.8,20,70,None,no_filter,3795.22,360,1.1955,9.367,0.5917,35,34,4000,360,True,fcb804f416fa,YES,CLEAN,PASS,True
CAND_0578,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.2,15,65,None,no_filter,1270.38,316,1.0588,15.313,0.3386,34,35,1500,300,True,afddc83ec141,YES,CLEAN,PASS,True
CAND_0245,bollinger_expansion_breakout,bollinger_expansion_breakout,1.6,1.8,10,65,None,no_filter,2541.83,356,1.1467,12.0172,0.6124,37,32,2500,340,True,ef4d324ebdd2,YES,CLEAN,PASS,True
CAND_0363,bollinger_expansion_breakout,bollinger_expansion_breakout,2.0,1.2,30,70,None,no_filter,566.58,336,1.0271,17.564,0.4405,35,34,500,320,True,67913e0622b8,YES,CLEAN,PASS,True
CAND_0253,bollinger_expansion_breakout,bollinger_expansion_breakout,1.6,1.8,20,75,None,no_filter,2541.83,356,1.1467,12.0172,0.6124,37,32,2500,340,False,ef4d324ebdd2,YES,CLEAN,PASS,True
CAND_0407,bollinger_expansion_breakout,bollinger_expansion_breakout,2.0,1.8,30,65,None,no_filter,4246.75,359,1.2051,9.5138,0.5655,34,35,4000,340,True,372c570a6a79,YES,CLEAN,PASS,True
CAND_0388,bollinger_expansion_breakout,bollinger_expansion_breakout,2.0,1.6,20,75,None,no_filter,4252.66,361,1.1903,10.7775,0.5374,36,33,4500,360,True,78ab885140a8,YES,CLEAN,PASS,True
CAND_0602,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.4,30,65,None,no_filter,3351.54,325,1.1368,14.7707,0.3908,34,35,3500,320,True,c1fc7ee96af9,YES,CLEAN,PASS,True
CAND_0380,bollinger_expansion_breakout,bollinger_expansion_breakout,2.0,1.6,10,65,None,no_filter,4252.66,361,1.1903,10.7775,0.5374,36,33,4500,360,False,78ab885140a8,YES,CLEAN,PASS,True
CAND_0528,bollinger_expansion_breakout,bollinger_expansion_breakout,2.5,1.4,30,70,None,no_filter,1284.78,343,1.0574,16.3335,0.4227,35,34,1500,340,True,f6c3b2e08659,YES,CLEAN,PASS,True
CAND_0496,bollinger_expansion_breakout,bollinger_expansion_breakout,2.2,2.0,25,75,None,no_filter,4278.82,364,1.2086,8.2901,0.5659,34,35,4500,360,False,21d4d6ba05b5,YES,CLEAN,PASS,True
CAND_0610,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.6,15,75,None,no_filter,2960.32,328,1.1283,14.4471,0.4146,35,34,3000,320,True,67fc1e9da11d,YES,CLEAN,PASS,True
CAND_0623,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.8,15,65,None,no_filter,3159.23,327,1.1429,12.0432,0.4434,40,29,3000,320,False,5ff06d0f543c,YES,CLEAN,PASS,True
CAND_0430,bollinger_expansion_breakout,bollinger_expansion_breakout,2.2,1.2,15,75,None,no_filter,203.35,331,1.0102,17.7381,0.4139,34,35,0,320,True,40736f58e296,YES,CLEAN,PASS,True
CAND_0518,bollinger_expansion_breakout,bollinger_expansion_breakout,2.5,1.4,15,65,None,no_filter,1284.78,343,1.0574,16.3335,0.4227,35,34,1500,340,False,f6c3b2e08659,YES,CLEAN,PASS,True
