metric,value
net_pnl,11205.2
gross_profit,55640.85
gross_loss,44435.66
profit_factor,1.2522
max_drawdown_pct,16.2186
trades,557
win_rate,0.5404
winning_trades,301
losing_trades,256
average_win,184.85
average_loss,-173.58
expectancy,20.12
largest_win,332.06
largest_loss,-274.42
max_consecutive_wins,9
max_consecutive_losses,8
trade_log_hash,e1262d4b8cb305994ddfb166bedc8723bef2a3cb3b4df75a8766ae17349ff922
positive_months,52
negative_months,25
zero_months,0
best_month,1317.97
worst_month,-718.58
average_trades_per_month,7.23
