month,pnl,trades,winners,losers,status
2020-01,155.57,11,6,5,positive
2020-02,-258.88,4,1,3,negative
2020-03,929.98,12,10,2,positive
2020-04,769.03,10,8,2,positive
2020-05,-126.85,6,2,4,negative
2020-06,-308.53,3,0,3,negative
2020-07,134.94,5,3,2,positive
2020-08,-338.35,3,0,3,negative
2020-09,110.23,4,3,1,positive
2020-10,39.96,4,2,2,positive
2020-11,145.97,11,6,5,positive
2020-12,-339.74,7,2,5,negative
2021-01,922.91,36,22,14,positive
2021-02,-350.29,3,0,3,negative
2021-03,670.88,26,16,10,positive
2021-04,1317.97,14,12,2,positive
2021-05,608.93,25,14,11,positive
2021-06,-380.51,8,3,5,negative
2021-07,648.88,5,4,1,positive
2021-08,-108.41,10,5,5,negative
2021-09,43.04,8,4,4,positive
2021-10,998.56,14,10,4,positive
2021-11,516.38,16,10,6,positive
2021-12,34.16,8,4,4,positive
2022-01,338.89,7,4,3,positive
2022-02,334.84,11,6,5,positive
2022-03,76.31,6,3,3,positive
2022-04,-543.74,3,0,3,negative
2022-05,644.58,7,5,2,positive
2022-06,287.05,13,7,6,positive
2022-07,168.58,8,4,4,positive
2022-08,236.24,5,3,2,positive
2022-09,161.11,8,4,4,positive
2022-10,324.17,3,2,1,positive
2022-11,325.45,5,3,2,positive
2022-12,567.16,2,2,0,positive
2023-01,139.31,6,3,3,positive
2023-02,91.84,4,2,2,positive
2023-03,329.89,11,6,5,positive
2023-04,355.19,5,3,2,positive
2023-05,594.41,2,2,0,positive
2023-06,89.75,6,3,3,positive
2023-08,666.94,4,3,1,positive
2023-09,555.76,2,2,0,positive
2023-10,44.67,2,1,1,positive
2023-11,-188.59,3,1,2,negative
2023-12,-175.38,8,4,4,negative
2024-01,-653.06,6,1,5,negative
2024-02,-251.43,11,5,6,negative
2024-03,-612.37,19,9,10,negative
2024-04,277.57,6,4,2,positive
2024-05,61.33,4,2,2,positive
2024-06,-416.2,4,1,3,negative
2024-07,-534.39,3,0,3,negative
2024-08,236.98,7,4,3,positive
2024-09,-648.08,3,0,3,negative
2024-10,-437.73,2,0,2,negative
2024-11,647.35,10,6,4,positive
2024-12,413.1,7,4,3,positive
2025-01,-76.17,7,3,4,negative
2025-02,167.38,6,3,3,positive
2025-03,552.65,9,5,4,positive
2025-04,398.11,7,4,3,positive
2025-05,-678.18,3,0,3,negative
2025-06,152.81,2,1,1,positive
2025-07,725.4,4,3,1,positive
2025-08,606.16,2,2,0,positive
2025-09,-675.46,4,1,3,negative
2025-10,-225.63,3,1,2,negative
2025-11,-188.1,3,1,2,negative
2025-12,-502.99,7,2,5,negative
2026-01,264.33,7,4,3,positive
2026-02,429.87,9,5,4,positive
2026-03,949.8,7,5,2,positive
2026-04,-718.58,3,0,3,negative
2026-05,319.04,3,2,1,positive
2026-06,361.46,5,3,2,positive
