fusion,scenario,net_pnl,profit_factor,max_dd_pct,trades,positive_months,negative_months,zero_months,verdict
Combined Router v1 recovered,normal,11205.2,1.2522,16.2186,557,52,25,0,PASS
Combined Router v1 recovered,double fees,-15287.89,0.7311,150.1754,557,26,51,0,FAIL
Combined Router v1 recovered,triple fees,-41780.98,0.4015,385.8161,557,15,62,0,FAIL
Combined Router v1 recovered,double slippage,-2041.35,0.9597,54.0742,557,45,32,0,FAIL
Combined Router v1 recovered,triple slippage,-15287.89,0.7311,150.1754,557,26,51,0,FAIL
Combined Router v1 recovered,double fees + double slip,-28534.44,0.5484,266.2826,557,19,58,0,FAIL
Combined Router v1 recovered,delay 1 candle,-2041.35,0.9597,54.0742,557,45,32,0,FAIL
Combined Router v1 recovered,delay 2 candles,-15287.89,0.7311,150.1754,557,26,51,0,FAIL
Combined Router v1 recovered,missed fills 10%,8383.69,1.2045,17.8346,502,50,27,0,PASS
Combined Router v1 recovered,missed fills 20%,8028.78,1.2211,18.1841,446,49,28,0,PASS
Combined Router v1 recovered,missed fills 30%,5141.31,1.1582,23.9301,390,46,30,0,PASS
Combined Router v1 recovered,stale cancel,9384.22,1.2189,18.0993,530,50,27,0,PASS
Combined Router v1 recovered,partial fill,10364.81,1.2522,15.6343,557,52,25,0,PASS
Combined Router v1 recovered,high funding,11205.2,1.2522,16.2186,557,52,25,0,PASS
Combined Router v1 recovered,combined adverse,-39138.38,0.3919,359.586,502,16,61,0,FAIL
