strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,same_candle,session
Low-Activity Filler Long,1578646800000,2020-01-10 09:00:00+00:00,1578664800000,2020-01-10 14:00:00+00:00,Long,7709.7,7947.399518116238,7951.375205719097,7565.549882446231,7951.375205719097,0.713,169.4797564168779,5.581755978208438,2.745049999999611,2.834665260838232,5.579715260837842,0.0,163.89800043866947,10163.89800043867,TP Hit,1.64897207265596,5,False,False,False,False,2020-01-10 14:00:00,2020-01,False,LONDON
BB Expansion Long,1578974400000,2020-01-14 04:00:00+00:00,1579010400000,2020-01-14 14:00:00+00:00,Long,8473.8,8637.074842104905,8641.395539874842,8346.320011290114,8641.395539874842,0.823,134.3751950523372,7.041124997526167,3.5059799999986825,3.555934264658477,7.06191426465716,1.81502119715,125.51904885766103,10289.417049296331,TP Hit,1.2807880182393256,10,False,False,False,False,2020-01-14 14:00:00,2020-01,False,OFF_HOURS
Funding Reversal Short,1579050000000,2020-01-15 01:00:00+00:00,1579240800000,2020-01-17 06:00:00+00:00,Short,8779.3,9005.452019343827,9000.951543572042,9000.951543572042,8561.148456427956,0.468,-105.8391450529116,4.161631972526457,2.059200000000681,2.106222661195476,4.165422661196157,-4.977731863026,-105.02304516241206,10184.394004133916,SL Hit,-1.020304283467904,53,False,False,False,False,2020-01-17 06:00:00,2020-01,False,OFF_HOURS
Funding Reversal Short,1579302000000,2020-01-17 23:00:00+00:00,1579395600000,2020-01-19 01:00:00+00:00,Short,8939.6,9112.880602001442,9108.32643878205,9108.32643878205,8779.67356121795,0.62,-107.43397324089364,5.596268986620448,2.79,2.8235811960223147,5.613581196022315,-6.568042950812,-106.4621992767021,10077.931804857217,SL Hit,-1.026991402487156,26,False,False,False,False,2020-01-19 01:00:00,2020-01,False,OFF_HOURS
Funding Reversal Short,1579424400000,2020-01-19 09:00:00+00:00,1579431600000,2020-01-19 11:00:00+00:00,Short,9108.7,8995.132147037159,8990.636828622848,9238.243171377151,8990.636828622848,0.814,92.44423231175352,7.368259683844124,3.711839999999585,3.6591891892487727,7.371029189248357,0.0,85.07597262790938,10163.007777485129,TP Hit,0.8766795791358271,2,False,False,False,False,2020-01-19 11:00:00,2020-01,False,LONDON
BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.576,136.2094050330799,4.909341697483459,2.505600000000209,2.4194087930868844,4.925008793087094,-11.7822602750976,143.08232361069403,10306.090101095822,TP Hit,1.308166483598327,95,False,False,False,False,2020-01-23 12:00:00,2020-01,False,NEW_YORK
Funding Reversal Short,1579881600000,2020-01-24 16:00:00+00:00,1579910400000,2020-01-25 00:00:00+00:00,Short,8505.0,8379.074021095446,8374.886577806543,8643.533422193455,8374.886577806543,0.767,96.58522581979264,6.475042387090104,3.2290699999993304,3.2117690025890027,6.4408390025883335,-3.3968141428468,93.50699757554932,10399.597098671373,TP Hit,0.9089934898793154,8,False,False,False,False,2020-01-25 00:00:00,2020-01,False,NEW_YORK
BB Expansion Long,1580173200000,2020-01-28 01:00:00+00:00,1580230800000,2020-01-28 17:00:00+00:00,Long,9081.0,8935.066298255231,8939.536066288374,8939.536066288374,9228.61881523514,0.759,-110.76367962427948,6.837097160187861,3.453449999999448,3.392553937155406,6.846003937154854,8.4452204472702,-126.04599723173756,10273.551101439634,SL Hit,-1.0315965201579538,16,False,False,False,False,2020-01-28 17:00:00,2020-01,False,OFF_HOURS
Funding Reversal Short,1580245200000,2020-01-28 21:00:00+00:00,1580252400000,2020-01-28 23:00:00+00:00,Short,9066.5,9243.190703724276,9238.57141801527,9238.57141801527,8903.42858198473,0.613,-108.3114013829814,5.611920200691491,2.7585,2.8316221396209,5.5901221396209,0.0,-113.92332158367287,10159.62777985596,SL Hit,-1.026845165584655,2,False,False,False,False,2020-01-28 23:00:00,2020-01,False,NEW_YORK
Funding Reversal Short,1580274000000,2020-01-29 05:00:00+00:00,1580407200000,2020-01-30 18:00:00+00:00,Short,9340.0,9537.422837432205,9532.656509177616,9532.656509177616,9155.963490822383,0.539,-106.41090937595834,5.08746545468798,2.5009599999996865,2.569050929223524,5.07001092922321,-15.093935239128902,-96.40443959151742,10063.223340264443,SL Hit,-1.024740032272644,37,False,False,False,False,2020-01-30 18:00:00,2020-01,False,OFF_HOURS
Funding Reversal Short,1580428800000,2020-01-31 00:00:00+00:00,1580446800000,2020-01-31 05:00:00+00:00,Short,9520.9,9362.653323571454,9357.974336403253,9693.365663596747,9357.974336403253,0.6,94.94800585712728,5.665065997071435,2.8620000000002617,2.8073923009207644,5.669392300921026,-3.06065492502,92.34359478507584,10155.56693504952,TP Hit,0.9175546780056556,5,False,False,False,False,2020-01-31 05:00:00,2020-01,False,OFF_HOURS
Funding Reversal Short,1580641200000,2020-02-02 11:00:00+00:00,1580688000000,2020-02-03 00:00:00+00:00,Short,9429.8,9321.369165263715,9316.710809858789,9553.289190141211,9316.710809858789,0.859,93.1420870384679,8.053627156480765,4.08025,4.001527292833533,8.081777292833532,-10.1917580983435,95.28021798033063,10250.84715302985,TP Hit,0.8780593233487872,13,False,False,False,False,2020-02-03 00:00:00,2020-02,False,LONDON
Funding Reversal Short,1580922000000,2020-02-05 17:00:00+00:00,1580925600000,2020-02-05 18:00:00+00:00,Short,9573.5,9708.87644794337,9704.024435725509,9704.024435725509,9452.59556427449,0.815,-110.33180507384678,7.8575684025369235,3.9282999999997625,3.954389957557168,7.882689957556931,0.0,-118.18937347638372,10132.657779553463,SL Hit,-1.0371732096820956,1,False,False,False,False,2020-02-05 18:00:00,2020-02,False,NEW_YORK
BB Expansion Long,1580929200000,2020-02-05 19:00:00+00:00,1580947200000,2020-02-06 00:00:00+00:00,Long,9700.8,9559.46513313769,9564.247256766072,9564.247256766072,9842.391936926586,0.769,-108.6865126171159,7.405571943691442,3.6911999999994407,3.677453070225504,7.368653070224944,12.1465259487,-128.23861050950734,10004.419169043958,SL Hit,-1.0350203409695653,5,False,False,False,False,2020-02-06 00:00:00,2020-02,False,NEW_YORK
Funding Reversal Short,1580950800000,2020-02-06 01:00:00+00:00,1580990400000,2020-02-06 12:00:00+00:00,Short,9566.4,9728.27151343492,9723.409808530656,9723.409808530656,9418.970191469343,0.657,-106.34958432674271,6.338299592163371,3.1404600000004304,3.194140122101524,6.334600122101954,-4.9595710738743,-107.7283128450318,9896.690856198926,SL Hit,-1.0309643387872476,11,False,False,False,False,2020-02-06 12:00:00,2020-02,False,OFF_HOURS
