month,pnl,trades,winners,losers,status
2020-06,-178.65,2,0,2,negative
2020-10,22.48,2,1,1,positive
2020-12,-115.98,1,0,1,negative
2021-04,224.42,1,1,0,positive
2021-09,188.66,1,1,0,positive
2021-10,262.48,3,2,1,positive
2021-11,44.07,2,1,1,positive
2022-01,232.28,1,1,0,positive
2022-02,-179.2,1,0,1,negative
2022-03,-194.4,1,0,1,negative
2022-04,-178.68,1,0,1,negative
2022-05,121.47,1,1,0,positive
2022-06,-179.57,1,0,1,negative
2022-07,62.04,2,1,1,positive
2022-08,277.02,1,1,0,positive
2022-09,59.98,2,1,1,positive
2022-10,246.98,1,1,0,positive
2022-12,311.67,1,1,0,positive
2023-02,283.7,1,1,0,positive
2023-03,-205.18,1,0,1,negative
2023-04,-210.0,1,0,1,negative
2023-05,594.41,2,2,0,positive
2023-06,273.71,1,1,0,positive
2023-08,328.26,1,1,0,positive
2023-11,294.53,1,1,0,positive
2024-02,-228.46,1,0,1,negative
2024-03,146.93,1,1,0,positive
2024-06,60.64,2,1,1,positive
2024-07,-207.6,1,0,1,negative
2024-08,268.9,1,1,0,positive
2024-10,-218.77,1,0,1,negative
2024-11,514.41,2,2,0,positive
2024-12,275.18,1,1,0,positive
2025-01,-215.94,1,0,1,negative
2025-02,-207.39,1,0,1,negative
2025-03,835.0,3,3,0,positive
2025-05,-229.18,1,0,1,negative
2025-06,271.31,1,1,0,positive
2025-08,332.06,1,1,0,positive
2025-09,-245.38,1,0,1,negative
2025-10,-241.43,1,0,1,negative
2025-12,-231.72,1,0,1,negative
2026-01,46.18,3,2,1,positive
2026-02,-212.05,1,0,1,negative
2026-03,293.47,1,1,0,positive
2026-04,-242.65,1,0,1,negative
2026-05,567.7,2,2,0,positive
