system,scenario,net_pnl,trades,profit_factor,max_drawdown_pct,win_rate,winning_trades,losing_trades,avg_win,avg_loss,expectancy,avg_r,trade_log_hash,positive_months,negative_months,zero_months,best_month,worst_month,verdict
multi_candidate_low_correlation_fusion,normal,3517.69,62,1.6751,6.4164,0.5645,35,27,249.38,-192.98,56.74,0.3289,85b4c71f1ed323cbb4b7ec2700840346db1c3be3c83d2dab9e8221406f8f1755,28,19,0,835.0,-245.38,PASS
multi_candidate_low_correlation_fusion,double fees,39.6,62,1.0059,15.1873,0.5645,35,27,192.81,-248.48,0.64,0.3289,e2596b7a879aa4d072aa2d9d1821278868078d589f255385fe4bb58fb411d2fa,24,23,0,576.27,-356.55,PASS
multi_candidate_low_correlation_fusion,triple fees,-3438.48,62,0.5866,38.6277,0.5323,33,29,147.86,-286.83,-55.46,0.3289,ac5c0c682ab32757d501d8328eeb86451a3b6dde747c1344d0fbe11c5a8721fd,21,26,0,483.35,-507.77,FAIL
multi_candidate_low_correlation_fusion,double slippage,1778.65,62,1.2984,9.8927,0.5645,35,27,221.1,-220.73,28.69,0.3289,65c557b94fc60e393e82561dc34af3ae34a08aa51e2b949bfc97d00b3e50daa1,25,22,0,705.64,-300.97,PASS
multi_candidate_low_correlation_fusion,triple slippage,39.6,62,1.0059,15.1873,0.5645,35,27,192.81,-248.48,0.64,0.3289,e2596b7a879aa4d072aa2d9d1821278868078d589f255385fe4bb58fb411d2fa,24,23,0,576.27,-356.55,PASS
multi_candidate_low_correlation_fusion,double fees + double slip,-1699.44,62,0.7727,26.2439,0.5323,33,29,175.03,-257.77,-27.41,0.3289,0cf3f69a8ef04af9c790e7e6275e57a786efcd2c300a94b5ce39f46f5c741e1f,21,26,0,511.12,-412.14,FAIL
multi_candidate_low_correlation_fusion,delay 1 candle,1778.65,62,1.2984,9.8927,0.5645,35,27,221.1,-220.73,28.69,0.3289,65c557b94fc60e393e82561dc34af3ae34a08aa51e2b949bfc97d00b3e50daa1,25,22,0,705.64,-300.97,PASS
multi_candidate_low_correlation_fusion,delay 2 candles,39.6,62,1.0059,15.1873,0.5645,35,27,192.81,-248.48,0.64,0.3289,e2596b7a879aa4d072aa2d9d1821278868078d589f255385fe4bb58fb411d2fa,24,23,0,576.27,-356.55,PASS
multi_candidate_low_correlation_fusion,missed fills 10%,3327.5,56,1.733,5.7152,0.5714,32,24,245.85,-189.15,59.42,0.3496,d19e03f45c7834903cc8f12ed3370edc90394f99969542be1a746c0587ca757e,26,17,0,835.0,-245.38,PASS
multi_candidate_low_correlation_fusion,missed fills 20%,3451.53,50,1.9033,5.7152,0.58,29,21,250.78,-181.95,69.03,0.3755,bc58a4cca02cf4f6e6542717684e9e33ed0f59c98ace94957195341cd648e162,24,14,0,835.0,-229.18,PASS
multi_candidate_low_correlation_fusion,missed fills 30%,2997.74,43,1.9461,5.7152,0.5814,25,18,246.65,-176.03,69.71,0.3838,866ce7b2097c79f3db4b58556222f9985474dd04a19099f00344765f04485db3,22,11,0,594.41,-228.46,PASS
multi_candidate_low_correlation_fusion,stale cancel,3192.64,59,1.6427,6.4164,0.5593,33,26,247.29,-191.07,54.11,0.3194,fc3c6c01049e850bc0967a480673301538fef4dccc197fd2aadd677505463f8e,27,18,0,835.0,-245.38,PASS
multi_candidate_low_correlation_fusion,partial fill,3253.86,62,1.6751,6.0599,0.5645,35,27,230.67,-178.51,52.48,0.3289,a8d533076534f8dae2067474a0bb82a1e106e9cf1ec932a15d0030ef37ff4ac9,28,19,0,772.37,-226.98,PASS
multi_candidate_low_correlation_fusion,high funding,3151.58,62,1.5931,6.7867,0.5645,35,27,241.85,-196.79,50.83,0.3289,f9e3b32d09a090466ee60e7f2a2fe72fb7c1719413992cfcdab2d5a24dea56ed,28,19,0,829.78,-253.66,PASS
multi_candidate_low_correlation_fusion,combined adverse,-2696.5,56,0.6232,28.8616,0.5357,30,26,148.69,-275.28,-48.15,0.3496,2f42f6cb1c3a031c3e819409ee88d4c03b51fa2dacab2e3df5c2226062355f7b,19,24,0,483.35,-467.72,FAIL
