strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,entry_dt,session,expected_R,gross_R,net_R,total_friction_cost,entry_fee,exit_fee,fee_to_profit_ratio,slippage_to_profit_ratio,cost_to_atr_ratio,projected_net_R,same_candle,source_sleeve,entry_family,exit_reason_clean,r_regime,cost_regime,stress_combined_pnl,phase33_classes,cost_class,stress_class
ATR Expansion Short,1591110000000,2020-06-02 15:00:00+00:00,1591282800000,2020-06-04 15:00:00+00:00,Short,9579.7,9849.088306630898,9844.16622351914,9844.16622351914,9194.92566472129,0.437,-117.72268999770208,4.2451902449988514,2.084489999999396,2.1509503198383264,4.235440319837722,-2.3933520329338,-119.57452820976712,11219.388930450075,SL Hit,-1.0186113865364814,48,False,False,False,False,2020-06-04 15:00:00,2020-06,2020-06-02 15:00:00+00:00,NEW_YORK,1.4549091757680184,-1.0186113865364814,-1.0346346653867153,10.873982597770373,2.1225951224994257,2.1225951224994257,0.03606093477036344,0.03597811364929222,0.041116715976335025,1.3608205808564966,False,ATR Expansion Short,bb_expansion,SL_HIT,R_1_2_1_5,COST_LOW,-138.73392820976713,STRESS_DAMAGING;MONTHLY_DAMAGE,COST_ACCEPTABLE,STRESS_DAMAGING
BB Expansion Short,1591894800000,2020-06-11 17:00:00+00:00,1591894800000,2020-06-11 17:00:00+00:00,Short,9086.7,9276.409101482335,9271.7732148749,9271.7732148749,8820.838868229306,0.297,-56.34360314025389,2.7269217015701277,1.3602599999999785,1.3768583224087851,2.7371183224087634,0.0,-59.07052484182402,11160.318405608252,SL Hit,-1.0250489332590382,0,False,False,False,False,2020-06-11 17:00:00,2020-06,2020-06-11 17:00:00+00:00,NEW_YORK,1.436518687755027,-1.0250489332590382,-1.0746593242437492,5.464040023978891,1.3634608507850638,1.3634608507850638,0.04839807093596961,0.04857904304762625,0.029523667310109247,1.3371124005156019,True,BB Expansion Short,bb_expansion,SAME_CANDLE,R_1_2_1_5,COST_LOW,-77.24392484182403,STRESS_DAMAGING;MONTHLY_DAMAGE,COST_ACCEPTABLE,STRESS_DAMAGING
ATR Expansion Long,1602511200000,2020-10-12 14:00:00+00:00,1602536400000,2020-10-12 21:00:00+00:00,Long,11497.7,11712.501898130453,11718.361078669786,11341.092614220142,11718.361078669786,0.733,157.44979132962143,8.50653899566481,4.1781000000005335,4.29477933533143,8.472879335331964,0.8467374110000001,148.09651492295663,11215.238645431757,TP Hit,1.371594941456959,7,False,False,False,False,2020-10-12 21:00:00,2020-10,2020-10-12 14:00:00+00:00,NEW_YORK,1.409008122898923,1.371594941456959,1.2901155917728886,17.82615574199677,4.253269497832405,4.253269497832405,0.05402699440773697,0.05381321412864864,0.11382704368141902,1.2537188409324578,False,ATR Expansion Long,bb_expansion,TP_HIT,R_1_2_1_5,COST_MED,125.10111492295661,NEUTRAL,COST_ACCEPTABLE,STRESS_RESILIENT
ATR Expansion Short,1602597600000,2020-10-13 14:00:00+00:00,1602680400000,2020-10-14 13:00:00+00:00,Short,11345.3,11517.510032301208,11511.754155223598,11511.754155223598,11109.5687671646,0.697,-120.03039251394276,7.967689296256971,3.9659300000003546,4.011846323094463,7.977776323094818,-2.3848663520000004,-125.61321545819972,11089.625429973556,SL Hit,-1.034579353515558,23,False,False,False,False,2020-10-14 13:00:00,2020-10,2020-10-13 14:00:00+00:00,NEW_YORK,1.416193140500104,-1.034579353515558,-1.0826994440317186,18.33033197135179,3.9838446481284855,3.9838446481284855,0.06638059852492312,0.0664646357977053,0.11012240545589601,1.258198297665246,False,ATR Expansion Short,bb_expansion,SL_HIT,R_1_2_1_5,COST_MED,-148.30381545819972,STRESS_DAMAGING;MONTHLY_DAMAGE,COST_ACCEPTABLE,STRESS_DAMAGING
ATR Expansion Short,1606849200000,2020-12-01 19:00:00+00:00,1607007600000,2020-12-03 15:00:00+00:00,Short,18740.0,19577.19667711487,19567.41297062956,19567.41297062956,17523.80554405567,0.137,-114.69594476473708,2.6247279723823684,1.2905399999997609,1.3403677884877434,2.6309077884875043,-1.3443788493466,-115.97629388777284,11123.790908898232,SL Hit,-1.011824453849047,44,False,False,False,False,2020-12-03 15:00:00,2020-12,2020-12-01 19:00:00+00:00,NEW_YORK,1.4698759858924533,-1.0118244538490424,-1.0231194351564379,6.600014610216473,1.3123639861911842,1.3123639861911842,0.02288422644554852,0.0229381064333529,0.007976687391297073,1.4116519903355402,False,ATR Expansion Short,bb_expansion,SL_HIT,R_1_2_1_5,COST_LOW,-153.45629388777286,STRESS_DAMAGING;MONTHLY_DAMAGE,COST_ACCEPTABLE,STRESS_DAMAGING
ATR Expansion Short,1618423200000,2021-04-14 18:00:00+00:00,1618678800000,2021-04-17 17:00:00+00:00,Short,62338.1,59848.05202407728,59818.142952600974,64070.08803159934,59818.142952600974,0.076,189.243646170127,4.643073776914937,2.371959999999933,2.2730894321988453,4.645049432198778,-39.815688552106,224.41626094531804,13201.811544695434,TP Hit,1.437681976141242,71,False,False,False,False,2021-04-17 17:00:00,2021-04,2021-04-14 18:00:00+00:00,NEW_YORK,1.4549506124889668,1.437681976141242,1.704887958161861,49.10381176121972,2.3215368884574685,2.3215368884574685,0.024534899167715722,0.02454533891205496,0.02835112648894954,1.0819094744764728,False,ATR Expansion Short,bb_expansion,TP_HIT,R_1_2_1_5,COST_LOW,99.74006094531805,HIGH_R_KEEP,COST_ACCEPTABLE,STRESS_RESILIENT
BB Expansion Short,1631026800000,2021-09-07 15:00:00+00:00,1631026800000,2021-09-07 15:00:00+00:00,Short,47343.7,45566.40381152499,45543.631995527234,48621.89536322039,45543.631995527234,0.109,193.72528454377544,5.063600657728112,2.5778500000001587,2.482127943755775,5.059977943755934,0.0,188.6616838860473,14255.156032873703,TP Hit,1.3904730369206877,0,False,False,False,False,2021-09-07 15:00:00,2021-09,2021-09-07 15:00:00+00:00,NEW_YORK,1.4082886358917135,1.3904730369206877,1.3541287868611978,10.123578601484045,2.531800328864056,2.531800328864056,0.026138047336737334,0.026119347072697408,0.00792021227175933,1.3356261379856647,True,BB Expansion Short,bb_expansion,SAME_CANDLE,R_1_2_1_5,COST_LOW,93.97428388604732,NEUTRAL,COST_ACCEPTABLE,STRESS_RESILIENT
ATR Expansion Long,1634565600000,2021-10-18 14:00:00+00:00,1634670000000,2021-10-19 19:00:00+00:00,Long,61884.9,64331.88523382714,64364.06726746087,60181.10515502609,64364.06726746087,0.09,220.2286710444424,5.679755335522221,2.7827999999998427,2.8963830270353355,5.679183027035178,3.200739295113,211.34817641380715,15280.058887653062,TP Hit,1.4361971108467606,29,False,False,False,False,2021-10-19 19:00:00,2021-10,2021-10-18 14:00:00+00:00,NEW_YORK,1.4550855549154045,1.4361971108467608,1.3782839396373923,14.559677657670399,2.8398776677611104,2.8398776677611104,0.025790262950712895,0.025787664249624937,0.008545440609014947,1.3601362148152383,False,ATR Expansion Long,bb_expansion,TP_HIT,R_1_2_1_5,COST_LOW,87.57837641380712,NEUTRAL,COST_ACCEPTABLE,STRESS_RESILIENT
ATR Expansion Short,1634828400000,2021-10-21 15:00:00+00:00,1634914800000,2021-10-22 15:00:00+00:00,Short,63689.1,61025.82362585336,60995.32596287192,65538.01602475205,60995.32596287192,0.085,226.37849180246445,5.300384254098768,2.706400000000322,2.592301353421863,5.298701353422185,-8.157059248659,229.2351667970247,15617.006737838608,TP Hit,1.4404528591306858,24,False,False,False,False,2021-10-22 15:00:00,2021-10,2021-10-21 15:00:00+00:00,NEW_YORK,1.4569477472560297,1.4404528591306858,1.4586299643439853,18.75614485617995,2.650192127049384,2.650192127049384,0.02341381556125848,0.023406381548145384,0.010144400613702937,1.337601857683054,False,ATR Expansion Short,bb_expansion,TP_HIT,R_1_2_1_5,COST_LOW,101.85696679702471,NEUTRAL,COST_ACCEPTABLE,STRESS_RESILIENT
ATR Expansion Long,1635451200000,2021-10-28 20:00:00+00:00,1635739200000,2021-11-01 04:00:00+00:00,Long,61378.2,59538.477919410114,59568.262050435325,59568.262050435325,64016.406924347,0.086,-158.21609893072994,5.199417150534634,2.6393399999995744,2.561435268168192,5.200775268167766,14.690050783011005,-178.10556686427557,15107.18330187408,SL Hit,-1.0164558851491985,80,False,False,False,False,2021-11-01 04:00:00,2021-10,2021-10-28 20:00:00+00:00,NEW_YORK,1.4576228566186744,-1.0164558851491983,-1.144235339137569,25.090243201713406,2.599708575267317,2.599708575267317,0.032862756607410976,0.03287134054825082,0.013862488052559005,1.2964311350772906,False,ATR Expansion Long,bb_expansion,SL_HIT,R_1_2_1_5,COST_LOW,-300.8619668642756,STRESS_DAMAGING;MONTHLY_DAMAGE,COST_ACCEPTABLE,STRESS_DAMAGING
