candidate_id,candidate_hash,family,min_expected_R,min_projected_net_R,max_cost_to_atr,session_mode,skip_same_candle,entry_family,monthly_dd_limit,cost_regime_max
P33_0000,549fda67b3b17c46,bollinger_expansion_breakout,,,,ALL,True,ALL,,
P33_0001,2d731d51ab3a69e3,mean_reversion,1.0,,,ALL,False,ALL,,
P33_0002,e27dce47d1dddabd,vwap_reclaim,1.2,,,ALL,False,ALL,,
P33_0003,b286d813ed26cf14,london_breakout,1.4,0.8,,ALL,False,ALL,,
P33_0004,28939499bc1abd61,ny_breakout,1.6,0.8,,ALL,False,ALL,,
P33_0005,0d52deed5760efc4,off_hours_skip,1.8,0.8,0.1,ALL,False,ALL,,
P33_0006,935919ec3f40f781,funding_safe,2.0,1.0,0.1,ALL,False,ALL,,
P33_0007,097f07a5fdfeb085,low_r_removal,,1.0,0.1,NO_OFF_HOURS,False,ALL,,
P33_0008,fba592251610a95b,adx_trend,1.0,1.0,0.1,NO_OFF_HOURS,False,ALL,,
P33_0009,22c2b477623a0f44,atr_volatility_expansion,1.2,1.2,0.1,NO_OFF_HOURS,False,ALL,,
P33_0010,b90f74cc8c37f088,cost_to_atr,1.4,1.2,0.15,NO_OFF_HOURS,False,ALL,,
P33_0011,1c881b7046cbc010,monthly_governor,1.6,1.2,0.15,NO_OFF_HOURS,True,ALL,,
P33_0012,0cdfdf8470ddb51f,time_stop,1.8,,0.15,NO_OFF_HOURS,False,ALL,,
P33_0013,d9a273e0702cdea6,same_candle_safe,2.0,,0.15,NO_OFF_HOURS,False,bb_expansion,,
P33_0014,535aeee5f58a24d8,low_correlation_complement,,,0.15,LONDON_NY,False,bb_expansion,,
P33_0015,f83c601db5bfbac9,high_pf_low_frequency,1.0,0.8,0.2,LONDON_NY,False,bb_expansion,,
P33_0016,78e78d77992d115b,stress_hardened,1.2,0.8,0.2,LONDON_NY,False,bb_expansion,,
P33_0017,7b362f3c996c72b6,bollinger_expansion_breakout,1.4,0.8,0.2,LONDON_NY,False,bb_expansion,0.015,
P33_0018,872709113593f200,mean_reversion,1.6,1.0,0.2,LONDON_NY,False,bb_expansion,0.015,
P33_0019,0b58d1ee77be2ddf,vwap_reclaim,1.8,1.0,0.2,LONDON_NY,False,bb_expansion,0.015,NO_EXTREME
P33_0020,4f9cb2d2eed625f7,london_breakout,2.0,1.0,0.3,LONDON_NY,False,bb_expansion,0.015,NO_EXTREME
P33_0021,c286735f6cbe4895,ny_breakout,,1.2,0.3,LONDON_ONLY,False,bb_expansion,0.015,NO_EXTREME
P33_0022,a9c9cd9ce326f1dc,off_hours_skip,1.0,1.2,0.3,LONDON_ONLY,True,bb_expansion,0.015,NO_EXTREME
P33_0023,d5fd10782876a811,funding_safe,1.2,1.2,0.3,LONDON_ONLY,False,bb_expansion,0.015,NO_EXTREME
P33_0024,4226a6666426d3c0,low_r_removal,1.4,,0.3,LONDON_ONLY,False,bb_expansion,0.015,NO_EXTREME
P33_0025,710513d5be6546f7,adx_trend,1.6,,0.4,LONDON_ONLY,False,bb_expansion,0.015,NO_EXTREME
P33_0026,2bc4ce7f5bc7488a,atr_volatility_expansion,1.8,,0.4,LONDON_ONLY,False,floor_low_activity,0.015,NO_EXTREME
P33_0027,5e1e1367119d778a,cost_to_atr,2.0,0.8,0.4,LONDON_ONLY,False,floor_low_activity,0.015,NO_EXTREME
P33_0028,fa1b9bc1badf82fa,monthly_governor,,0.8,0.4,NY_ONLY,False,floor_low_activity,0.015,NO_EXTREME
P33_0029,6dd2accb74746f14,time_stop,1.0,0.8,0.4,NY_ONLY,False,floor_low_activity,0.015,NO_EXTREME
