name,status,system,net_pnl,trades,profit_factor,max_drawdown_pct,win_rate,winning_trades,losing_trades,avg_win,avg_loss,expectancy,avg_r,trade_log_hash,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,params,serialized_rules
baseline_router_v1,EXECUTED_SERIALIZED_FILTER_FUSION,baseline_router_v1,11205.2,557,1.2522,16.2186,0.5404,301,256,184.85,-173.58,20.12,0.1445,57b4d8900291bf8c8c1aa1d779b12bcc18938771bff495586a65b715b051d2f1,52,25,0,1189.68,-718.58,7,8,-33249.85,309.7893,{},{}
cost_gated_router,EXECUTED_SERIALIZED_FILTER_FUSION,cost_gated_router,9463.4,380,1.2903,14.1026,0.5237,199,181,211.35,-180.09,24.9,0.1676,5c5de7066b14ce5df4803ea02f8c958a04b540c1522c5fe458cc8d8bf528d4b1,53,20,0,946.79,-718.58,9,6,-22802.87,214.8303,"{""max_cost_to_atr"": 0.3, ""min_projected_net_R"": 1.0}","{""max_cost_to_atr"": 0.3, ""min_projected_net_R"": 1.0}"
session_hardened_router,EXECUTED_SERIALIZED_FILTER_FUSION,session_hardened_router,9053.22,283,1.3922,11.3749,0.5512,156,127,206.0,-181.76,31.99,0.2111,499b6ccfb38b2fb6ca4e768c56b43797cd11e95e248feaf80285cfcb4729204f,45,27,0,1156.32,-753.78,9,6,-16275.28,157.6346,"{""min_expected_R"": 1.0, ""session_mode"": ""NO_OFF_HOURS""}","{""min_expected_R"": 1.0, ""session_mode"": ""NO_OFF_HOURS""}"
monthly_governed_router,EXECUTED_SERIALIZED_FILTER_FUSION,monthly_governed_router,8077.89,488,1.209,16.189,0.5328,260,228,179.75,-169.55,16.55,0.1258,eaf9dfb043b5a19e5f020b9154e73612be1a647fdd28e3de91c7a3977dae05ab,46,31,0,1189.68,-502.99,7,8,-28471.75,266.1221,"{""monthly_dd_limit"": 0.03}","{""monthly_dd_limit"": 0.03}"
stress_hardened_router,EXECUTED_SERIALIZED_FILTER_FUSION,stress_hardened_router,8871.0,222,1.4761,9.8514,0.5541,123,99,223.62,-188.22,39.96,0.2551,4abfa82704ff979bda5b8be546ca2c0e1bbba4c0da87344c97b255db67d23dd7,45,25,0,1156.32,-675.46,9,6,-12096.45,119.4423,"{""max_cost_to_atr"": 0.3, ""min_expected_R"": 1.2, ""session_mode"": ""NO_OFF_HOURS""}","{""max_cost_to_atr"": 0.3, ""min_expected_R"": 1.2, ""session_mode"": ""NO_OFF_HOURS""}"
high_pf_conservative_fusion,EXECUTED_SERIALIZED_FILTER_FUSION,high_pf_conservative_fusion,9017.42,223,1.4839,9.7755,0.5561,124,99,222.99,-188.22,40.44,0.2592,0883f820a39b06413ab06fb99f441d497fcad986bf060cfebc581ba870bc9d10,46,25,0,1156.32,-675.46,9,6,-11968.38,118.1422,"{""min_expected_R"": 1.2, ""session_mode"": ""NO_OFF_HOURS""}","{""min_expected_R"": 1.2, ""session_mode"": ""NO_OFF_HOURS""}"
high_pnl_growth_fusion,EXECUTED_SERIALIZED_FILTER_FUSION,high_pnl_growth_fusion,9405.92,440,1.2515,17.3411,0.525,231,209,202.64,-178.97,21.38,0.1468,d3df9d820c5c0459ef78c51621203263b9919549d9adfc0d484ea842edc88f03,51,24,0,978.83,-718.58,7,8,-27418.21,257.6426,"{""max_cost_to_atr"": 0.4, ""min_expected_R"": 1.0}","{""max_cost_to_atr"": 0.4, ""min_expected_R"": 1.0}"
low_dd_fusion,EXECUTED_SERIALIZED_FILTER_FUSION,low_dd_fusion,7147.53,210,1.3962,10.5534,0.5429,114,96,220.93,-187.91,34.04,0.2291,276e078c833559c4c147a73c077062478e93f11a3f6e3ae27bce7b76209e4a55,44,27,0,1156.32,-483.12,9,6,-10670.35,106.1785,"{""min_expected_R"": 1.2, ""monthly_dd_limit"": 0.03, ""session_mode"": ""LONDON_NY""}","{""min_expected_R"": 1.2, ""monthly_dd_limit"": 0.03, ""session_mode"": ""LONDON_NY""}"
multi_candidate_low_correlation_fusion,EXECUTED_SERIALIZED_FILTER_FUSION,multi_candidate_low_correlation_fusion,3517.69,62,1.6751,6.4164,0.5645,35,27,249.38,-192.98,56.74,0.3289,85b4c71f1ed323cbb4b7ec2700840346db1c3be3c83d2dab9e8221406f8f1755,28,19,0,835.0,-245.38,12,3,-2696.5,28.8616,"{""cost_regime_max"": null, ""entry_family"": ""ALL"", ""max_cost_to_atr"": 0.4, ""min_expected_R"": 1.4, ""min_projected_net_R"": null, ""monthly_dd_limit"": 0.015, ""session_mode"": ""NY_ONLY"", ""skip_same_candle"": false}","{""cost_regime_max"": null, ""entry_family"": ""ALL"", ""max_cost_to_atr"": 0.4, ""min_expected_R"": 1.4, ""min_projected_net_R"": null, ""monthly_dd_limit"": 0.015, ""session_mode"": ""NY_ONLY"", ""skip_same_candle"": false}"
final_recommended_fusion,EXECUTED_SERIALIZED_FILTER_FUSION,final_recommended_fusion,8871.0,222,1.4761,9.8514,0.5541,123,99,223.62,-188.22,39.96,0.2551,4abfa82704ff979bda5b8be546ca2c0e1bbba4c0da87344c97b255db67d23dd7,45,25,0,1156.32,-675.46,9,6,-12096.45,119.4423,"{""max_cost_to_atr"": 0.3, ""min_expected_R"": 1.2, ""min_projected_net_R"": 1.0, ""session_mode"": ""NO_OFF_HOURS""}","{""max_cost_to_atr"": 0.3, ""min_expected_R"": 1.2, ""min_projected_net_R"": 1.0, ""session_mode"": ""NO_OFF_HOURS""}"
