name,status,system,net_pnl,trades,profit_factor,max_drawdown_pct,win_rate,winning_trades,losing_trades,avg_win,avg_loss,expectancy,avg_r,trade_log_hash,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,params,live_audit_status,reject_reason
baseline_router_v1,EXECUTED_FILTER_REPLAY,baseline_router_v1,11205.2,557,1.2522,16.2186,0.5404,301,256,184.85,-173.58,20.12,0.1445,57b4d8900291bf8c8c1aa1d779b12bcc18938771bff495586a65b715b051d2f1,52,25,0,1189.68,-718.58,7,8,-33249.85,309.7893,{},PASS_LIVE_KNOWN_FILTERS,OK
expected_R_ge_1_0,EXECUTED_FILTER_REPLAY,expected_R_ge_1_0,9552.34,441,1.2554,17.2135,0.5261,232,209,202.4,-178.97,21.66,0.1491,34b3c028098362e5bfb7f53bbc65118325efeef05f924d955b88c59a22208ad9,51,24,0,978.83,-718.58,7,8,-27290.14,256.4836,"{""min_expected_R"": 1.0}",PASS_LIVE_KNOWN_FILTERS,OK
expected_R_ge_1_2,EXECUTED_FILTER_REPLAY,expected_R_ge_1_2,8873.9,348,1.2886,15.3008,0.5172,180,168,220.14,-183.04,25.5,0.1656,e94b21ecece2f508bad94a1d0af7b4dd2d61e2bc91b28be1476bb51b8751d5d7,52,22,0,946.79,-718.58,9,6,-21660.08,204.586,"{""min_expected_R"": 1.2}",PASS_LIVE_KNOWN_FILTERS,OK
expected_R_ge_1_4,EXECUTED_FILTER_REPLAY,expected_R_ge_1_4,2568.04,132,1.1953,17.4879,0.4773,63,69,249.46,-190.55,19.45,0.1089,22cedb4e329befbd03f92534159dfae94ebeba850c1b3ca18036be6be2a74258,35,25,0,835.0,-782.81,7,8,-11365.07,113.4018,"{""min_expected_R"": 1.4}",PASS_LIVE_KNOWN_FILTERS,OK
expected_R_ge_1_6,EXECUTED_FILTER_REPLAY,expected_R_ge_1_6,219.84,26,1.079,13.4266,0.4231,11,15,272.96,-185.52,8.46,0.0148,9b7b8181fb4e67d7fdf0795208c7926360a4536278a9c8556fac3fe1f246c534,11,12,0,332.06,-543.18,7,8,-1542.31,23.6778,"{""min_expected_R"": 1.6}",PASS_LIVE_KNOWN_FILTERS,LOW_TRADE_COUNT
expected_R_ge_1_8,EXECUTED_FILTER_REPLAY,expected_R_ge_1_8,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,103aa0ec3678247e43ff5543e9e89eb94692de876894e1cf237a7e076bb7ef87,0,0,0,0.0,0.0,0,15,0.0,0.0,"{""min_expected_R"": 1.8}",PASS_LIVE_KNOWN_FILTERS,LOW_TRADE_COUNT
expected_R_ge_2_0,EXECUTED_FILTER_REPLAY,expected_R_ge_2_0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,103aa0ec3678247e43ff5543e9e89eb94692de876894e1cf237a7e076bb7ef87,0,0,0,0.0,0.0,0,15,0.0,0.0,"{""min_expected_R"": 2.0}",PASS_LIVE_KNOWN_FILTERS,LOW_TRADE_COUNT
cost_to_atr_le_0_30,EXECUTED_FILTER_REPLAY,cost_to_atr_le_0_30,11058.77,556,1.2489,16.3288,0.5396,300,256,184.98,-173.58,19.89,0.1426,ea648e9ea9b25b47e1530b1b9b71b1fd87fda6deed98d723534313cf215a49f9,51,26,0,1189.68,-718.58,7,8,-33377.91,310.941,"{""max_cost_to_atr"": 0.3}",PASS_LIVE_KNOWN_FILTERS,OK
cost_to_atr_le_0_15,EXECUTED_FILTER_REPLAY,cost_to_atr_le_0_15,10319.34,550,1.2336,16.909,0.5382,296,254,184.12,-173.94,18.76,0.1388,152d48149d8693d555712f619f357040a2c56dfdb729db25fa299e6784fc6f8e,50,27,0,1189.68,-718.58,7,8,-33893.11,311.7514,"{""max_cost_to_atr"": 0.15}",PASS_LIVE_KNOWN_FILTERS,OK
projected_net_R_ge_1_0,EXECUTED_FILTER_REPLAY,projected_net_R_ge_1_0,9463.4,380,1.2903,14.1026,0.5237,199,181,211.35,-180.09,24.9,0.1676,5c5de7066b14ce5df4803ea02f8c958a04b540c1522c5fe458cc8d8bf528d4b1,53,20,0,946.79,-718.58,9,6,-22802.87,214.8303,"{""min_projected_net_R"": 1.0}",PASS_LIVE_KNOWN_FILTERS,OK
projected_net_R_ge_1_2,EXECUTED_FILTER_REPLAY,projected_net_R_ge_1_2,6908.34,305,1.2534,14.4747,0.5049,154,151,221.89,-180.55,22.65,0.1439,5d91cf6cf79941bb9f99f46f00aa89cdad9b9bfeb27a2b05d0edd7139fbf939b,43,29,0,946.79,-678.18,7,8,-20503.16,195.0753,"{""min_projected_net_R"": 1.2}",PASS_LIVE_KNOWN_FILTERS,OK
off_hours_skip,EXECUTED_FILTER_REPLAY,off_hours_skip,10042.74,354,1.3664,10.0467,0.5621,199,155,188.21,-176.84,28.37,0.1979,ff9676fac220c6de757969c9f35b2d29e60d258d2297abf9b29d8e9f384b246f,46,27,0,1156.32,-740.72,9,6,-19586.22,186.4205,"{""session_mode"": ""NO_OFF_HOURS""}",PASS_LIVE_KNOWN_FILTERS,OK
london_ny_only,EXECUTED_FILTER_REPLAY,london_ny_only,10042.74,354,1.3664,10.0467,0.5621,199,155,188.21,-176.84,28.37,0.1979,ff9676fac220c6de757969c9f35b2d29e60d258d2297abf9b29d8e9f384b246f,46,27,0,1156.32,-740.72,9,6,-19586.22,186.4205,"{""session_mode"": ""LONDON_NY""}",PASS_LIVE_KNOWN_FILTERS,OK
london_only,EXECUTED_FILTER_REPLAY,london_only,287.53,90,1.0411,12.0995,0.5333,48,42,151.59,-166.4,3.19,0.0796,b839a3c9d83aaf49013722c7817f5391f56dc6ad26b0c17f9d7931a45f43e491,21,20,0,566.04,-436.83,6,9,-5753.32,60.4855,"{""session_mode"": ""LONDON_ONLY""}",PASS_LIVE_KNOWN_FILTERS,OK
floor_low_activity_only,EXECUTED_FILTER_REPLAY,floor_low_activity_only,123.36,30,1.0373,17.2587,0.4333,13,17,264.06,-194.67,4.11,0.0186,76f0b9ca554a08c7e87053657e3a71aeab6bfb8f6ee22f6de21750dc2cf7061e,12,13,0,332.06,-543.18,7,8,-2056.47,30.6205,"{""entry_family"": ""floor_low_activity""}",PASS_LIVE_KNOWN_FILTERS,LOW_TRADE_COUNT
bb_expansion_only,EXECUTED_FILTER_REPLAY,bb_expansion_only,11081.83,527,1.2695,14.3831,0.5465,288,239,181.28,-172.08,21.03,0.1516,825b64ee8e72f69342d2f4c98890845d385e4b3591ca7e103913ee327778e8e0,49,27,0,1189.68,-678.18,7,8,-31234.93,293.5568,"{""entry_family"": ""bb_expansion""}",PASS_LIVE_KNOWN_FILTERS,OK
same_candle_skip,EXECUTED_FILTER_REPLAY,same_candle_skip,8255.46,511,1.1987,18.1591,0.5303,271,240,183.8,-173.15,16.16,0.1227,70a7b78995babedc111f0a6e6fdd2f6f83f2f0da66cd8262169a0b159c223859,47,30,0,1194.78,-718.58,7,8,-32285.07,299.9014,"{""skip_same_candle"": true}",PASS_LIVE_KNOWN_FILTERS,OK
monthly_gov_1_5pct,EXECUTED_FILTER_REPLAY,monthly_gov_1_5pct,7923.46,393,1.2718,13.0786,0.5471,215,178,172.42,-163.75,20.16,0.1529,3bf337a8d31b37781d8b191ad7ba7ffa1c72c202e470b912e27c34b5be9fa727,36,41,0,1189.68,-312.95,7,8,-20524.23,193.5799,"{""monthly_dd_limit"": 0.015}",PASS_LIVE_KNOWN_FILTERS,OK
