candidate_id,candidate_hash,family,min_expected_R,min_projected_net_R,max_cost_to_risk,session_mode,skip_same_candle,source_mode,min_hold_candles,registered_status
P34_0000,e435bf04f1a3dd42,cost_to_atr_gate,,,,ALL,True,ALL,,REGISTERED
P34_0001,d5154fe90a02a261,projected_net_r_gate,1.0,,,ALL,False,ALL,,REGISTERED
P34_0002,5e3f56327fba3c1b,low_r_filtered,1.1,,,ALL,False,ALL,,REGISTERED
P34_0003,204f812f46de5722,session_aware,1.2,0.7,,ALL,False,ALL,,REGISTERED
P34_0004,bbe2916cc82d1b51,off_hours_stricter_r,1.35,0.7,,ALL,False,ALL,,REGISTERED
P34_0005,6cc142ed3c51981c,same_candle_hardened,1.5,0.7,0.1,ALL,False,ALL,,REGISTERED
P34_0006,387e4040cc4883fb,cand0190_relative,1.8,0.9,0.1,ALL,False,ALL,,REGISTERED
P34_0007,6e13eb98b555bb49,high_pf_low_frequency,,0.9,0.1,NO_OFF_HOURS,False,ALL,,REGISTERED
P34_0008,389c19fdb7eb6a6b,stress_hardened,1.0,0.9,0.1,NO_OFF_HOURS,False,ALL,,REGISTERED
P34_0009,743c52590f508a97,balanced_activity,1.1,1.0,0.1,NO_OFF_HOURS,False,ALL,,REGISTERED
P34_0010,fd4b9d929794bd50,cost_to_atr_gate,1.2,1.0,0.15,NO_OFF_HOURS,False,ALL,,REGISTERED
P34_0011,4083d441e6cfc0ce,projected_net_r_gate,1.35,1.0,0.15,NO_OFF_HOURS,True,ALL,,REGISTERED
P34_0012,7ddd263a52d47377,low_r_filtered,1.5,1.15,0.15,NO_OFF_HOURS,False,ALL,,REGISTERED
P34_0013,5bfb625e9a971183,session_aware,1.8,1.15,0.15,NO_OFF_HOURS,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0014,25637ee765bb49fe,off_hours_stricter_r,,1.15,0.15,LONDON_NY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0015,3294e9c6458cd182,same_candle_hardened,1.0,1.3,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0016,f225a3038d889832,cand0190_relative,1.1,1.3,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,,REGISTERED
P34_0017,ad2415970209f2fd,high_pf_low_frequency,1.2,1.3,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0018,5d57a7be87868e9e,stress_hardened,1.35,,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0019,5b4b66d0aa1c1a42,balanced_activity,1.5,,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0020,8a84a6a975e9c415,cost_to_atr_gate,1.8,,0.3,LONDON_NY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0021,18aa3b4e03836a42,projected_net_r_gate,,0.7,0.3,LONDON_ONLY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED
P34_0022,8bae4754a80f41a2,low_r_filtered,1.0,0.7,0.3,LONDON_ONLY,True,NO_FUNDING_REVERSAL,2.0,REGISTERED
