candidate_id,candidate_hash,family,min_expected_R,min_projected_net_R,max_cost_to_risk,session_mode,skip_same_candle,source_mode,min_hold_candles,registered_status,execution_status,engine_proof_source,behavior_cluster,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,trade_log_hash,positive_months,negative_months,zero_months,best_month,worst_month,trades_per_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,params,selected_trade_log_path
P34_0000,e435bf04f1a3dd42,cost_to_atr_gate,,,,ALL,True,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,ac93fca4c8f09f8e,8255.46,49810.69,41555.23,1.1987,18.1591,511,0.5303,271.0,240.0,183.8,-173.15,16.16,332.06,-274.42,9.0,8.0,a98f29caca8371037032f0c529f8ca9ddc7f688f6af8dce1c2c224ff03905e4b,46.0,31.0,0.0,1323.08,-718.58,6.64,7,8.0,-37062.93,340.4878,"{""family"": ""cost_to_atr_gate"", ""max_cost_to_risk"": null, ""min_expected_R"": null, ""min_hold_candles"": null, ""min_projected_net_R"": null, ""session_mode"": ""ALL"", ""skip_same_candle"": true, ""source_mode"": ""ALL""}",
P34_0001,d5154fe90a02a261,projected_net_r_gate,1.0,,,ALL,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,0ed5b2af7a959db5,9552.34,46956.76,37404.41,1.2554,17.2135,441,0.5261,232.0,209.0,202.4,-178.97,21.66,332.06,-274.42,6.0,8.0,4f2f60abfc999ec65fc9a564e6a8d2afd026ddd89ab418e5a157d0fb93b6c1bd,51.0,25.0,0.0,949.8,-718.58,5.8,7,8.0,-30009.78,280.7183,"{""family"": ""projected_net_r_gate"", ""max_cost_to_risk"": null, ""min_expected_R"": 1.0, ""min_hold_candles"": null, ""min_projected_net_R"": null, ""session_mode"": ""ALL"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0002,5e3f56327fba3c1b,low_r_filtered,1.1,,,ALL,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,333ed0113a82c1f2,8998.42,39749.91,30751.49,1.2926,15.198,349,0.5186,181.0,168.0,219.61,-183.04,25.78,332.06,-274.42,6.0,8.0,a0eed28f98fa3db8eceda79f5b5c3f073e4ae7302de4a4cdb358a33333fda6a7,50.0,25.0,0.0,949.8,-718.58,4.65,9,6.0,-22897.88,217.025,"{""family"": ""low_r_filtered"", ""max_cost_to_risk"": null, ""min_expected_R"": 1.1, ""min_hold_candles"": null, ""min_projected_net_R"": null, ""session_mode"": ""ALL"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",reports/phase34_candidate_P34_0002_trade_log.csv
P34_0003,204f812f46de5722,session_aware,1.2,0.7,,ALL,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,2f50b26404095396,8873.9,39625.39,30751.49,1.2886,15.3008,348,0.5172,180.0,168.0,220.14,-183.04,25.5,332.06,-274.42,6.0,8.0,d87d8b42b71dc5c15180d1262599b72801f99baac5fab1ad2c72f2fd939c4203,50.0,25.0,0.0,949.8,-718.58,4.64,9,6.0,-24177.69,228.6369,"{""family"": ""session_aware"", ""max_cost_to_risk"": null, ""min_expected_R"": 1.2, ""min_hold_candles"": null, ""min_projected_net_R"": 0.7, ""session_mode"": ""ALL"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0004,bbe2916cc82d1b51,off_hours_stricter_r,1.35,0.7,,ALL,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,b86c71e332fc7d3a,3362.25,20299.13,16936.88,1.1985,16.5384,180,0.4778,86.0,94.0,236.04,-180.18,18.68,332.06,-274.42,5.0,9.0,4109a75d9305dbbe9bfa08c5cbe8c649067b6d809b1402cb2d8ebd21fd293a7a,39.0,31.0,0.0,893.72,-782.81,2.57,7,8.0,-13867.29,141.2915,"{""family"": ""off_hours_stricter_r"", ""max_cost_to_risk"": null, ""min_expected_R"": 1.35, ""min_hold_candles"": null, ""min_projected_net_R"": 0.7, ""session_mode"": ""ALL"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0005,6cc142ed3c51981c,same_candle_hardened,1.5,0.7,0.1,ALL,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,84c6c909d3a7fb19,-432.41,2400.47,2832.88,0.8474,16.2721,24,0.375,9.0,15.0,266.72,-188.86,-18.02,332.06,-274.42,6.0,8.0,506e4a60ef01d74e3f40421981eec2ff23b00b7b72a5b2fdecb479733bdbf287,8.0,13.0,0.0,332.06,-437.73,1.14,0,15.0,-3472.77,38.0911,"{""family"": ""same_candle_hardened"", ""max_cost_to_risk"": 0.1, ""min_expected_R"": 1.5, ""min_hold_candles"": null, ""min_projected_net_R"": 0.7, ""session_mode"": ""ALL"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0006,387e4040cc4883fb,cand0190_relative,1.8,0.9,0.1,ALL,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,8ea5b7e4781806ab,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542a9bf8cd0863f0ac999bf5edaeeb18b6811868d39c0018ac523b27abae5aba,0.0,0.0,1.0,0.0,0.0,0.0,0,15.0,0.0,0.0,"{""family"": ""cand0190_relative"", ""max_cost_to_risk"": 0.1, ""min_expected_R"": 1.8, ""min_hold_candles"": null, ""min_projected_net_R"": 0.9, ""session_mode"": ""ALL"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0007,6e13eb98b555bb49,high_pf_low_frequency,,0.9,0.1,NO_OFF_HOURS,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,3903228f120f9be0,8797.2,31134.47,22337.27,1.3938,10.2819,277,0.556,154.0,123.0,202.17,-181.6,31.76,332.06,-274.42,9.0,6.0,ad5faa4bd7953b4c78c45f7fdddf24a2df328fe302e32de848a865d1fc9c894e,47.0,24.0,0.0,769.05,-753.78,3.9,9,6.0,-17230.72,165.2221,"{""family"": ""high_pf_low_frequency"", ""max_cost_to_risk"": 0.1, ""min_expected_R"": null, ""min_hold_candles"": null, ""min_projected_net_R"": 0.9, ""session_mode"": ""NO_OFF_HOURS"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",reports/phase34_candidate_P34_0007_trade_log.csv
P34_0008,389c19fdb7eb6a6b,stress_hardened,1.0,0.9,0.1,NO_OFF_HOURS,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,191ddb4850f14794,8362.83,30388.19,22025.36,1.3797,10.6678,268,0.5485,147.0,121.0,206.72,-182.03,31.2,332.06,-274.42,9.0,6.0,e2352ad48676bcfe5615c8f42032f4f0aa465087445a3914e90011ae534eda68,47.0,24.0,0.0,769.05,-753.78,3.77,9,6.0,-17190.21,166.669,"{""family"": ""stress_hardened"", ""max_cost_to_risk"": 0.1, ""min_expected_R"": 1.0, ""min_hold_candles"": null, ""min_projected_net_R"": 0.9, ""session_mode"": ""NO_OFF_HOURS"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0009,743c52590f508a97,balanced_activity,1.1,1.0,0.1,NO_OFF_HOURS,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,482831d539f60e98,8509.13,26439.62,17930.5,1.4746,10.044,214,0.5561,119.0,95.0,222.18,-188.74,39.76,332.06,-274.42,6.0,5.0,3fb1d1af3f87889363b6605320444a6614b171a3265b2698b56a06c0c4496d61,47.0,23.0,0.0,896.37,-675.46,3.06,9,6.0,-13623.84,133.5855,"{""family"": ""balanced_activity"", ""max_cost_to_risk"": 0.1, ""min_expected_R"": 1.1, ""min_hold_candles"": null, ""min_projected_net_R"": 1.0, ""session_mode"": ""NO_OFF_HOURS"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0010,fd4b9d929794bd50,cost_to_atr_gate,1.2,1.0,0.15,NO_OFF_HOURS,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,e21c3b2fe48a4892,7972.56,26606.28,18633.73,1.4279,10.3438,219,0.5479,120.0,99.0,221.72,-188.22,36.4,332.06,-274.42,6.0,5.0,128d242a6f9fc4c898143621511f57792a6d50f3f2e264c0e8369f1f7faef2e7,46.0,24.0,0.0,896.37,-675.46,3.13,9,6.0,-13181.01,129.9907,"{""family"": ""cost_to_atr_gate"", ""max_cost_to_risk"": 0.15, ""min_expected_R"": 1.2, ""min_hold_candles"": null, ""min_projected_net_R"": 1.0, ""session_mode"": ""NO_OFF_HOURS"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0011,4083d441e6cfc0ce,projected_net_r_gate,1.35,1.0,0.15,NO_OFF_HOURS,True,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,78ea13126011c8b5,2432.39,12771.37,10338.98,1.2353,15.1537,108,0.5,54.0,54.0,236.51,-191.46,22.52,332.06,-274.42,5.0,7.0,43b4d26c5a66247dc7c4c15221e51343bc7ec581be5531e296d0d5b86b6d1a96,31.0,21.0,0.0,1110.12,-675.46,2.08,7,8.0,-9210.02,96.0996,"{""family"": ""projected_net_r_gate"", ""max_cost_to_risk"": 0.15, ""min_expected_R"": 1.35, ""min_hold_candles"": null, ""min_projected_net_R"": 1.0, ""session_mode"": ""NO_OFF_HOURS"", ""skip_same_candle"": true, ""source_mode"": ""ALL""}",
P34_0012,7ddd263a52d47377,low_r_filtered,1.5,1.15,0.15,NO_OFF_HOURS,False,ALL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,fa2fe5227e0f16b1,-530.83,1815.2,2346.03,0.7737,12.66,18,0.3889,7.0,11.0,259.31,-213.28,-29.49,332.06,-274.42,4.0,5.0,adb43a2abc1786a783a3fc62296ffcfd3c62f316719c721ad638dd821523eaac,6.0,9.0,0.0,332.06,-437.73,1.2,0,15.0,-2905.2,30.2395,"{""family"": ""low_r_filtered"", ""max_cost_to_risk"": 0.15, ""min_expected_R"": 1.5, ""min_hold_candles"": null, ""min_projected_net_R"": 1.15, ""session_mode"": ""NO_OFF_HOURS"", ""skip_same_candle"": false, ""source_mode"": ""ALL""}",
P34_0013,5bfb625e9a971183,session_aware,1.8,1.15,0.15,NO_OFF_HOURS,False,NO_FUNDING_REVERSAL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,1ca5a352bc27d052,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542a9bf8cd0863f0ac999bf5edaeeb18b6811868d39c0018ac523b27abae5aba,0.0,0.0,1.0,0.0,0.0,0.0,0,15.0,0.0,0.0,"{""family"": ""session_aware"", ""max_cost_to_risk"": 0.15, ""min_expected_R"": 1.8, ""min_hold_candles"": null, ""min_projected_net_R"": 1.15, ""session_mode"": ""NO_OFF_HOURS"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0014,25637ee765bb49fe,off_hours_stricter_r,,1.15,0.15,LONDON_NY,False,NO_FUNDING_REVERSAL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,fea860316b8994b6,7553.75,25980.98,18427.23,1.4099,10.5906,215,0.5442,117.0,98.0,222.06,-188.03,35.13,332.06,-274.42,6.0,5.0,dd77b14d46f2fecc875a83f6b2249dff419abad534bce221394ec4040e8b3077,45.0,24.0,0.0,896.37,-675.46,3.12,9,6.0,-12567.12,123.8021,"{""family"": ""off_hours_stricter_r"", ""max_cost_to_risk"": 0.15, ""min_expected_R"": null, ""min_hold_candles"": null, ""min_projected_net_R"": 1.15, ""session_mode"": ""LONDON_NY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0015,3294e9c6458cd182,same_candle_hardened,1.0,1.3,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,15905243cee150ba,1856.46,9715.22,7858.77,1.2362,12.7139,83,0.4819,40.0,43.0,242.88,-182.76,22.37,332.06,-242.65,6.0,7.0,cf48905ae33a8489950cf7896511ad20f1d0ab54d3939b3117aee55a3c722523,29.0,19.0,0.0,847.08,-558.24,1.73,5,10.0,-6978.31,70.1926,"{""family"": ""same_candle_hardened"", ""max_cost_to_risk"": 0.2, ""min_expected_R"": 1.0, ""min_hold_candles"": null, ""min_projected_net_R"": 1.3, ""session_mode"": ""LONDON_NY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0016,f225a3038d889832,cand0190_relative,1.1,1.3,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,a9d9ab75b29209c5,1856.46,9715.22,7858.77,1.2362,12.7139,83,0.4819,40.0,43.0,242.88,-182.76,22.37,332.06,-242.65,6.0,7.0,cf48905ae33a8489950cf7896511ad20f1d0ab54d3939b3117aee55a3c722523,29.0,19.0,0.0,847.08,-558.24,1.73,5,10.0,-6978.31,70.1926,"{""family"": ""cand0190_relative"", ""max_cost_to_risk"": 0.2, ""min_expected_R"": 1.1, ""min_hold_candles"": null, ""min_projected_net_R"": 1.3, ""session_mode"": ""LONDON_NY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0017,ad2415970209f2fd,high_pf_low_frequency,1.2,1.3,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,1f1239fdeb22253f,2285.86,9018.25,6732.39,1.3395,9.4306,73,0.5068,37.0,36.0,243.74,-187.01,31.31,332.06,-242.65,6.0,6.0,e77837a407c489f0e5cbdd0da331a03dbf22ea0118ffc0bbaa2b63e2a42e5bd4,27.0,18.0,0.0,847.08,-558.24,1.62,9,6.0,-4165.53,42.446,"{""family"": ""high_pf_low_frequency"", ""max_cost_to_risk"": 0.2, ""min_expected_R"": 1.2, ""min_hold_candles"": 2, ""min_projected_net_R"": 1.3, ""session_mode"": ""LONDON_NY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
P34_0018,5d57a7be87868e9e,stress_hardened,1.35,,0.2,LONDON_NY,False,NO_FUNDING_REVERSAL,2.0,REGISTERED,ENGINE_TRADE_LOG_EXECUTED_FILTER_REPLAY,reports/phase34_strategy_1_trade_log_copy.csv,c80de0bf59401b92,3148.53,12593.05,9444.52,1.3334,14.3735,102,0.5196,53.0,49.0,237.6,-192.75,30.87,332.06,-274.42,5.0,7.0,c96cc618de2e182e8d2ffa32dac580c2787fa1585fc4216a4be50b826b8641d0,33.0,20.0,0.0,1110.12,-675.46,1.92,9,6.0,-8701.7,90.98,"{""family"": ""stress_hardened"", ""max_cost_to_risk"": 0.2, ""min_expected_R"": 1.35, ""min_hold_candles"": 2, ""min_projected_net_R"": null, ""session_mode"": ""LONDON_NY"", ""skip_same_candle"": false, ""source_mode"": ""NO_FUNDING_REVERSAL""}",
