strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,entry_datetime_parsed,session,same_candle,source_sleeve
P35_CONSERVATIVE_QUALITY_PLUS,1579096800000,2020-01-15 14:00:00+00:00,1579104000000,2020-01-15 16:00:00+00:00,Long,8898.2,8693.759083533701,8698.108137602501,8698.108137602501,9176.891379785853,0.434,-88.7273577463739,3.8174551211268133,1.9356400000004106,1.887489465859151,3.8231294658595614,0.380538578,-92.92535144550071,9907.074648554499,SL Hit,-1.0217352870660983,2,False,False,False,False,2020-01-15 16:00:00,2020-01,2020-01-15 14:00:00,NEW_YORK,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1579435200000,2020-01-19 12:00:00+00:00,1579471200000,2020-01-19 22:00:00+00:00,Short,8699.1,8446.833970204403,8442.612663872467,8886.015250415387,8442.612663872467,0.465,117.3037038549527,3.986429648072524,2.018100000000068,1.9629074443502033,3.981007444350271,-3.7145242204500004,117.03179842733017,10024.106446981828,TP Hit,1.349627862012224,10,False,False,False,False,2020-01-19 22:00:00,2020-01,2020-01-19 12:00:00,LONDON,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1580407200000,2020-01-30 18:00:00+00:00,1580464800000,2020-01-31 10:00:00+00:00,Long,9480.5,9302.375573149324,9307.02908769317,9307.02908769317,9719.951320444095,0.505,-89.95283555959146,4.742676082220205,2.39875,2.350024844642503,4.748774844642503,6.2310084162865,-100.92652005809818,9923.17992692373,SL Hit,-1.026825906902568,16,False,False,False,False,2020-01-31 10:00:00,2020-01,2020-01-30 18:00:00,NEW_YORK,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1581001200000,2020-02-06 15:00:00+00:00,1581030000000,2020-02-06 23:00:00+00:00,Long,9843.1,9663.50519224284,9668.339361923801,9668.339361923801,10087.917765636605,0.492,-88.36064541652327,4.798624877291738,2.4206400000000357,2.378411483033342,4.799051483033377,2.6841238932528,-95.8433941870678,9827.336532736663,SL Hit,-1.0276616618832342,8,False,False,False,False,2020-02-06 23:00:00,2020-02,2020-02-06 15:00:00,NEW_YORK,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1581872400000,2020-02-16 17:00:00+00:00,1581894000000,2020-02-16 23:00:00+00:00,Short,9743.4,9924.135999292268,9919.176411086724,9919.176411086724,9500.856510269214,0.489,-88.37990365391924,4.808712551826959,2.361869999999964,2.4252386325108675,4.787108632510831,0.0,-93.1886162057462,9734.147916530917,SL Hit,-1.0282153229485198,6,False,False,False,False,2020-02-16 23:00:00,2020-02,2020-02-16 17:00:00,NEW_YORK,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1581940800000,2020-02-17 12:00:00+00:00,1581998400000,2020-02-18 04:00:00+00:00,Short,9629.8,9805.911276679668,9801.01077129402,9801.01077129402,9393.595462600762,0.249,-43.851707893237496,2.4197460539466187,1.1927100000002173,1.220225841026151,2.4129358410263686,-2.8382676446604,-43.433186302523715,9690.714730228392,SL Hit,-1.0286226465111328,16,False,False,False,False,2020-02-18 04:00:00,2020-02,2020-02-17 12:00:00,LONDON,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1582149600000,2020-02-19 22:00:00+00:00,1582408800000,2020-02-22 22:00:00+00:00,Short,9615.5,9679.8375,9675.0,9890.316827017283,9221.434329317091,0.151,-9.714962499999945,1.4567979812499998,0.7263099999999231,0.7304624999999451,1.4567724999998681,-1.7873345247366998,-9.384425956513246,9681.33030427188,Time Stop Hit,-0.23411048260139314,72,False,False,False,False,2020-02-22 22:00:00,2020-02,2020-02-19 22:00:00,OFF_HOURS,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1582732800000,2020-02-26 16:00:00+00:00,1582732800000,2020-02-26 16:00:00+00:00,Short,8999.6,8705.899562104632,8701.548787710777,9213.372110308917,8701.548787710777,0.197,57.858986265387486,1.7439917068673065,0.8825599999999141,0.8571025555894977,1.7396625555894119,-0.6857525336160001,56.80074709213618,9738.131051364016,TP Hit,1.3738950205943532,0,False,False,False,False,2020-02-26 16:00:00,2020-02,2020-02-26 16:00:00,NEW_YORK,True,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1583949600000,2020-03-11 18:00:00+00:00,1583953200000,2020-03-11 19:00:00+00:00,Short,7673.1,7846.037397538489,7842.116339368805,7842.116339368805,7440.022666703045,0.504,-87.16044835939834,3.9108226241796995,1.9555199999995967,1.976213317520902,3.9317333175204987,0.0,-91.07127098357805,9647.05978038044,SL Hit,-1.023199284662818,1,False,False,False,False,2020-03-11 19:00:00,2020-03,2020-03-11 18:00:00,NEW_YORK,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1584010800000,2020-03-12 11:00:00+00:00,1584010800000,2020-03-12 11:00:00+00:00,Short,5971.3,6481.779381611409,6478.5401115556315,6478.5401115556315,5261.047470116848,0.165,-84.22909796588246,1.0273790489829413,0.485099999999934,0.5344795592032915,1.0195795592032255,0.0,-85.2564770148654,9561.803303365574,SL Hit,-1.0063860684160864,0,False,False,False,False,2020-03-12 11:00:00,2020-03,2020-03-12 11:00:00,LONDON,True,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1588334400000,2020-05-01 12:00:00+00:00,1588341600000,2020-05-01 14:00:00+00:00,Long,9009.4,8735.780216030893,8740.15029117648,8740.15029117648,9383.856420665621,0.309,-84.54851324645398,2.741630343376773,1.4028599999997078,1.3503532199864385,2.7532132199861463,0.0,-87.29014358983075,9474.513159775743,SL Hit,-1.0162305659110353,2,False,False,False,False,2020-05-01 14:00:00,2020-05,2020-05-01 12:00:00,LONDON,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1595869200000,2020-07-27 17:00:00+00:00,1595883600000,2020-07-27 21:00:00+00:00,Long,10732.1,11101.12468764274,11106.678026656067,10464.000636128536,11106.678026656067,0.153,56.46077720933908,1.6702416886046696,0.8261999999999443,0.8496608690391513,1.6758608690390955,0.0,54.79053552073441,9529.303695296478,TP Hit,1.376447457069169,4,False,False,False,False,2020-07-27 21:00:00,2020-07,2020-07-27 17:00:00,NEW_YORK,False,P35_CONSERVATIVE_QUALITY_PLUS
P35_CONSERVATIVE_QUALITY_PLUS,1599134400000,2020-09-03 12:00:00+00:00,1599134400000,2020-09-03 12:00:00+00:00,Short,11213.4,10952.66140128676,10947.187807383069,11406.746787626242,10947.187807383069,0.431,112.37833604540653,4.7767862319772965,2.4049799999999686,2.359118972490789,4.764098972490757,0.0,107.60154981342923,9636.905245109907,TP Hit,1.3485540769225137,0,False,False,False,False,2020-09-03 12:00:00,2020-09,2020-09-03 12:00:00,LONDON,True,P35_CONSERVATIVE_QUALITY_PLUS
