strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,entry_datetime_parsed,session,same_candle,source_sleeve
STRAT2_P35_COST_ATR_BREAKOUT,1579096800000,2020-01-15 14:00:00+00:00,1579104000000,2020-01-15 16:00:00+00:00,Long,8898.2,8704.05034913719,8708.404551412896,8708.404551412896,9135.705724544276,0.54,-104.84081146591824,4.752607594267042,2.408400000000511,2.3512692288815016,4.759669228882013,0.47348118000000006,-110.06690024018526,9889.933099759815,SL Hit,-1.022941552645864,2,False,False,False,False,2020-01-15 16:00:00,2020-01,2020-01-15 14:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1582149600000,2020-02-19 22:00:00+00:00,1582430400000,2020-02-23 04:00:00+00:00,Short,9615.5,9880.870223302854,9875.932257174269,9875.932257174269,9278.97260868915,0.382,-101.37142530169037,3.723806712650845,1.8374199999998055,1.886303061119732,3.7237230611195375,-5.6160825653163995,-99.47914944902482,9790.453950310788,SL Hit,-1.0189606548058348,78,False,False,False,False,2020-02-23 04:00:00,2020-02,2020-02-19 22:00:00,OFF_HOURS,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1582732800000,2020-02-26 16:00:00+00:00,1582732800000,2020-02-26 16:00:00+00:00,Short,8999.6,8749.949388707593,8745.57660040739,9202.365157134764,8745.57660040739,0.494,123.32740197844912,4.3841386990107765,2.213119999999784,2.1601574203002603,4.373277420300044,-1.719602800032,120.66286607947035,9911.116816390258,TP Hit,1.2312303298070215,0,False,False,False,False,2020-02-26 16:00:00,2020-02,2020-02-26 16:00:00,NEW_YORK,True,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1582894800000,2020-02-28 13:00:00+00:00,1582894800000,2020-02-28 13:00:00+00:00,Short,8525.7,8708.431559055953,8704.079519296305,8704.079519296305,8303.720905363158,0.571,-104.33972022094855,4.9203445601104745,2.455299999999584,2.485014702758777,4.940314702758361,0.0,-109.26006478105903,9801.856751609199,SL Hit,-1.024397642603905,0,False,False,False,False,2020-02-28 13:00:00,2020-02,2020-02-28 13:00:00,NEW_YORK,True,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1583949600000,2020-03-11 18:00:00+00:00,1583953200000,2020-03-11 19:00:00+00:00,Short,7673.1,7837.385898194359,7833.469163612553,7833.469163612553,7474.611369728056,0.63,-103.50011586244567,4.8858030579312235,2.444399999999496,2.4675427865377424,4.911942786537239,0.0,-108.3859189203769,9693.470832688823,SL Hit,-1.0244232400642101,1,False,False,False,False,2020-03-11 19:00:00,2020-03,2020-03-11 18:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1584010800000,2020-03-12 11:00:00+00:00,1584010800000,2020-03-12 11:00:00+00:00,Short,5971.3,6455.583652842388,6452.357474105335,6452.357474105335,5365.778019918033,0.206,-99.76243248553186,1.279969016242766,0.6056399999999176,0.664592819832831,1.2702328198327486,0.0,-101.04240150177463,9592.428431187049,SL Hit,-1.0067064309582812,0,False,False,False,False,2020-03-12 11:00:00,2020-03,2020-03-12 11:00:00,LONDON,True,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1584309600000,2020-03-15 22:00:00+00:00,1584309600000,2020-03-15 22:00:00+00:00,Long,5906.6,5588.1892208524705,5590.9847132090745,5590.9847132090745,6311.344679977043,0.154,-49.0352599887196,0.8850987700056403,0.4512200000000448,0.4305058229170117,0.8817258229170566,0.0,-49.92035875872524,9542.508072428323,SL Hit,-1.0088572780647846,0,False,False,False,False,2020-03-15 22:00:00,2020-03,2020-03-15 22:00:00,OFF_HOURS,True,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1585846800000,2020-04-02 17:00:00+00:00,1585846800000,2020-04-02 17:00:00+00:00,Long,6912.8,7121.287174773711,7124.8495995734975,6744.339455645832,7124.8495995734975,0.289,60.25279350960237,2.0279255967548013,0.9883800000000209,1.029540767138339,2.01792076713836,0.0,58.224867912847564,9600.732940341171,TP Hit,1.2376024046045506,0,False,False,False,False,2020-04-02 17:00:00,2020-04,2020-04-02 17:00:00,NEW_YORK,True,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1586167200000,2020-04-06 10:00:00+00:00,1586199600000,2020-04-06 19:00:00+00:00,Long,7101.4,7283.8335118435725,7287.477250468806,6952.8331698536795,7287.477250468806,0.661,120.58855132860168,4.7543196756643,2.339939999999976,2.408511231279482,4.748451231279458,-0.3997216818294,116.2339533347668,9716.966893675937,TP Hit,1.2279558745643169,9,False,False,False,False,2020-04-06 19:00:00,2020-04,2020-04-06 10:00:00,LONDON,False,STRAT2_P35_COST_ATR_BREAKOUT
STRAT2_P35_COST_ATR_BREAKOUT,1586293200000,2020-04-07 21:00:00+00:00,1586311200000,2020-04-08 02:00:00+00:00,Short,7113.5,7281.123657424001,7277.484914966518,7277.484914966518,6907.59330546038,0.606,-101.57993639894464,4.361570968199473,2.1391799999998455,2.2050779292348217,4.344257929234667,0.120436335162,-106.06194370230611,9610.90494997363,SL Hit,-1.0221894950412125,5,False,False,False,False,2020-04-08 02:00:00,2020-04,2020-04-07 21:00:00,NEW_YORK,False,STRAT2_P35_COST_ATR_BREAKOUT
