sleeve_id,month,net_pnl,trades,winners,losers,status
STRAT2_P35_COST_ATR_BREAKOUT,2020-01,-110.07,1.0,0.0,1.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2020-02,-88.08,3.0,1.0,2.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2020-03,-259.35,3.0,0.0,3.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2020-04,184.89,4.0,3.0,1.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2020-05,-69.24,7.0,3.0,4.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2020-06,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2020-07,8.4,2.0,1.0,1.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2020-08,-105.51,1.0,0.0,1.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2020-09,-100.53,1.0,0.0,1.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2020-10,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2020-11,-137.8,6.0,2.0,4.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2020-12,-243.8,5.0,1.0,4.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2021-01,420.27,13.0,8.0,5.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2021-02,-101.38,11.0,5.0,6.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2021-03,-244.32,4.0,1.0,3.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2021-04,-266.7,7.0,2.0,5.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2021-05,-257.53,9.0,3.0,6.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2021-06,186.57,14.0,8.0,6.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2021-07,107.11,1.0,1.0,0.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2021-08,-76.5,5.0,2.0,3.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2021-09,82.99,5.0,3.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2021-10,334.38,3.0,3.0,0.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2021-11,3.3,3.0,1.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2021-12,-174.96,6.0,2.0,4.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2022-01,141.37,5.0,3.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2022-02,-232.34,6.0,2.0,4.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2022-03,22.9,4.0,2.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2022-04,-148.48,2.0,0.0,2.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2022-05,-222.23,4.0,1.0,3.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2022-06,-131.71,4.0,1.0,3.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2022-07,230.82,6.0,4.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2022-08,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2022-09,-224.28,5.0,1.0,4.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2022-10,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2022-11,74.4,3.0,2.0,1.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2022-12,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2023-01,-93.39,1.0,0.0,1.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2023-02,102.78,1.0,1.0,0.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2023-03,231.44,6.0,4.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2023-04,-96.29,1.0,0.0,1.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2023-05,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2023-06,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2023-07,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2023-08,0.75,1.0,1.0,0.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2023-09,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2023-10,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2023-11,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2023-12,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2024-01,-188.37,2.0,0.0,2.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2024-02,-92.39,1.0,0.0,1.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2024-03,75.77,5.0,3.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2024-04,115.61,3.0,2.0,1.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2024-05,104.67,1.0,1.0,0.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2024-06,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2024-07,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2024-08,-74.66,5.0,2.0,3.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2024-09,105.0,1.0,1.0,0.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2024-10,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2024-11,-284.02,3.0,0.0,3.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2024-12,-137.49,4.0,1.0,3.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2025-01,-181.82,2.0,0.0,2.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2025-02,-37.54,3.0,1.0,2.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2025-03,123.51,5.0,3.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2025-04,10.58,2.0,1.0,1.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2025-05,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2025-06,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2025-07,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2025-08,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2025-09,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2025-10,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2025-11,-176.13,2.0,0.0,2.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2025-12,-44.23,1.0,0.0,1.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2026-01,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2026-02,14.23,4.0,2.0,2.0,positive
STRAT2_P35_COST_ATR_BREAKOUT,2026-03,-88.72,1.0,0.0,1.0,negative
STRAT2_P35_COST_ATR_BREAKOUT,2026-04,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2026-05,0.0,0.0,0.0,0.0,zero
STRAT2_P35_COST_ATR_BREAKOUT,2026-06,-128.92,2.0,0.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2020-01,-110.27,1.0,0.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2020-02,-87.44,3.0,1.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2020-03,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2020-04,-212.05,2.0,0.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2020-05,84.78,4.0,2.0,2.0,positive
STRAT3_P35_PROJECTED_NET_R,2020-06,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2020-07,-108.31,1.0,0.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2020-08,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2020-09,22.87,2.0,1.0,1.0,positive
STRAT3_P35_PROJECTED_NET_R,2020-10,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2020-11,-188.8,4.0,1.0,3.0,negative
STRAT3_P35_PROJECTED_NET_R,2020-12,-172.23,4.0,0.0,4.0,negative
STRAT3_P35_PROJECTED_NET_R,2021-01,72.36,5.0,3.0,2.0,positive
STRAT3_P35_PROJECTED_NET_R,2021-02,38.69,4.0,2.0,2.0,positive
STRAT3_P35_PROJECTED_NET_R,2021-03,-305.2,3.0,0.0,3.0,negative
STRAT3_P35_PROJECTED_NET_R,2021-04,16.75,2.0,1.0,1.0,positive
STRAT3_P35_PROJECTED_NET_R,2021-05,110.46,10.0,5.0,5.0,positive
STRAT3_P35_PROJECTED_NET_R,2021-06,84.52,3.0,2.0,1.0,positive
STRAT3_P35_PROJECTED_NET_R,2021-07,-95.78,1.0,0.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2021-08,38.15,4.0,2.0,2.0,positive
STRAT3_P35_PROJECTED_NET_R,2021-09,246.23,2.0,2.0,0.0,positive
STRAT3_P35_PROJECTED_NET_R,2021-10,-75.87,3.0,1.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2021-11,11.55,3.0,1.0,2.0,positive
STRAT3_P35_PROJECTED_NET_R,2021-12,-102.12,1.0,0.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2022-01,-36.25,2.0,1.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2022-02,-295.67,3.0,0.0,3.0,negative
STRAT3_P35_PROJECTED_NET_R,2022-03,-183.03,4.0,1.0,3.0,negative
STRAT3_P35_PROJECTED_NET_R,2022-04,-97.14,1.0,0.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2022-05,-258.62,5.0,1.0,4.0,negative
STRAT3_P35_PROJECTED_NET_R,2022-06,12.88,2.0,1.0,1.0,positive
STRAT3_P35_PROJECTED_NET_R,2022-07,54.87,6.0,3.0,3.0,positive
STRAT3_P35_PROJECTED_NET_R,2022-08,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2022-09,-162.11,4.0,1.0,3.0,negative
STRAT3_P35_PROJECTED_NET_R,2022-10,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2022-11,-71.83,3.0,1.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2022-12,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-01,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-02,106.88,1.0,1.0,0.0,positive
STRAT3_P35_PROJECTED_NET_R,2023-03,-178.27,2.0,0.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2023-04,-89.33,1.0,0.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2023-05,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-06,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-07,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-08,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-09,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-10,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-11,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2023-12,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2024-01,8.28,2.0,1.0,1.0,positive
STRAT3_P35_PROJECTED_NET_R,2024-02,-81.52,1.0,0.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2024-03,-59.67,5.0,2.0,3.0,negative
STRAT3_P35_PROJECTED_NET_R,2024-04,-34.57,2.0,1.0,1.0,negative
STRAT3_P35_PROJECTED_NET_R,2024-05,103.32,1.0,1.0,0.0,positive
STRAT3_P35_PROJECTED_NET_R,2024-06,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2024-07,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2024-08,124.24,3.0,2.0,1.0,positive
STRAT3_P35_PROJECTED_NET_R,2024-09,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2024-10,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2024-11,-176.39,2.0,0.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2024-12,-38.59,3.0,1.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2025-01,-171.69,2.0,0.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2025-02,-75.1,3.0,1.0,2.0,negative
STRAT3_P35_PROJECTED_NET_R,2025-03,136.61,5.0,3.0,2.0,positive
STRAT3_P35_PROJECTED_NET_R,2025-04,17.83,2.0,1.0,1.0,positive
STRAT3_P35_PROJECTED_NET_R,2025-05,0.0,0.0,0.0,0.0,zero
STRAT3_P35_PROJECTED_NET_R,2025-06,0.0,0.0,0.0,0.0,zero
