system,scenario,net_pnl,max_drawdown_pct,trades,profit_factor,verdict
STRAT2_P35_COST_ATR_BREAKOUT,normal,-2137.0,20.6648,210,0.8018,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,double fees,-2538.41,24.6171,209,0.7617,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,triple fees,-3068.82,29.883,209,0.7119,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,double slippage,-2538.38,24.6171,209,0.7617,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,triple slippage,-3068.67,29.8816,209,0.712,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,double fees + double slippage,-3068.79,29.883,209,0.7119,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,delay 1 candle,-2627.53,25.788,219,0.7243,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,delay 2 candles,-1505.24,18.0095,229,0.8394,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,missed fills 10%,-2211.83,22.2428,195,0.7794,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,missed fills 20%,-2678.01,26.1235,178,0.7048,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,missed fills 30%,-2585.1,25.1861,161,0.6942,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,stale cancel,-2137.0,20.6648,210,0.8018,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,partial fill,-1499.18,14.3086,219,0.8527,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,high funding,-2457.65,23.7298,186,0.7361,FAIL
STRAT2_P35_COST_ATR_BREAKOUT,combined adverse,-3595.7,35.413,198,0.5911,FAIL
STRAT3_P35_PROJECTED_NET_R,normal,-2377.14,23.1244,131,0.6637,FAIL
STRAT3_P35_PROJECTED_NET_R,double fees,-2667.32,25.9104,130,0.6262,FAIL
STRAT3_P35_PROJECTED_NET_R,triple fees,-2995.92,29.129,130,0.5862,FAIL
STRAT3_P35_PROJECTED_NET_R,double slippage,-2667.39,25.9114,130,0.6262,FAIL
STRAT3_P35_PROJECTED_NET_R,triple slippage,-2995.88,29.1286,130,0.5862,FAIL
STRAT3_P35_PROJECTED_NET_R,double fees + double slippage,-2995.98,29.13,130,0.5862,FAIL
STRAT3_P35_PROJECTED_NET_R,delay 1 candle,-2194.68,21.2264,132,0.6435,FAIL
STRAT3_P35_PROJECTED_NET_R,delay 2 candles,-2384.37,23.5338,133,0.5736,FAIL
STRAT3_P35_PROJECTED_NET_R,missed fills 10%,-2239.94,23.4292,119,0.6522,FAIL
STRAT3_P35_PROJECTED_NET_R,missed fills 20%,-2810.77,27.4639,107,0.524,FAIL
STRAT3_P35_PROJECTED_NET_R,missed fills 30%,-3124.45,30.6288,101,0.4565,FAIL
STRAT3_P35_PROJECTED_NET_R,stale cancel,-2377.14,23.1244,131,0.6637,FAIL
STRAT3_P35_PROJECTED_NET_R,partial fill,-2073.64,20.2259,130,0.6833,FAIL
STRAT3_P35_PROJECTED_NET_R,high funding,-2344.15,22.669,110,0.6117,FAIL
STRAT3_P35_PROJECTED_NET_R,combined adverse,-3017.74,29.4637,123,0.5158,FAIL
STRAT4_P35_SESSION_EXPANSION,normal,-2001.11,25.5275,488,0.9126,FAIL
STRAT4_P35_SESSION_EXPANSION,double fees,-3370.57,36.2844,473,0.8414,FAIL
STRAT4_P35_SESSION_EXPANSION,triple fees,-4649.14,48.1764,460,0.7591,FAIL
STRAT4_P35_SESSION_EXPANSION,double slippage,-3370.67,36.2853,473,0.8414,FAIL
STRAT4_P35_SESSION_EXPANSION,triple slippage,-4645.78,48.1423,460,0.7593,FAIL
STRAT4_P35_SESSION_EXPANSION,double fees + double slippage,-4649.21,48.1772,460,0.7591,FAIL
STRAT4_P35_SESSION_EXPANSION,delay 1 candle,-2185.25,27.3541,522,0.8973,FAIL
STRAT4_P35_SESSION_EXPANSION,delay 2 candles,-3084.7,35.7858,540,0.8463,FAIL
