system,group,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,live_known,trade_log_path,trade_log_hash,params
ablate_remove_low_activity_filler_long,ablation,11682.54,53212.55,41530.01,1.2813,14.9634,536,0.5466,293,243,181.61,-170.91,21.8,50,27,0,1157.95,-668.84,7,8,-46675.75,444.9631,YES,,,"{""disallowed_sources"": [""Low-Activity Filler Long""]}"
ablate_remove_all_low_activity_filler,ablation,11140.65,50151.35,39010.7,1.2856,13.0041,525,0.5467,287,238,174.74,-163.91,21.22,49,27,0,1153.19,-638.63,7,8,-44655.69,425.9629,YES,,,"{""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""]}"
ablate_remove_off_hours,ablation,8932.88,39185.6,30252.72,1.2953,11.0883,431,0.5452,235,196,166.75,-154.35,20.73,47,28,0,883.71,-542.27,7,8,-37268.93,346.4269,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""]}"
ablate_off_hours_stricter_expected_R,ablation,9029.42,39632.32,30602.9,1.2951,13.5344,444,0.536,238,206,166.52,-148.56,20.34,48,29,0,883.71,-647.65,7,8,-40447.43,375.1508,YES,,,"{""off_hours_min_expected_R"": 1.45}"
ablate_same_candle_risk_hardened,ablation,11189.15,55275.53,44086.38,1.2538,16.1684,555,0.5405,300,255,184.25,-172.89,20.16,52,25,0,1186.0,-717.64,7,8,-47304.12,431.5324,YES,,,"{""min_stop_atr"": 0.7}"
ablate_cost_to_risk_cap_010,ablation,5204.19,27788.34,22584.15,1.2304,13.8241,358,0.5335,191,167,145.49,-135.23,14.54,36,28,0,899.12,-485.4,7,8,-30992.43,290.2429,YES,,,"{""max_cost_to_risk"": 0.1}"
ablate_projected_net_R_min_090,ablation,12883.49,55932.66,43049.16,1.2993,13.3756,524,0.542,284,240,196.95,-179.37,24.59,53,24,0,1134.26,-775.43,8,7,-46709.11,429.7312,YES,,,"{""min_projected_net_R"": 0.9}"
ablate_keep_only_bb_expansion,ablation,3536.37,23967.31,20430.94,1.1731,9.5786,335,0.5104,171,164,140.16,-124.58,10.56,40,29,0,771.13,-430.02,7,8,-29993.81,286.4036,YES,,,"{""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""]}"
ablate_keep_bb_plus_atr,ablation,7936.01,36536.78,28600.77,1.2775,8.231,435,0.5218,227,208,160.95,-137.5,18.24,50,26,0,779.32,-541.14,7,8,-36285.11,357.109,YES,,,"{""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short""]}"
ablate_funding_reversal_isolated,ablation,-795.28,4920.37,5715.64,0.8609,12.3591,118,0.5169,61,57,80.66,-100.27,-6.74,13,16,0,429.44,-307.63,0,15,-11284.47,113.0027,YES,,,"{""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""]}"
ablate_bb_expansion_long_isolated,ablation,2070.37,12069.55,9999.18,1.2071,6.902,169,0.5266,89,80,135.61,-124.99,12.25,37,25,0,778.7,-409.08,7,8,-14032.07,139.73,YES,,,"{""allowed_sources"": [""BB Expansion Long""]}"
ablate_bb_expansion_short_isolated,ablation,510.09,9874.31,9364.21,1.0545,14.221,180,0.4722,85,95,116.17,-98.57,2.83,31,26,0,353.75,-308.58,5,10,-16770.64,164.614,YES,,,"{""allowed_sources"": [""BB Expansion Short""]}"
ablate_atr_expansion_isolated,ablation,1943.75,8192.85,6249.1,1.311,7.8112,116,0.5086,59,57,138.86,-109.63,16.76,36,21,0,469.61,-385.83,6,9,-13535.67,135.8461,YES,,,"{""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""]}"
ablate_new_york_only,ablation,5200.22,28907.88,23707.66,1.2193,14.8922,370,0.5216,193,177,149.78,-133.94,14.05,45,30,0,661.9,-452.8,6,9,-34194.64,327.2829,YES,,,"{""allowed_sessions"": [""NEW_YORK""]}"
ablate_london_new_york_only,ablation,8932.88,39185.6,30252.72,1.2953,11.0883,431,0.5452,235,196,166.75,-154.35,20.73,47,28,0,883.71,-542.27,7,8,-37268.93,346.4269,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""]}"
ablate_volatility_regime_exclude_toxic,ablation,9734.59,49857.19,40122.6,1.2426,15.1391,520,0.5365,279,241,178.7,-166.48,18.72,51,25,0,905.28,-685.73,7,8,-45709.45,424.6268,YES,,,"{""min_adx"": 15, ""min_bb_width"": 0.025}"
