candidate_id,candidate_hash,family,params,registered_status,execution_status,behavior_cluster
P36_CAND_0000,d194741b2ca55d94,strategy1_guarded_expansion,"{""allowed_sessions"": null, ""allowed_sources"": null, ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,39aa13fcd3636e72
P36_CAND_0001,46d3a4d989189132,strategy1_guarded_expansion,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,26e91d31f06b09a6
P36_CAND_0002,d8b56dc2553a2f15,strategy1_guarded_expansion,"{""allowed_sessions"": null, ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,02583b2e1b1ce0df
P36_CAND_0003,e81dc63360dff135,strategy1_guarded_expansion,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,b97f73805bb47493
P36_CAND_0004,bb27b9fa97bf3eea,strategy1_guarded_expansion,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,278976eb9de1bdf4
P36_CAND_0005,9ae22a94213d847a,strategy1_guarded_expansion,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,3835631aca67c44b
P36_CAND_0006,1c43969f5c66a027,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": null, ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,c5e634a5cafbfeb9
P36_CAND_0007,abbdace36f797aa8,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,28fcd53c03d42fb6
P36_CAND_0008,0fc4a3e891d3e6d8,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,9e51e2ff29692675
P36_CAND_0009,ba8775fb8398f6c1,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,e9d032e396263ae7
P36_CAND_0010,967b58369780ade4,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""BB Expansion Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.1, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,b02980dcfecf1faa
