system,group,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,live_known,trade_log_path,trade_log_hash,params,candidate_id,candidate_hash,family,execution_status,behavior_cluster,selection_status,registered_status
P36_CAND_0000,candidate_expansion,11189.15,55275.53,44086.38,1.2538,16.1684,555,0.5405,300,255,184.25,-172.89,20.16,52,25,0,1186.0,-717.64,7,8,-47304.12,431.5324,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": null, ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0000,d194741b2ca55d94,strategy1_guarded_expansion,ENGINE_EXECUTED,39aa13fcd3636e72,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0001,candidate_expansion,3536.37,23967.31,20430.94,1.1731,9.5786,335,0.5104,171,164,140.16,-124.58,10.56,40,29,0,771.13,-430.02,7,8,-29993.81,286.4036,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0001,46d3a4d989189132,strategy1_guarded_expansion,ENGINE_EXECUTED,26e91d31f06b09a6,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0002,candidate_expansion,1943.75,8192.85,6249.1,1.311,7.8112,116,0.5086,59,57,138.86,-109.63,16.76,36,21,0,469.61,-385.83,6,9,-13535.67,135.8461,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0002,d8b56dc2553a2f15,strategy1_guarded_expansion,ENGINE_EXECUTED,02583b2e1b1ce0df,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0003,candidate_expansion,1807.61,7010.23,5202.63,1.3474,5.1348,112,0.6071,68,44,103.09,-118.24,16.14,17,11,0,527.58,-323.09,6,9,-8867.66,89.1498,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0003,e81dc63360dff135,strategy1_guarded_expansion,ENGINE_EXECUTED,b97f73805bb47493,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0004,candidate_expansion,677.69,6585.36,5907.67,1.1147,6.6253,106,0.5094,54,52,121.95,-113.61,6.39,26,24,0,478.03,-356.09,3,12,-10464.71,104.6346,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 0.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0004,bb27b9fa97bf3eea,strategy1_guarded_expansion,ENGINE_EXECUTED,278976eb9de1bdf4,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0005,candidate_expansion,658.39,5951.44,5293.05,1.1244,7.5543,100,0.48,48,52,123.99,-101.79,6.58,28,21,0,263.81,-218.5,5,10,-9568.07,95.7279,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0005,9ae22a94213d847a,strategy1_guarded_expansion,ENGINE_EXECUTED,3835631aca67c44b,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0006,candidate_expansion,8755.37,38746.16,29990.8,1.2919,11.0899,430,0.5442,234,196,165.58,-153.01,20.36,47,28,0,883.71,-537.26,7,8,-35381.73,329.3725,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": null, ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0006,1c43969f5c66a027,strategy1_guarded_expansion,ENGINE_EXECUTED,c5e634a5cafbfeb9,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0007,candidate_expansion,2697.11,16436.41,13739.3,1.1963,8.5481,247,0.5142,127,120,129.42,-114.49,10.92,37,28,0,657.4,-332.02,7,8,-21547.25,211.8529,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0007,abbdace36f797aa8,strategy1_guarded_expansion,ENGINE_EXECUTED,28fcd53c03d42fb6,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0008,candidate_expansion,1721.55,6681.36,4959.81,1.3471,7.7917,92,0.5217,48,44,139.19,-112.72,18.71,33,17,0,479.18,-380.15,7,8,-11385.84,114.0502,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0008,0fc4a3e891d3e6d8,strategy1_guarded_expansion,ENGINE_EXECUTED,9e51e2ff29692675,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0009,candidate_expansion,26.69,3846.96,3820.28,1.007,7.5161,80,0.55,44,36,87.43,-106.12,0.33,14,13,0,211.52,-285.42,4,11,-6997.31,70.2234,YES,,,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.0, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0009,ba8775fb8398f6c1,strategy1_guarded_expansion,ENGINE_EXECUTED,e9d032e396263ae7,RESEARCH_ONLY_NOT_SELECTED,
