month,net_pnl,trades,winners,losers,status,system
2020-01,155.57,11,6,5,positive,Strategy #1 baseline
2020-02,-258.88,4,1,3,negative,Strategy #1 baseline
2020-03,929.98,12,10,2,positive,Strategy #1 baseline
2020-04,769.03,10,8,2,positive,Strategy #1 baseline
2020-05,-126.85,6,2,4,negative,Strategy #1 baseline
2020-06,-308.53,3,0,3,negative,Strategy #1 baseline
2020-07,39.89,6,3,3,positive,Strategy #1 baseline
2020-08,-243.3,2,0,2,negative,Strategy #1 baseline
2020-09,110.23,4,3,1,positive,Strategy #1 baseline
2020-10,39.96,4,2,2,positive,Strategy #1 baseline
2020-11,145.97,11,6,5,positive,Strategy #1 baseline
2020-12,-339.74,7,2,5,negative,Strategy #1 baseline
2021-01,812.48,37,22,15,positive,Strategy #1 baseline
2021-02,-239.86,2,0,2,negative,Strategy #1 baseline
2021-03,799.18,27,17,10,positive,Strategy #1 baseline
2021-04,1189.68,13,11,2,positive,Strategy #1 baseline
2021-05,608.93,25,14,11,positive,Strategy #1 baseline
2021-06,-380.51,8,3,5,negative,Strategy #1 baseline
2021-07,648.88,5,4,1,positive,Strategy #1 baseline
2021-08,-108.41,10,5,5,negative,Strategy #1 baseline
2021-09,185.52,9,5,4,positive,Strategy #1 baseline
2021-10,677.97,14,9,5,positive,Strategy #1 baseline
2021-11,694.49,15,10,5,positive,Strategy #1 baseline
2021-12,-138.06,9,4,5,negative,Strategy #1 baseline
2022-01,511.12,6,4,2,positive,Strategy #1 baseline
2022-02,334.84,11,6,5,positive,Strategy #1 baseline
2022-03,76.31,6,3,3,positive,Strategy #1 baseline
2022-04,-543.74,3,0,3,negative,Strategy #1 baseline
2022-05,644.58,7,5,2,positive,Strategy #1 baseline
2022-06,287.05,13,7,6,positive,Strategy #1 baseline
2022-07,168.58,8,4,4,positive,Strategy #1 baseline
2022-08,236.24,5,3,2,positive,Strategy #1 baseline
2022-09,161.11,8,4,4,positive,Strategy #1 baseline
2022-10,324.17,3,2,1,positive,Strategy #1 baseline
2022-11,325.45,5,3,2,positive,Strategy #1 baseline
2022-12,567.16,2,2,0,positive,Strategy #1 baseline
2023-01,139.31,6,3,3,positive,Strategy #1 baseline
2023-02,91.84,4,2,2,positive,Strategy #1 baseline
2023-03,329.89,11,6,5,positive,Strategy #1 baseline
2023-04,355.19,5,3,2,positive,Strategy #1 baseline
2023-05,594.41,2,2,0,positive,Strategy #1 baseline
2023-06,89.75,6,3,3,positive,Strategy #1 baseline
2023-08,934.11,5,4,1,positive,Strategy #1 baseline
2023-09,288.58,1,1,0,positive,Strategy #1 baseline
2023-10,44.67,2,1,1,positive,Strategy #1 baseline
2023-11,-188.59,3,1,2,negative,Strategy #1 baseline
2023-12,-175.38,8,4,4,negative,Strategy #1 baseline
2024-01,-653.06,6,1,5,negative,Strategy #1 baseline
2024-02,-251.43,11,5,6,negative,Strategy #1 baseline
2024-03,-612.37,19,9,10,negative,Strategy #1 baseline
2024-04,277.57,6,4,2,positive,Strategy #1 baseline
2024-05,61.33,4,2,2,positive,Strategy #1 baseline
2024-06,-416.2,4,1,3,negative,Strategy #1 baseline
2024-07,-534.39,3,0,3,negative,Strategy #1 baseline
2024-08,236.98,7,4,3,positive,Strategy #1 baseline
2024-09,-648.08,3,0,3,negative,Strategy #1 baseline
2024-10,-543.18,3,0,3,negative,Strategy #1 baseline
2024-11,752.8,9,6,3,positive,Strategy #1 baseline
2024-12,413.1,7,4,3,positive,Strategy #1 baseline
2025-01,214.72,8,4,4,positive,Strategy #1 baseline
2025-02,158.66,6,3,3,positive,Strategy #1 baseline
2025-03,540.57,9,5,4,positive,Strategy #1 baseline
2025-04,128.02,6,3,3,positive,Strategy #1 baseline
2025-05,-678.18,3,0,3,negative,Strategy #1 baseline
2025-06,152.81,2,1,1,positive,Strategy #1 baseline
2025-07,725.4,4,3,1,positive,Strategy #1 baseline
2025-08,606.16,2,2,0,positive,Strategy #1 baseline
2025-09,-675.46,4,1,3,negative,Strategy #1 baseline
2025-10,-225.63,3,1,2,negative,Strategy #1 baseline
2025-11,-188.1,3,1,2,negative,Strategy #1 baseline
2025-12,-502.99,7,2,5,negative,Strategy #1 baseline
2026-01,264.33,7,4,3,positive,Strategy #1 baseline
2026-02,716.11,10,6,4,positive,Strategy #1 baseline
2026-03,663.56,6,4,2,positive,Strategy #1 baseline
2026-04,-718.58,3,0,3,negative,Strategy #1 baseline
2026-05,607.32,4,3,1,positive,Strategy #1 baseline
2026-06,73.17,4,2,2,positive,Strategy #1 baseline
