strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
strategy1_1_candidate_cost_session:BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.567,134.08113307943802,4.83263323346028,2.466450000000206,2.3816055306949018,4.848055530695108,-11.598162458299198,140.84666230427692,10140.846662304275,TP Hit,1.3081664835983273,95,False,False,False,False,2020-01-23 12:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_cost_session:BB Expansion Short,1.331402687386683,21.278851222454584,0.11771358419656636,1.1237949551176065
strategy1_1_candidate_cost_session:Funding Reversal Short,1580202000000,2020-01-28 09:00:00+00:00,1580220000000,2020-01-28 14:00:00+00:00,Short,9000.2,9161.48001629687,9156.901565514114,9156.901565514114,8852.638434485887,0.667,-107.57377087001149,6.056920285435007,3.0348499999995147,3.0538266720980394,6.088676672097554,0.0,-113.63069115544648,10027.21597114883,SL Hit,-1.029217645450666,5,False,False,False,False,2020-01-28 14:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_cost_session:Funding Reversal Short,0.9416725674053573,12.145596957532561,0.07750782142912724,0.8254689370768308
strategy1_1_candidate_cost_session:Funding Reversal Short,1580245200000,2020-01-28 21:00:00+00:00,1580252400000,2020-01-28 23:00:00+00:00,Short,9066.5,9243.190703724276,9238.57141801527,9238.57141801527,8903.42858198473,0.598,-105.66104082711723,5.474597520413559,2.691,2.7623328539858045,5.453332853985804,0.0,-111.13563834753079,9916.080332801299,SL Hit,-1.0268451655846553,2,False,False,False,False,2020-01-28 23:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_cost_session:Funding Reversal Short,0.9476961362682481,10.927930374399363,0.06350810901918409,0.8414952850655991
strategy1_1_candidate_cost_session:Funding Reversal Short,1580288400000,2020-01-29 09:00:00+00:00,1580342400000,2020-01-30 00:00:00+00:00,Short,9390.3,9233.949198486407,9229.334531220797,9560.665468779203,9229.334531220797,0.599,93.6541301066417,5.577962634946678,2.815300000000436,2.764185692100676,5.5794856921011124,-7.3388371554692995,95.41500462716431,10011.495337428463,TP Hit,0.917737629778866,15,False,False,False,False,2020-01-30 00:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_cost_session:Funding Reversal Short,0.9448244995458324,18.496285482517088,0.10856827745115719,0.7635752884420641
strategy1_1_candidate_cost_session:Funding Reversal Short,1580407200000,2020-01-30 18:00:00+00:00,1580464800000,2020-01-31 10:00:00+00:00,Short,9471.0,9302.79811419686,9298.14903967702,9653.35096032298,9298.14903967702,0.564,94.8658635929713,5.294211068203514,2.679,2.6220780291891423,5.301078029189142,-6.958987617397199,96.53064014216498,10108.025977570629,TP Hit,0.922407458152246,16,False,False,False,False,2020-01-31 10:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_cost_session:Funding Reversal Short,0.9479026598863334,17.554276714789854,0.09626643415366591,0.7772174929472094
strategy1_1_candidate_cost_session:Funding Reversal Short,1580997600000,2020-02-06 14:00:00+00:00,1581195600000,2020-02-08 21:00:00+00:00,Short,9748.7,9924.68398619703,9919.724124134962,9919.724124134962,9585.075875865037,0.604,-106.29432766300525,5.941361963831503,2.929399999999121,2.9957566854886246,5.925156685487746,-19.717720384398,-92.51796924243877,10015.508008328188,SL Hit,-1.0290009499370583,55,False,False,False,False,2020-02-08 21:00:00,2020-02,2020,NEW_YORK,False,strategy1_1_candidate_cost_session:Funding Reversal Short,0.9567312504161214,31.58423903371725,0.18467709858752432,0.650974464675187
strategy1_1_candidate_cost_session:Funding Reversal Short,1581440400000,2020-02-11 17:00:00+00:00,1581490800000,2020-02-12 07:00:00+00:00,Short,10263.3,10458.453453792588,10453.226840372403,10453.226840372403,10083.813159627598,0.542,-105.77317195558328,5.615595185977791,2.807560000000158,2.832824473740519,5.640384473740677,-16.63518324,-94.75358390156107,9920.754424426628,SL Hit,-1.0275190879284741,14,False,False,False,False,2020-02-12 07:00:00,2020-02,2020,NEW_YORK,False,strategy1_1_candidate_cost_session:Funding Reversal Short,0.9450314659079683,27.891162899718466,0.14685213972406533,0.6740865586679954
strategy1_1_candidate_cost_session:ATR Expansion Short,1581588000000,2020-02-13 10:00:00+00:00,1581598800000,2020-02-13 13:00:00+00:00,Short,10171.0,10365.345996144815,10360.165913188222,10360.165913188222,9899.951130217665,0.539,-104.75249192205541,5.534545245961029,2.748900000000196,2.7920647136034877,5.5409647136036835,0.0,-110.28703716801644,9810.467387258612,SL Hit,-1.027383807522651,3,False,False,False,False,2020-02-13 13:00:00,2020-02,2020,LONDON,False,strategy1_1_candidate_cost_session:ATR Expansion Short,1.4328631687075555,11.075509959564712,0.05854918453804328,1.3242375944254714
strategy1_1_candidate_cost_session:BB Expansion Short,1583686800000,2020-03-08 17:00:00+00:00,1583708400000,2020-03-08 23:00:00+00:00,Short,8282.2,8059.64991712362,8055.622106070585,8451.87208362918,8055.622106070585,0.591,131.52709897994097,4.82901665051003,2.476289999999226,2.380436332343858,4.856726332343085,0.0,126.69808232943093,9937.165469588042,TP Hit,1.311648198785415,6,False,False,False,False,2020-03-08 23:00:00,2020-03,2020,NEW_YORK,False,strategy1_1_candidate_cost_session:BB Expansion Short,1.3353869952148743,9.685742982853114,0.057085071248499944,1.2387963501243497
strategy1_1_candidate_cost_session:BB Expansion Short,1584003600000,2020-03-12 09:00:00+00:00,1584007200000,2020-03-12 10:00:00+00:00,Short,7379.2,7087.874364285765,7084.332198186672,7598.144017305597,7084.332198186672,0.462,134.59244369997634,3.341894178150012,1.6863000000002522,1.6364807377810886,3.3227807377813408,0.0,131.25054952182634,10068.416019109867,TP Hit,1.3305941824736343,1,False,False,False,False,2020-03-12 10:00:00,2020-03,2020,LONDON,False,strategy1_1_candidate_cost_session:BB Expansion Short,1.3467725925653302,6.664674915931353,0.030440086913308732,1.2808849585538395
