strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
strategy1_1_candidate_projected_R:Low-Activity Filler Long,1578646800000,2020-01-10 09:00:00+00:00,1578664800000,2020-01-10 14:00:00+00:00,Long,7709.7,7947.399518116238,7951.375205719097,7565.549882446231,7951.375205719097,0.713,169.4797564168779,5.581755978208438,2.745049999999611,2.8346652608382317,5.579715260837842,0.0,163.89800043866947,10163.89800043867,TP Hit,1.64897207265596,5,False,False,False,False,2020-01-10 14:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_projected_R:Low-Activity Filler Long,1.6765522624631293,11.16147123904628,0.07742949800150524,1.5679554910725189
strategy1_1_candidate_projected_R:Funding Reversal Short,1579424400000,2020-01-19 09:00:00+00:00,1579431600000,2020-01-19 11:00:00+00:00,Short,9108.7,8995.132147037159,8990.636828622848,9238.243171377153,8990.636828622848,0.821,93.2392072824934,7.431623096358754,3.7437599999995816,3.6906564181489463,7.434416418148528,0.0,85.80758418613463,10249.705584624806,TP Hit,0.876679579135827,2,False,False,False,False,2020-01-19 11:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_projected_R:Funding Reversal Short,0.9113808942767299,14.866039514507282,0.1147574152807041,0.7716032873574801
strategy1_1_candidate_projected_R:BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.581,137.3917783406587,4.95195751082967,2.527350000000211,2.440410605526875,4.967760605527086,-11.8845368399856,144.32435766981462,10394.02994229462,TP Hit,1.3081664835983273,95,False,False,False,False,2020-01-23 12:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_projected_R:BB Expansion Short,1.331402687386683,21.804254956342355,0.12062009244833344,1.1237949551176065
strategy1_1_candidate_projected_R:Funding Reversal Short,1579881600000,2020-01-24 16:00:00+00:00,1579910400000,2020-01-25 00:00:00+00:00,Short,8505.0,8379.074021095446,8374.886577806543,8643.533422193455,8374.886577806543,0.774,97.46670767212451,6.534136646163938,3.258539999999324,3.241081105611327,6.499621105610651,-3.4278150541896,94.36038608015018,10488.39032837477,TP Hit,0.9089934898793154,8,False,False,False,False,2020-01-25 00:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_projected_R:Funding Reversal Short,0.9392204432209859,16.461572805964188,0.11882744644087674,0.785696610610034
strategy1_1_candidate_projected_R:Funding Reversal Short,1580202000000,2020-01-28 09:00:00+00:00,1580220000000,2020-01-28 14:00:00+00:00,Short,9000.2,9161.48001629687,9156.901565514114,9156.901565514114,8852.638434485887,0.689,-111.12193122854258,6.256698765614272,3.1349499999994985,3.154552589318664,6.289502589318163,0.0,-117.37862999415685,10371.011698380613,SL Hit,-1.029217645450666,5,False,False,False,False,2020-01-28 14:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_projected_R:Funding Reversal Short,0.9416725674053573,12.546201354932435,0.08006430129635482,0.8254689370768307
strategy1_1_candidate_projected_R:Funding Reversal Short,1580245200000,2020-01-28 21:00:00+00:00,1580252400000,2020-01-28 23:00:00+00:00,Short,9066.5,9243.190703724276,9238.57141801527,9238.57141801527,8903.42858198473,0.619,-109.37154560532704,5.666849272802663,2.7855,2.8593378538749383,5.644837853874938,0.0,-115.03839487812971,10255.973303502482,SL Hit,-1.0268451655846553,2,False,False,False,False,2020-01-28 23:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_projected_R:Funding Reversal Short,0.9476961362682481,11.311687126677601,0.06573832689443973,0.8414952850655991
strategy1_1_candidate_projected_R:Funding Reversal Short,1580288400000,2020-01-29 09:00:00+00:00,1580342400000,2020-01-30 00:00:00+00:00,Short,9390.3,9233.949198486407,9229.334531220797,9560.665468779203,9229.334531220797,0.619,96.78114613691355,5.764205126931543,2.9093000000004503,2.856479037412886,5.765779037413337,-7.5838734544833,98.6008144644653,10354.574117966946,TP Hit,0.9177376297788661,15,False,False,False,False,2020-01-30 00:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_projected_R:Funding Reversal Short,0.9448244995458324,19.11385761882818,0.11219326167323258,0.763575288442064
strategy1_1_candidate_projected_R:Funding Reversal Short,1580407200000,2020-01-30 18:00:00+00:00,1580464800000,2020-01-31 10:00:00+00:00,Short,9471.0,9302.79811419686,9298.14903967702,9653.35096032298,9298.14903967702,0.583,98.06169942323098,5.472562150288384,2.76925,2.7104104450660813,5.479660445066081,-7.193421597415899,99.78255887035849,10454.356676837304,TP Hit,0.9224074581522461,16,False,False,False,False,2020-01-31 10:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_projected_R:Funding Reversal Short,0.9479026598863334,18.145644192770362,0.09950945232550927,0.7772174929472094
strategy1_1_candidate_projected_R:BB Expansion Long,1580929200000,2020-02-05 19:00:00+00:00,1580947200000,2020-02-06 00:00:00+00:00,Long,9700.8,9559.46513313769,9564.247256766072,9564.247256766072,9842.391936926586,0.793,-112.07854942181132,7.636695125289094,3.806399999999423,3.7922240373066636,7.598624037306086,12.5256112839,-132.2408558310004,10322.115821006304,SL Hit,-1.0350203409695653,5,False,False,False,False,2020-02-06 00:00:00,2020-02,2020,NEW_YORK,False,strategy1_1_candidate_projected_R:BB Expansion Long,1.0369029107238537,27.76093044649518,0.2032982259385159,0.7805369259337958
strategy1_1_candidate_projected_R:Funding Reversal Short,1580979600000,2020-02-06 09:00:00+00:00,1580990400000,2020-02-06 12:00:00+00:00,Short,9647.6,9799.8684597009,9794.970974213793,9794.970974213793,9509.809025786206,0.724,-110.24236482345106,7.039983582411725,3.460719999999157,3.545779492665235,7.006499492664392,0.0,-117.28234840586278,10204.833472600441,SL Hit,-1.033232361482539,3,False,False,False,False,2020-02-06 12:00:00,2020-02,2020,LONDON,False,strategy1_1_candidate_projected_R:Funding Reversal Short,0.9349939833735488,14.046483075076118,0.0953137695534179,0.8033451303992146
