group,bucket,trades,net_pnl,winners,losers,avg_R,avg_hold,avg_cost_to_risk,avg_projected_net_R
source_sleeve,ATR Expansion Long,47,1196.0,23,24,0.17352860974145926,37.5531914893617,0.01862687032612353,1.341847402768769
source_sleeve,ATR Expansion Short,56,1583.78,28,28,0.1968811081574042,34.19642857142857,0.024366863934848073,1.3286940428293907
source_sleeve,BB Expansion Long,149,4900.85,88,61,0.30546516191773243,13.610738255033556,0.02910235640569061,1.1451270399124152
source_sleeve,BB Expansion Short,159,1748.35,80,79,0.11555578837223617,12.842767295597485,0.017329500363474425,1.1762901419147256
source_sleeve,Funding Reversal Long,6,724.93,6,0,0.9671635027753912,14.333333333333334,0.028935120356600567,0.9224707729502223
source_sleeve,Funding Reversal Short,110,927.92,63,47,0.09442285456766655,11.054545454545455,0.0320186088069258,0.8219706176391961
source_sleeve,Low-Activity Filler Long,16,-812.15,5,11,-0.2094279038975656,9.6875,0.040468380138354465,1.4816818881282001
source_sleeve,Low-Activity Filler Short,14,935.51,8,6,0.449483498102001,30.928571428571427,0.18518268880588454,1.42797071640377
session,LONDON,90,287.53,48,42,0.11830654212456955,9.88888888888889,0.027424450997981874,1.0480057389272537
session,NEW_YORK,264,9755.21,151,113,0.27883743182769893,19.28409090909091,0.033134185211406285,1.1733922301624844
session,OFF_HOURS,203,1162.46,102,101,0.08837247747797913,18.02463054187192,0.02488538363885469,1.1363634649819576
exit_reason,SL Hit,256,-44435.66,0,256,-1.0231452394730514,15.96484375,0.025991275135515926,1.1597202399444364
exit_reason,TP Hit,301,55640.85,301,0,1.2097191529131384,18.448504983388705,0.03193884362001678,1.1225563695412304
same_candle,False,511,8255.46,271,240,0.16120157874992558,18.864970645792564,0.029761840031503468,1.142095071113281
same_candle,True,46,2949.74,30,16,0.43100602131612087,0.0,0.02302300235258382,1.1123318982347745
year,2020,80,913.33,43,37,0.14649905856967177,17.075,0.0751737367830313,1.0500015493893986
year,2021,174,4750.28,104,70,0.24632052392997705,12.362068965517242,0.010885825475242816,1.041677925601678
year,2022,77,3092.85,43,34,0.2943685525939562,24.844155844155843,0.02773187443127147,1.2678429487095604
year,2023,53,2503.77,30,23,0.2897832784377135,16.358490566037737,0.05846472168143326,1.1951693674314279
year,2024,82,-1916.93,36,46,-0.04724263307772478,14.573170731707316,0.02081440858774014,1.1362217029259172
year,2025,57,255.98,26,31,0.06166585302301679,23.82456140350877,0.013989015121693526,1.2742431622048835
year,2026,34,1605.91,19,15,0.29278346633799446,23.235294117647058,0.01827017183903785,1.2575247718157905
month,2020-01,11,155.57,6,5,0.1646069925040089,23.545454545454547,0.10498748616965167,0.9311300622116402
