candidate_id,candidate_hash,family,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,execution_status,live_known,trade_log_path,trade_log_hash,params,track_high_pnl,track_quality,track_stress,track_monthly,promotion_reason,score,registered_status,behavior_cluster
P37_CAND_0000,cffa8f8e82fa4785,phase37_focused_strategy1_guard,8211.91,50836.53,42624.62,1.1927,15.7788,585.0,0.5162,302.0,283.0,168.33,-150.62,14.04,51.0,26.0,0.0,1171.93,-643.48,7.0,8.0,-55138.95,540.4142,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": null, ""disallowed_sources"": [], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.0, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 0.0}",False,False,False,False,NOT_PROMOTED,18.0495,,
P37_CAND_0001,0ec0bfe1e66183d0,phase37_focused_strategy1_guard,9953.59,49317.59,39364.01,1.2529,13.9171,543.0,0.5304,288.0,255.0,171.24,-154.37,18.33,50.0,27.0,0.0,1165.56,-611.75,7.0,8.0,-50677.16,498.2295,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": null, ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.0, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 0.0}",False,False,False,False,NOT_PROMOTED,21.124,,
P37_CAND_0002,59cf705e99d039b4,phase37_focused_strategy1_guard,8798.53,45097.26,36298.73,1.2424,12.8742,523.0,0.5296,277.0,246.0,162.81,-147.56,16.82,48.0,28.0,0.0,1162.72,-568.02,7.0,8.0,-47191.34,451.15,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Long"", ""Funding Reversal Short"", ""Low-Activity Filler Short""], ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.0, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 0.0}",False,False,False,False,NOT_PROMOTED,20.1854,,
P37_CAND_0003,f13a27fcb114c2d4,phase37_focused_strategy1_guard,9286.96,38530.86,29243.9,1.3176,11.3864,433.0,0.5404,234.0,199.0,164.66,-146.95,21.45,47.0,28.0,0.0,882.18,-571.45,7.0,8.0,-38815.55,373.2849,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Long"", ""Funding Reversal Short"", ""Low-Activity Filler Short""], ""disallowed_sources"": [], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.0, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.2}",False,False,False,False,NOT_PROMOTED,22.1698,,
P37_CAND_0004,4607c0168ac8eb20,phase37_focused_strategy1_guard,5490.23,24606.87,19116.64,1.2872,9.3801,322.0,0.5186,167.0,155.0,147.35,-123.33,17.05,45.0,28.0,0.0,676.8,-469.55,7.0,8.0,-29650.03,291.5242,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short""], ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.0, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.2}",False,False,False,False,NOT_PROMOTED,19.0722,,
P37_CAND_0005,ecb59ba4e6aef04c,phase37_focused_strategy1_guard,5490.28,24607.9,19117.62,1.2872,9.3801,322.0,0.5186,167.0,155.0,147.35,-123.34,17.05,45.0,28.0,0.0,677.02,-469.55,7.0,8.0,-29649.9,291.5022,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short""], ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 12, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.0, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.2}",False,False,False,False,NOT_PROMOTED,19.0722,,
P37_CAND_0006,fe8841270e7b63fa,phase37_focused_strategy1_guard,4153.38,23177.3,19023.93,1.2183,12.6669,330.0,0.5212,172.0,158.0,134.75,-120.4,12.59,41.0,31.0,0.0,594.64,-411.18,6.0,9.0,-32319.25,318.2826,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Short""], ""disallowed_sources"": [], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 12, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.0, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.35}",False,False,False,False,NOT_PROMOTED,13.8029,,
P37_CAND_0007,4659629da30d7597,phase37_focused_strategy1_guard,3297.1,21128.58,17831.48,1.1849,13.0602,317.0,0.5142,163.0,154.0,129.62,-115.79,10.4,39.0,32.0,0.0,553.94,-409.34,5.0,10.0,-31780.53,314.4654,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Short""], ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 12, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.02, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.35}",False,False,False,False,NOT_PROMOTED,11.216,,
P37_CAND_0008,a1586bc11e0a3801,phase37_focused_strategy1_guard,2581.53,17020.48,14438.96,1.1788,12.441,257.0,0.4942,127.0,130.0,134.02,-111.07,10.04,36.0,35.0,0.0,524.44,-385.43,6.0,9.0,-25913.93,261.0987,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""BB Expansion Short""], ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 12, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.02, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.35}",False,False,False,False,NOT_PROMOTED,11.149,,
P37_CAND_0009,b4c1ab31fe9ea4f4,phase37_focused_strategy1_guard,5796.13,26330.99,20534.86,1.2823,10.45,343.0,0.5131,176.0,167.0,149.61,-122.96,16.9,47.0,28.0,0.0,840.48,-467.34,7.0,8.0,-28961.15,284.7898,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK"", ""OFF_HOURS""], ""allowed_sources"": [""BB Expansion Long"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""BB Expansion Short""], ""disallowed_sources"": [], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 12, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.02, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.45}",False,False,False,False,NOT_PROMOTED,18.7941,,
