track,rank,candidate_id,net_pnl,trades,profit_factor,max_drawdown_pct,negative_months,stress_pass_count,combined_adverse_pnl,promotion_reason
HIGH_PNL,1,P37_CAND_0357,11231.08,404,1.3862,9.3716,24,8,-33384.48,HIGH_PNL_PROMOTION
HIGH_PNL,2,P37_CAND_0361,11079.4,386,1.4104,12.0157,26,8,-30798.57,NOT_PROMOTED
HIGH_PNL,3,P37_CAND_0303,10617.09,366,1.4259,8.907,27,8,-29508.5,QUALITY_PROMOTION
HIGH_PNL,4,P37_CAND_0412,10514.07,329,1.4732,7.7896,22,8,-23985.32,QUALITY_PROMOTION
HIGH_PNL,5,P37_CAND_0142,9987.03,354,1.4037,7.35,25,8,-27479.61,QUALITY_PROMOTION
HIGH_PNL,6,P37_CAND_0001,9953.59,543,1.2529,13.9171,27,7,-50677.16,NOT_PROMOTED
HIGH_PNL,7,P37_CAND_0411,9937.28,343,1.4253,7.7941,23,8,-26362.45,QUALITY_PROMOTION
HIGH_PNL,8,P37_CAND_0362,9901.04,385,1.3749,12.0157,26,8,-32084.57,NOT_PROMOTED
HIGH_PNL,9,P37_CAND_0360,9545.0,394,1.3493,14.5018,27,8,-32807.22,NOT_PROMOTED
HIGH_PNL,10,P37_CAND_0413,9428.93,291,1.5168,5.8088,21,8,-21279.45,NOT_PROMOTED
QUALITY,1,P37_CAND_0413,9428.93,291,1.5168,5.8088,21,8,-21279.45,NOT_PROMOTED
QUALITY,2,P37_CAND_0082,8755.36,270,1.5142,8.4191,20,8,-20164.79,NOT_PROMOTED
QUALITY,3,P37_CAND_0250,8392.05,276,1.493,6.3368,21,8,-19672.45,NOT_PROMOTED
QUALITY,4,P37_CAND_0412,10514.07,329,1.4732,7.7896,22,8,-23985.32,QUALITY_PROMOTION
QUALITY,5,P37_CAND_0083,7451.51,264,1.46,8.3965,21,8,-20834.43,NOT_PROMOTED
QUALITY,6,P37_CAND_0081,7936.41,274,1.4586,9.3863,21,8,-20339.95,NOT_PROMOTED
QUALITY,7,P37_CAND_0077,7112.48,262,1.4449,8.4324,21,8,-19373.95,NOT_PROMOTED
QUALITY,8,P37_CAND_0417,7448.55,279,1.4423,5.8149,22,8,-22995.95,NOT_PROMOTED
QUALITY,9,P37_CAND_0251,7097.72,270,1.4387,6.3392,22,8,-21081.79,NOT_PROMOTED
QUALITY,10,P37_CAND_0418,5638.44,226,1.4291,7.6104,22,8,-18132.71,NOT_PROMOTED
STRESS,1,P37_CAND_0203,3930.56,167,1.4146,12.1365,21,8,-13920.01,NOT_PROMOTED
STRESS,2,P37_CAND_0371,5769.51,230,1.427,9.3293,23,8,-16590.69,NOT_PROMOTED
STRESS,3,P37_CAND_0364,5130.59,214,1.3946,9.8796,24,8,-17653.6,NOT_PROMOTED
STRESS,4,P37_CAND_0418,5638.44,226,1.4291,7.6104,22,8,-18132.71,NOT_PROMOTED
STRESS,5,P37_CAND_0419,5638.44,226,1.4291,7.6104,22,8,-18132.71,NOT_PROMOTED
