candidate_id,check,status,detail
P37_CAND_0357,trade_log_exists,PASS,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase37_P37_CAND_0357_trade_log.csv
P37_CAND_0357,metrics_from_trade_log,PASS,Metrics recomputed from engine trade log.
P37_CAND_0357,live_known_rule_construction,PASS,Uses closed-candle Strategy #1 signal plus live-known guards.
P37_CAND_0357,no_report_only_promotion,PASS,Candidate was executed by engine.
P37_CAND_0357,source_hash,PASS,b9934e7803bcb07a459058240f8eee774e147c6d3b34dd4c6b42bf00dc7231fe
P37_CAND_0357,timestamp_order,PASS,rows=404
P37_CAND_0361,trade_log_exists,PASS,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase37_P37_CAND_0361_trade_log.csv
P37_CAND_0361,metrics_from_trade_log,PASS,Metrics recomputed from engine trade log.
P37_CAND_0361,live_known_rule_construction,PASS,Uses closed-candle Strategy #1 signal plus live-known guards.
P37_CAND_0361,no_report_only_promotion,PASS,Candidate was executed by engine.
P37_CAND_0361,source_hash,PASS,b9934e7803bcb07a459058240f8eee774e147c6d3b34dd4c6b42bf00dc7231fe
P37_CAND_0361,timestamp_order,PASS,rows=386
P37_CAND_0303,trade_log_exists,PASS,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase37_P37_CAND_0303_trade_log.csv
P37_CAND_0303,metrics_from_trade_log,PASS,Metrics recomputed from engine trade log.
P37_CAND_0303,live_known_rule_construction,PASS,Uses closed-candle Strategy #1 signal plus live-known guards.
P37_CAND_0303,no_report_only_promotion,PASS,Candidate was executed by engine.
P37_CAND_0303,source_hash,PASS,b9934e7803bcb07a459058240f8eee774e147c6d3b34dd4c6b42bf00dc7231fe
P37_CAND_0303,timestamp_order,PASS,rows=366
P37_CAND_0412,trade_log_exists,PASS,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\reports\phase37_P37_CAND_0412_trade_log.csv
P37_CAND_0412,metrics_from_trade_log,PASS,Metrics recomputed from engine trade log.
P37_CAND_0412,live_known_rule_construction,PASS,Uses closed-candle Strategy #1 signal plus live-known guards.
P37_CAND_0412,no_report_only_promotion,PASS,Candidate was executed by engine.
P37_CAND_0412,source_hash,PASS,b9934e7803bcb07a459058240f8eee774e147c6d3b34dd4c6b42bf00dc7231fe
P37_CAND_0412,timestamp_order,PASS,rows=329
