strategy_id,source_sleeve,side,session,entry_time,exit_time,hold_time,entry_price,exit_price,net_pnl,R,expected_R,projected_net_R,cost_to_risk,fees,slippage,funding,reason,same_candle,month,year,drawdown_contribution,losing_cluster,winning_cluster,high_friction,low_quality,high_quality,live_known_improvement
Strategy #1 (Combined Router v1),Low-Activity Filler Long,Long,LONDON,1578646800000,1578664800000,5,7709.7,7947.399518116238,163.89800043866947,1.64897207265596,1.64897207265596,1.64897207265596,0.05,5.581755978208438,5.579715260837842,0.0,TP Hit,False,2020-01,2020,0.0,False,True,False,False,True,none
Strategy #1 (Combined Router v1),BB Expansion Long,Long,OFF_HOURS,1578974400000,1579010400000,10,8473.8,8637.074842104905,125.51904885766103,1.2807880182393256,1.2807880182393256,1.2807880182393256,0.05,7.041124997526167,7.06191426465716,1.81502119715,TP Hit,False,2020-01,2020,0.0,False,True,False,False,True,none
Strategy #1 (Combined Router v1),Funding Reversal Short,Short,OFF_HOURS,1579050000000,1579240800000,53,8779.3,9005.452019343827,-105.02304516241206,-1.020304283467904,-1.020304283467904,-1.020304283467904,0.05,4.161631972526457,4.165422661196157,-4.977731863026,SL Hit,False,2020-01,2020,1.0206899444278463,False,True,False,True,False,filter_off_hours
Strategy #1 (Combined Router v1),Funding Reversal Short,Short,OFF_HOURS,1579302000000,1579395600000,26,8939.6,9112.880602001442,-106.4621992767021,-1.026991402487156,-1.026991402487156,-1.026991402487156,0.05,5.596268986620448,5.613581196022315,-6.568042950812,SL Hit,False,2020-01,2020,1.0346766854394613,False,True,False,True,False,filter_off_hours
Strategy #1 (Combined Router v1),Funding Reversal Short,Short,LONDON,1579424400000,1579431600000,2,9108.7,8995.132147037159,85.07597262790938,0.8766795791358271,0.8766795791358271,0.8766795791358271,0.05,7.368259683844124,7.371029189248357,0.0,TP Hit,False,2020-01,2020,0.0,False,True,False,False,False,none
Strategy #1 (Combined Router v1),BB Expansion Short,Short,NEW_YORK,1579438800000,1579780800000,95,8641.4,8404.925338484236,143.08232361069403,1.308166483598327,1.308166483598327,1.308166483598327,0.05,4.909341697483459,4.925008793087094,-11.7822602750976,TP Hit,False,2020-01,2020,0.0,False,True,False,False,True,none
Strategy #1 (Combined Router v1),Funding Reversal Short,Short,NEW_YORK,1579881600000,1579910400000,8,8505.0,8379.074021095446,93.50699757554932,0.9089934898793154,0.9089934898793154,0.9089934898793154,0.05,6.475042387090104,6.4408390025883335,-3.3968141428468,TP Hit,False,2020-01,2020,0.0,False,True,False,False,False,none
Strategy #1 (Combined Router v1),BB Expansion Long,Long,OFF_HOURS,1580173200000,1580230800000,16,9081.0,8935.066298255231,-126.04599723173756,-1.0315965201579538,-1.0315965201579538,-1.0315965201579538,0.05,6.837097160187861,6.846003937154854,8.4452204472702,SL Hit,False,2020-01,2020,1.2120276971868549,True,False,False,True,False,filter_off_hours
Strategy #1 (Combined Router v1),Funding Reversal Short,Short,NEW_YORK,1580245200000,1580252400000,2,9066.5,9243.190703724276,-113.92332158367287,-1.026845165584655,-1.026845165584655,-1.026845165584655,0.05,5.611920200691491,5.5901221396209,0.0,SL Hit,False,2020-01,2020,1.0954589923318037,True,False,False,True,False,filter_low_projected_R
Strategy #1 (Combined Router v1),Funding Reversal Short,Short,OFF_HOURS,1580274000000,1580407200000,37,9340.0,9537.422837432205,-96.40443959151742,-1.024740032272644,-1.024740032272644,-1.024740032272644,0.05,5.08746545468798,5.07001092922321,-15.093935239128902,SL Hit,False,2020-01,2020,0.9270016778230172,True,False,False,True,False,filter_off_hours
