month,net_pnl,trades,status
2020-01,309.48,5,PROFITABLE
2020-02,-340.03,3,UNPROFITABLE
2020-03,259.17,4,PROFITABLE
2020-04,402.85,7,PROFITABLE
2020-05,-25.56,2,UNPROFITABLE
2020-06,44.19,4,PROFITABLE
2020-07,-214.93,4,UNPROFITABLE
2020-08,-185.31,4,UNPROFITABLE
2020-09,202.64,2,PROFITABLE
2020-10,16.26,2,PROFITABLE
2020-11,4.31,10,PROFITABLE
2020-12,-162.51,2,UNPROFITABLE
2021-01,374.98,16,PROFITABLE
2021-02,262.89,14,PROFITABLE
2021-03,394.74,11,PROFITABLE
2021-04,451.93,5,PROFITABLE
2021-05,532.13,11,PROFITABLE
2021-06,-32.58,7,UNPROFITABLE
2021-07,321.9,2,PROFITABLE
2021-08,458.93,5,PROFITABLE
2021-09,-46.96,6,UNPROFITABLE
2021-10,724.25,12,PROFITABLE
2021-11,287.01,10,PROFITABLE
2021-12,-133.84,3,UNPROFITABLE
2022-01,422.78,4,PROFITABLE
2022-02,551.05,10,PROFITABLE
2022-03,196.15,1,PROFITABLE
2022-04,-450.72,5,UNPROFITABLE
2022-05,183.88,5,PROFITABLE
2022-06,359.75,7,PROFITABLE
2022-07,368.92,6,PROFITABLE
2022-08,24.89,2,PROFITABLE
2022-09,-77.31,5,UNPROFITABLE
2022-10,218.0,1,PROFITABLE
2022-11,415.79,4,PROFITABLE
2022-12,272.23,1,PROFITABLE
2023-01,236.97,3,PROFITABLE
2023-02,443.05,2,PROFITABLE
2023-03,987.43,8,PROFITABLE
2023-04,-148.48,3,UNPROFITABLE
2023-05,252.85,1,PROFITABLE
2023-06,-612.13,3,UNPROFITABLE
2023-07,0.0,0,ZERO_TRADES
2023-08,-165.78,3,UNPROFITABLE
2023-09,0.0,0,ZERO_TRADES
2023-10,-191.14,1,UNPROFITABLE
2023-11,-192.52,2,UNPROFITABLE
2023-12,-0.3,3,UNPROFITABLE
2024-01,500.39,8,PROFITABLE
2024-02,692.21,7,PROFITABLE
2024-03,-486.36,13,UNPROFITABLE
2024-04,-120.34,4,UNPROFITABLE
2024-05,252.87,3,PROFITABLE
2024-06,-144.42,3,UNPROFITABLE
2024-07,-386.46,2,UNPROFITABLE
2024-08,992.17,4,PROFITABLE
2024-09,-507.29,3,UNPROFITABLE
2024-10,0.0,0,ZERO_TRADES
2024-11,628.82,7,PROFITABLE
2024-12,462.87,4,PROFITABLE
2025-01,363.44,5,PROFITABLE
2025-02,106.76,4,PROFITABLE
2025-03,661.73,7,PROFITABLE
2025-04,206.26,3,PROFITABLE
2025-05,275.22,1,PROFITABLE
2025-06,0.0,0,ZERO_TRADES
2025-07,0.0,0,ZERO_TRADES
2025-08,0.0,0,ZERO_TRADES
2025-09,-238.06,1,UNPROFITABLE
2025-10,592.37,2,PROFITABLE
2025-11,-191.27,3,UNPROFITABLE
2025-12,-646.15,5,UNPROFITABLE
2026-01,290.24,3,PROFITABLE
2026-02,657.33,8,PROFITABLE
2026-03,375.27,5,PROFITABLE
2026-04,0.0,0,ZERO_TRADES
2026-05,294.56,1,PROFITABLE
2026-06,-202.08,3,UNPROFITABLE
