system,scenario,net_pnl,profit_factor,max_drawdown_pct,trades,verdict
P39_CAND_0551,normal,11431.41,1.4998,7.938,340,PASS
P39_CAND_0551,double fees,-4650.15,0.844,54.4921,340,FAIL
P39_CAND_0551,triple fees,-20731.7,0.4419,203.1728,340,FAIL
P39_CAND_0551,double slippage,-4650.15,0.844,54.4921,340,FAIL
P39_CAND_0551,triple slippage,-20731.7,0.4419,203.1728,340,FAIL
P39_CAND_0551,double fees + double slippage,-20731.7,0.4419,203.1728,340,FAIL
P39_CAND_0551,delay 1 candle,3390.63,1.1288,16.6811,340,PASS
P39_CAND_0551,delay 2 candles,-4650.15,0.844,54.4921,340,FAIL
P39_CAND_0551,missed fills 10%,10645.99,1.5207,6.7995,306,PASS
P39_CAND_0551,missed fills 20%,7858.26,1.4154,9.0586,272,PASS
P39_CAND_0551,missed fills 30%,9720.62,1.6901,8.9334,227,PASS
P39_CAND_0551,stale cancel,7736.08,1.3357,9.3431,323,PASS
P39_CAND_0551,partial fill,10574.05,1.4998,7.6014,340,PASS
P39_CAND_0551,high funding,6903.6,1.2796,12.2254,340,PASS
P39_CAND_0551,combined adverse,-25369.59,0.3176,250.7311,306,FAIL
