strategy,track,label,req_pnl,act_pnl,pnl_pass,req_trades,act_trades,trades_pass,req_pf,act_pf,pf_pass,req_dd,act_dd,dd_pass,req_stress,act_stress,stress_pass,req_neg_months,act_neg_months,neg_months_pass,overall_pass
Strategy #1 (Combined Router v1),A,High-PnL,11500.0,11205.2,False,400,557,True,1.4,1.2522,False,9.5,16.2186,False,9,15,True,,25,N/A,False
Strategy #1 (Combined Router v1),B,Quality,10000.0,11205.2,True,350,557,True,1.5,1.2522,False,7.5,16.2186,False,9,15,True,,25,N/A,False
Strategy #1 (Combined Router v1),C,Stress,8500.0,11205.2,True,300,557,True,1.35,1.2522,False,10.0,16.2186,False,10,15,True,,25,N/A,False
Strategy #1 (Combined Router v1),D,Monthly,9500.0,11205.2,True,350,557,True,1.35,1.2522,False,10.0,16.2186,False,8,15,True,18.0,25,False,False
Strategy #1.1 (P37_CAND_0357),A,High-PnL,11500.0,11231.08,False,400,404,True,1.4,1.3862,False,9.5,9.3716,True,9,15,True,,24,N/A,False
Strategy #1.1 (P37_CAND_0357),B,Quality,10000.0,11231.08,True,350,404,True,1.5,1.3862,False,7.5,9.3716,False,9,15,True,,24,N/A,False
Strategy #1.1 (P37_CAND_0357),C,Stress,8500.0,11231.08,True,300,404,True,1.35,1.3862,True,10.0,9.3716,True,10,15,True,,24,N/A,True
Strategy #1.1 (P37_CAND_0357),D,Monthly,9500.0,11231.08,True,350,404,True,1.35,1.3862,True,10.0,9.3716,True,8,15,True,18.0,24,False,False
Strategy #1.2 (P39_CAND_0551),A,High-PnL,11500.0,11431.41,False,400,340,False,1.4,1.4998,True,9.5,7.938,True,9,15,True,,25,N/A,False
Strategy #1.2 (P39_CAND_0551),B,Quality,10000.0,11431.41,True,350,340,False,1.5,1.4998,False,7.5,7.938,False,9,15,True,,25,N/A,False
Strategy #1.2 (P39_CAND_0551),C,Stress,8500.0,11431.41,True,300,340,True,1.35,1.4998,True,10.0,7.938,True,10,15,True,,25,N/A,True
Strategy #1.2 (P39_CAND_0551),D,Monthly,9500.0,11431.41,True,350,340,False,1.35,1.4998,True,10.0,7.938,True,8,15,True,18.0,25,False,False
