strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P39_CAND_0551:BB Expansion Short,1582650000000,2020-02-25 17:00:00+00:00,1582682400000,2020-02-26 02:00:00+00:00,Short,20.2,19.39844562285052,19.388751247226907,20.796139101996626,19.388751247226907,169.739,136.05503842297543,3.3607002807885125,1.0184340000000387,1.6455136239765553,2.6639476239765942,-0.53951530116965,133.23385344335657,10133.233853443357,TP Hit,1.3445760804229447,9,False,False,False,False,2020-02-26 02:00:00,2020-02,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.36083801591945,6.564163205934757,11.011126738624665,1.295967086206039
P39_CAND_0551:BB Expansion Long,1582812000000,2020-02-27 14:00:00+00:00,1582880400000,2020-02-28 09:00:00+00:00,Long,19.3,18.549075077513407,18.558354254640726,18.558354254640726,20.234507979665665,144.421,-108.44932823043628,2.733100635884782,6.06568200000023,1.3401080399044514,7.405790039904681,0.0,-111.18242886632106,10022.051424577036,SL Hit,-1.012511602992913,19,False,False,False,False,2020-02-28 09:00:00,2020-02,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.2600463031213929,10.138890675789463,13.670800027144885,1.1653869389905194
P39_CAND_0551:BB Expansion Short,1582884000000,2020-02-28 10:00:00+00:00,1582894800000,2020-02-28 13:00:00+00:00,Short,18.3,18.93771320784912,18.92824908330747,18.92824908330747,17.367709606517398,153.419,-97.83732263500427,2.8564863613175024,3.98889399999997,1.451976523055575,5.440870523055545,0.0,-100.69380899632176,9921.357615580713,SL Hit,-1.0150642870687951,3,False,False,False,False,2020-02-28 13:00:00,2020-02,2020,LONDON,False,P39_CAND_0551:BB Expansion Short,1.4839502647174312,8.297356884373048,13.207113396315552,1.3978650119370353
P39_CAND_0551:BB Expansion Short,1583683200000,2020-03-08 16:00:00+00:00,1583683200000,2020-03-08 16:00:00+00:00,Short,18.4,17.632556958376107,17.623745085833193,18.9296635382001,17.623745085833193,181.489,139.28247018127854,3.2697563649093606,1.0889340000000414,1.5992579359409271,2.6881919359409685,-1.6752634378587798,137.68797725422797,10059.045592834942,TP Hit,1.4489255655237514,0,False,False,False,False,2020-03-08 16:00:00,2020-03,2020,NEW_YORK,True,P39_CAND_0551:BB Expansion Short,1.4655623016918826,7.633211738709109,14.411435162496254,1.386155642541762
P39_CAND_0551:BB Expansion Short,1583766000000,2020-03-09 15:00:00+00:00,1583834400000,2020-03-10 10:00:00+00:00,Short,16.2,17.017357435007778,17.00885300850353,17.00885300850353,15.055093043745098,122.993,-100.5292430039117,2.0427512215019554,0.0,1.045984929037109,1.045984929037109,0.0,-102.57199422541366,9956.473598609527,SL Hit,-1.0105141804689375,19,False,False,False,False,2020-03-10 10:00:00,2020-03,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.4154697382817558,3.0887361505390647,3.8186618805480856,1.3844219397847024
P39_CAND_0551:BB Expansion Long,1583838000000,2020-03-10 11:00:00+00:00,1583852400000,2020-03-10 15:00:00+00:00,Long,17.1,16.484168154369133,16.49241436154991,16.49241436154991,17.979702275625122,159.921,-98.48444458513411,2.685406877707433,3.358340999999559,1.3187416985567826,4.677082698556341,0.0,-101.16985146284155,9855.303747146687,SL Hit,-1.0135720903506062,4,False,False,False,False,2020-03-10 15:00:00,2020-03,2020,LONDON,False,P39_CAND_0551:BB Expansion Long,1.4478654858748434,7.3624895762637745,12.117616201470712,1.3720929719368946
P39_CAND_0551:BB Expansion Short,1584003600000,2020-03-12 09:00:00+00:00,1584007200000,2020-03-12 10:00:00+00:00,Short,14.4,13.584624918832317,13.577836000831901,15.076238079401032,13.577836000831901,157.122,128.1133635032288,2.1985001182483863,6.284879999999867,1.066688374061281,7.351568374061148,0.0,125.91486338498042,9981.218610531667,TP Hit,1.2057515038045346,1,False,False,False,False,2020-03-12 10:00:00,2020-03,2020,LONDON,False,P39_CAND_0551:BB Expansion Short,1.2157907462063062,9.550068492309535,14.12234652737743,1.1259093385907117
P39_CAND_0551:Funding Reversal Long,1584126000000,2020-03-13 19:00:00+00:00,1584633600000,2020-03-19 16:00:00+00:00,Long,9.4,11.492156748653539,11.49790570150429,7.358094298495711,11.49790570150429,48.221,100.88589057682226,0.5037203452884111,0.5786520000000219,0.2772202554160987,0.8558722554161207,0.4576208607650499,99.92454937076882,10081.143159902434,TP Hit,1.0246098765051828,141,False,False,False,False,2020-03-19 16:00:00,2020-03,2020,NEW_YORK,False,P39_CAND_0551:Funding Reversal Long,1.0274253605143202,1.8172134614695816,0.8899595412906801,1.0089695105466572
P39_CAND_0551:BB Expansion Short,1584738000000,2020-03-20 21:00:00+00:00,1584741600000,2020-03-20 22:00:00+00:00,Short,11.1,12.075028628753747,12.068994131687903,12.068994131687903,9.804341483766802,106.342,-103.68649443893104,1.2322394472194653,2.2331820000000846,0.641720486975997,2.8749024869760818,0.0,-104.91873388615049,9976.224426016284,SL Hit,-1.0062275888661292,1,False,False,False,False,2020-03-20 22:00:00,2020-03,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.3371169895283816,4.107141934195547,4.238562236740549,1.297259151263721
P39_CAND_0551:BB Expansion Long,1585998000000,2020-04-04 11:00:00+00:00,1585998000000,2020-04-04 11:00:00+00:00,Long,13.8,13.482694194458347,13.489438913915304,13.489438913915304,14.307779286228746,291.225,-92.40738321886819,3.9727013083905667,9.610424999999848,1.9642309238524267,11.574655923852275,0.0,-96.38008452725875,9879.844341489026,SL Hit,-1.0217178512027678,0,False,False,False,False,2020-04-04 11:00:00,2020-04,2020,LONDON,True,P39_CAND_0551:BB Expansion Long,1.6350383514896092,15.547357232242842,50.06215501192171,1.4631363684458398
